name;description;sample;bios;selection;fbneo
88games;'88 Games;;;sports;88games
openice;2 On 2 Open Ice Challenge;;;sports;openice
2020bb;2020 Super Baseball;;neogeo;sports;2020bb
alpine;Alpine Ski;;;sports;alpine
archrivl;Arch Rivals;;;sports;archrivl
bssoccer;Back Street Soccer;;;sports;bssoccer
bangbead;Bang Bead;;neogeo;sports;bangbead
bstars2;Baseball Stars 2;;neogeo;sports;bstars2
flipshot;Battle Flip Shot;;neogeo;sports;flipshot
bladestl;Blades of Steel;;;sports;bladestl
csclub;Capcom Sports Club;;;sports;csclub
carket;Carket Ball;;;sports;carket
extdwnhl;Extreme Downhill;;;sports;extdwnhl
footchmp;Football Champ / Euro Football Champ;;;sports;footchmp
fbfrenzy;Football Frenzy;;neogeo;sports;fbfrenzy
hvysmsh;Heavy Smash;;;sports;hvysmsh
kingofb;King of Boxer;;;sports;kingofb
lbowling;League Bowling;;neogeo;sports;lbowling
machbrkr;Mach Breakers;;;sports;machbrkr
maniach;Mania Challenge (set 1);;;sports;maniach
nbahangt;NBA Hangtime;;;sports;nbahangt
nbajamte;NBA Jam TE (rev 4.0 3/23/94);;;sports;nbajamte
turfmast;Neo Turf Masters / Big Tournament Golf;;neogeo;sports;turfmast
pkunwar;Penguin-Kun Wars;;;sports;pkunwar
pigskin;Pigskin 621AD;;;sports;pigskin
pgoal;Pleasure Goal / Futsal - 5 on 5 Mini Soccer;;neogeo;sports;pgoal
pspikes;Power Spikes;;;sports;pspikes
punchout;Punch-Out!!;;;sports;punchout
punkshot;Punk Shot;;;sports;punkshot
ringdest;Ring of Destruction: Slammasters II;;;sports;ringdest
rollerg;Rollergames;;;sports;rollerg
slapshot;Slap Shot;;;sports;slapshot
socbrawl;Soccer Brawl;;neogeo;sports;socbrawl
speedspn;Speed Spin;;;sports;speedspn
stakwin2;Stakes Winner 2;;neogeo;sports;stakwin2
stonebal;Stone Ball;;;sports;stonebal
sdodgeb;Super Dodge Ball / Kunio no Nekketsu Toukyuu Densetsu;;neogeo;sports;sdodgeb
shimpact;Super High Impact;;;sports;shimpact
ssideki2;Super Sidekicks 2 - The World Championship / Tokuten Ou 2 - Real Fight Football;;neogeo;sports;ssideki2
cupfinal;Taito Cup Finals;;;sports;cupfinal
pwrgoal;Taito Power Goal;;;sports;pwrgoal
tbowl;Tecmo Bowl;;;sports;tbowl
twcup90;Tecmo World Cup '90;;;sports;twcup90
trackfld;Track & Field;;;sports;trackfld
vball;U.S. Championship V'ball;;;sports;vball
ultennis;Ultimate Tennis;;;sports;ultennis
waterski;Water Ski;;;sports;waterski
wjammers;Windjammers / Flying Power Disc;;neogeo;sports;wjammers
wwfwfest;WWF WrestleFest;;;sports;wwfwfest
wwfmania;WWF: Wrestlemania;;;sports;wwfmania
