name;description;year;category;genre;biosof
2020bb;2020 Super Baseball;1991;Sports / Baseball;Sports;neogeo
3countb;3 Count Bout / Fire Suplex;1993;Sports / Wrestling;Sports;neogeo
sonicwi2;Aero Fighters 2 / Sonic Wings 2;1994;Shooter / Flying Vertical;Shooter;neogeo
sonicwi3;Aero Fighters 3 / Sonic Wings 3;1995;Shooter / Flying Vertical;Shooter;neogeo
alpham2;Alpha Mission II / ASO II - Last Guardian;1991;Shooter / Flying Vertical;Shooter;neogeo
aof;Art of Fighting / Ryuuko no Ken;1992;Fighter / Versus;Fighter;neogeo
aof2;Art of Fighting 2 / Ryuuko no Ken 2;1994;Fighter / Versus;Fighter;neogeo
aof3;Art of Fighting 3 - The Path of the Warrior / Art of Fighting - Ryuuko no Ken Gaiden;1996;Fighter / Versus;Fighter;neogeo
bstars2;Baseball Stars 2;1992;Sports / Baseball;Sports;neogeo
flipshot;Battle Flip Shot;1998;Sports / Misc.;Sports;neogeo
blazstar;Blazing Star;1998;Shooter / Flying Horizontal;Shooter;neogeo
bjourney;Blue's Journey / Raguy;1990;Platform / Fighter Scrolling;Platform;neogeo
breakrev;Breakers Revenge;1998;Fighter / Versus;Fighter;neogeo
burningf;Burning Fight;1991;Fighter / 2.5D;Fighter;neogeo
ctomaday;Captain Tomaday;1999;Shooter / Flying Vertical;Shooter;neogeo
crsword;Crossed Swords;1991;Fighter / Misc.;Fighter;neogeo
doubledr;Double Dragon;1995;Fighter / Versus;Fighter;neogeo
eightman;Eight Man;1991;Platform / Fighter Scrolling;Platform;neogeo
kabukikl;Far East of Eden - Kabuki Klash / Tengai Makyou - Shin Den;1995;Fighter / Versus;Fighter;neogeo
fatfury2;Fatal Fury 2 / Garou Densetsu 2 - Arata-naru Tatakai;1992;Fighter / Versus;Fighter;neogeo
fatfury3;Fatal Fury 3 - Road to the Final Victory / Garou Densetsu 3 - Haruka-naru Tatakai;1995;Fighter / Versus;Fighter;neogeo
fatfursp;Fatal Fury Special / Garou Densetsu Special;1993;Fighter / Versus;Fighter;neogeo
fbfrenzy;Football Frenzy;1992;Sports / Football;Sports;neogeo
garou;Garou - Mark of the Wolves;1999;Fighter / Versus;Fighter;neogeo
karnovr;Karnov's Revenge / Fighter's History Dynamite;1994;Fighter / Versus;Fighter;neogeo
kotm;King of the Monsters;1991;Fighter / Multiplay;Fighter;neogeo
kotm2;King of the Monsters 2 - The Next Thing;1992;Fighter / Multiplay;Fighter;neogeo
kizuna;Kizuna Encounter - Super Tag Battle / Fu'un Super Tag Battle;1996;Fighter / Versus;Fighter;neogeo
lresort;Last Resort;1992;Shooter / Flying Horizontal;Shooter;neogeo
lbowling;League Bowling;1990;Sports / Bowling;Sports;neogeo
magdrop2;Magical Drop II;1996;Puzzle / Toss;Puzzle;neogeo
magdrop3;Magical Drop III;1997;Puzzle / Toss;Puzzle;neogeo
maglord;Magician Lord;1990;Platform / Shooter Scrolling;Platform;neogeo
matrim;Matrimelee / Shin Gouketsuji Ichizoku Toukon;2003;Fighter / Versus;Fighter;neogeo
mslug;Metal Slug;1996;Platform / Shooter Scrolling;Platform;neogeo
mslug3;Metal Slug 3;2000;Platform / Shooter Scrolling;Platform;neogeo
mslug4;Metal Slug 4;2002;Platform / Shooter Scrolling;Platform;neogeo
mslug5;Metal Slug 5;2003;Platform / Shooter Scrolling;Platform;neogeo
mslugx;Metal Slug X - Super Vehicle-001;1999;Platform / Shooter Scrolling;Platform;neogeo
miexchng;Money Puzzle Exchanger / Money Idol Exchanger;1997;Puzzle / Toss;Puzzle;neogeo
mutnat;Mutation Nation;1992;Fighter / 2.5D;Fighter;neogeo
nam1975;NAM-1975;1990;Shooter / 3rd Person;Shooter;neogeo
neobombe;Neo Bomberman;1997;Maze / Collect;Maze;neogeo
neodrift;Neo Drift Out - New Technology;1996;Driving / Race;Driving;neogeo
neomrdo;Neo Mr. Do!;1996;Maze / Digging;Maze;neogeo
turfmast;Neo Turf Masters / Big Tournament Golf;1996;Sports / Golf;Sports;neogeo
neocup98;Neo-Geo Cup '98 - The Road to the Victory;1998;Sports / Soccer;Sports;neogeo
nitd;Nightmare in the Dark;2000;Platform / Run Jump;Platform;neogeo
ninjamas;Ninja Master's - Haoh-ninpo-cho;1996;Fighter / Versus;Fighter;neogeo
overtop;Over Top;1996;Driving / Race;Driving;neogeo
panicbom;Panic Bomber;1994;Puzzle / Drop;Puzzle;neogeo
pgoal;Pleasure Goal / Futsal - 5 on 5 Mini Soccer;1996;Sports / Soccer;Sports;neogeo
pnyaa;Pochi and Nyaa;2003;Puzzle / Drop;Puzzle;neogeo
pspikes2;Power Spikes II;1994;Sports / Volleyball;Sports;neogeo
preisle2;Prehistoric Isle 2;1999;Shooter / Flying Horizontal;Shooter;neogeo
pulstar;Pulstar;1995;Shooter / Flying Horizontal;Shooter;neogeo
pbobblen;Puzzle Bobble / Bust-A-Move;1994;Puzzle / Toss;Puzzle;neogeo
pbobbl2n;Puzzle Bobble 2 / Bust-A-Move Again;1999;Puzzle / Toss;Puzzle;neogeo
puzzledp;Puzzle De Pon!;1995;Puzzle / Toss;Puzzle;neogeo
rotd;Rage of the Dragons;2002;Fighter / Versus;Fighter;neogeo
ragnagrd;Ragnagard / Shin-Oh-Ken;1996;Fighter / Versus;Fighter;neogeo
rbff1;Real Bout Fatal Fury / Real Bout Garou Densetsu;1995;Fighter / Versus;Fighter;neogeo
rbff2;Real Bout Fatal Fury 2 - The Newcomers / Real Bout Garou Densetsu 2 - The Newcomers;1998;Fighter / Versus;Fighter;neogeo
rbffspec;Real Bout Fatal Fury Special / Real Bout Garou Densetsu Special;1996;Fighter / Versus;Fighter;neogeo
roboarmy;Robo Army;1991;Fighter / 2.5D;Fighter;neogeo
samsho;Samurai Shodown / Samurai Spirits;1993;Fighter / Versus;Fighter;neogeo
samsho2;Samurai Shodown II / Shin Samurai Spirits - Haohmaru Jigokuhen;1994;Fighter / Versus;Fighter;neogeo
