name;description;year;category;genre;Top200;score;Top50;Icons;Top50 80s;Top50 90s;bios;sample
gtmr;1000 Miglia: Great 1000 Miles Rally;1994;Driving / Race;Driving;ok;4;x;;;x;;
1941;1941 - Counter Attack;1990;Shooter / Flying Vertical;Shooter;ok;5;x;;;x;;
1944;1944 - the loop master;2000;Shooter / Flying Vertical;Shooter;ok;3;;;;fbneo;;
19xx;19XX - the war against destiny;1995;Shooter / Flying Vertical;Shooter;ok;4;;;;x;;
openice;2 On 2 Open Ice Challenge;1995;Sports / Hockey;Sports;ok;3;;;;x;;
3countb;3 Count Bout / Fire Suplex;1993;Sports / Wrestling;Sports;ok;3;;;;x;neogeo;
aburner2;After Burner II;1987;Shooter / Flying (chase view);Shooter;ok;3;;x;x;;;
astorm;Alien Storm;1990;Platform / Shooter Scrolling;Platform;ok;3;;;;x;;
aliensyn;Alien Syndrome;1987;Maze / Shooter Large;Maze;ok;3;;;x;;;
avsp;Alien vs Predator;1994;Fighter / 2.5D;Fighter;ok;5;x;;;x;;
aliens;Aliens;1990;Platform / Shooter Scrolling;Platform;ok;3;;;;x;;
alpham2;Alpha Mission II / ASO II - Last Guardian;1991;Shooter / Flying Vertical;Shooter;ok;4;;;;;neogeo;
altbeast;Altered Beast;1988;Platform / Fighter Scrolling;Platform;ok;3;;fbneo;x;;;
arabian;Arabian;1983;Platform / Run Jump;Platform;ok;3;;;x;;;
batrider;Armed Police Batrider;1998;Shooter / Flying Vertical;Shooter;ok;5;x;;;x;;
armwar;Armored Warriors;1994;Fighter / 2.5D;Fighter;ok;5;x;;;x;;
aof3;Art of Fighting 3 - The Path of the Warrior / Art of Fighting - Ryuuko no Ken Gaiden;1996;Fighter / Versus;Fighter;ok;4;;;;x;neogeo;
asterix;Asterix;1992;Fighter / 2.5D;Fighter;ok;3;;;;x;;
asurabus;Asura Buster - Eternal Warriors;2000;Fighter / Versus;Fighter;ok;4;;;;;;
bssoccer;Back Street Soccer;1996;Sports / Soccer;Sports;ok;3;;;;;;
bstars2;Baseball Stars 2;1992;Sports / Baseball;Sports;ok;3;;;;;neogeo;
batsugun;Batsugun;1993;Shooter / Flying Vertical;Shooter;ok;4;;;;x;;
bgaregga;Battle Garegga;1996;Shooter / Flying Vertical;Shooter;ok;4;;;;x;;
berzerk;Berzerk;1980;Maze / Shooter Small;Maze;ok;3;;x;x;;;
blktiger;Black Tiger;1987;Platform / Fighter Scrolling;Platform;ok;4;;;x;;;
blazstar;Blazing Star;1998;Shooter / Flying Horizontal;Shooter;ok;4;x;;;x;neogeo;
bloodwar;Blood Warrior;1994;Fighter / Versus;Fighter;ok;4;;;;;;
bjourney;Blue's Journey / Raguy;1990;Platform / Fighter Scrolling;Platform;ok;3;;;;x;neogeo;
bombjack;Bomb Jack;1984;Platform / Run Jump;Platform;ok;3;;fbneo;x;;;
bnzabros;Bonanza Bros;1990;Platform / Shooter;Platform;ok;4;;;;x;;
bouldash;Boulder Dash / Boulder Dash Part 2;1990;Maze / Digging;Maze;ok;3;;x;;x;;
breakrev;Breakers Revenge;1998;Fighter / Versus;Fighter;ok;3;;;;;neogeo;
bublbob2;Bubble Bobble II;1994;Platform / Run Jump;Platform;ok;5;x;;;x;;
btime;Burger Time;1982;Platform / Run Jump;Platform;ok;3;;x;x;;;
cabal;Cabal;1988;Shooter / 3rd Person;Shooter;ok;4;;x;x;;;
cadash;Cadash;1989;Platform / Fighter Scrolling;Platform;ok;3;;;x;;;
dino;Cadillacs & Dinosaurs;1993;Fighter / 2.5D;Fighter;ok;4;;;;x;;
csclub;Capcom Sports Club;1997;Sports / Multiplay;Sports;ok;4;;;;x;;
cairblad;Change Air Blade;1999;Shooter / Flying Vertical;Shooter;ok;5;fbneo;;;x;;
chasehq;Chase H.Q.;1988;Driving / Race (chase view);Driving;ok;4;;x;x;;;
citycon;City Connection;1985;Platform / Run Jump;Platform;ok;;;;x;;;
clshroad;Clash-Road;1986;Driving / Race Bike;Driving;ok;3;;;x;;;
crkdown;Crack Down;1989;Maze / Shooter Large;Maze;ok;3;;;x;;;
crospang;Cross Pang;1998;Puzzle / Misc.;Puzzle;ok;3;;;;;;
crsword;Crossed Swords;1991;Fighter / Misc.;Fighter;ok;4;;;;;neogeo;
cybots;Cyberbots - fullmetal madness;1995;Fighter / Versus;Fighter;ok;5;;;;;;
