name;description;year;category;genre;Top200;Top50;Icons;Top50 80s;Top50 90s;bios;sample
1943;1943: The Battle of Midway;1987;Shooter / Flying Vertical;Shooter;;;;x;;;
aburner2;After Burner II;1987;Shooter / Flying (chase view);Shooter;ok;;x;x;;;
aliensyn;Alien Syndrome;1987;Maze / Shooter Large;Maze;ok;;;x;;;
altbeast;Altered Beast;1988;Platform / Fighter Scrolling;Platform;ok;;fbneo;x;;;
arabian;Arabian;1983;Platform / Run Jump;Platform;ok;;;x;;;
astdelux;Asteroids Deluxe;1980;Shooter / Field;Shooter;;;;x;;;
berzerk;Berzerk;1980;Maze / Shooter Small;Maze;ok;;x;x;;;
bionicc;Bionic Commando;1987;Platform / Shooter Scrolling;Platform;;;;x;;;
blktiger;Black Tiger;1987;Platform / Fighter Scrolling;Platform;ok;;;x;;;
bombjack;Bomb Jack;1984;Platform / Run Jump;Platform;ok;;fbneo;x;;;
bublbobl;Bubble Bobble;1986;Platform / Run Jump;Platform;;;x;x;;;
btime;Burger Time;1982;Platform / Run Jump;Platform;ok;;x;x;;;
cbtime;Burger Time;1983;Platform / Run Jump;Platform;;;;x;;decocass;
cabal;Cabal;1988;Shooter / 3rd Person;Shooter;ok;;x;x;;;
cadash;Cadash;1989;Platform / Fighter Scrolling;Platform;ok;;;x;;;
chasehq;Chase H.Q.;1988;Driving / Race (chase view);Driving;ok;;x;x;;;
citycon;City Connection;1985;Platform / Run Jump;Platform;ok;;;x;;;
clshroad;Clash-Road;1986;Driving / Race Bike;Driving;ok;;;x;;;
commando;Commando;1985;Shooter / Walking;Shooter;;;x;x;;;
contra;Contra;1987;Platform / Shooter Scrolling;Platform;;;;x;;;
crkdown;Crack Down;1989;Maze / Shooter Large;Maze;ok;;;x;;;
defender;Defender;1980;Shooter / Flying Horizontal;Shooter;ok;x;x;x;;;
digdug;Dig Dug;1982;Maze / Digging;Maze;ok;;x;x;;;
dkong;Donkey Kong;1981;Platform / Run Jump;Platform;ok;;x;x;;;
dkongjr;Donkey Kong Junior;1982;Platform / Run Jump;Platform;ok;;;x;;;
ddragon;Double Dragon;1987;Fighter / 2.5D;Fighter;ok;x;x;x;;;
ddragon2;Double Dragon II - The Revenge;1988;Fighter / 2.5D;Fighter;;;;x;;;
dspirit;Dragon Spirit);1987;Shooter / Flying Vertical;Shooter;;;;x;;;
elevator;Elevator Action;1983;Platform / Shooter;Platform;;;x;x;;;
fantzone;Fantasy Zone;1986;Shooter / Flying Horizontal;Shooter;ok;;x;x;;;
ffight;Final Fight;1989;Fighter / 2.5D;Fighter;ok;x;x;x;;;
flicky;Flicky;1984;Platform / Run Jump;Platform;ok;x;x;x;;;
fshark;Flying Shark;1987;Shooter / Flying Vertical;Shooter;ok;;;x;;;
frogger;Frogger;1981;Maze / Cross;Maze;ok;;x;x;;;
gground;Gain Ground;1988;Shooter / Walking;Shooter;;;;x;;;
galaga;Galaga;1981;Shooter / Gallery;Shooter;;;x;x;;;
galaga88;Galaga '88;1987;Shooter / Gallery;Shooter;ok;;;x;;;
gauntlet;Gauntlet;1985;Maze / Shooter Large;Maze;;;x;x;;;
gng;Ghosts'n Goblins;1985;Platform / Fighter Scrolling;Platform;;;x;x;;;
ghouls;Ghouls'n Ghosts;1988;Platform / Fighter Scrolling;Platform;ok;x;;x;;;
goldnaxe;Golden Axe;1989;Fighter / 2.5D;Fighter;ok;;x;x;;;
gberet;Green Beret;1985;Platform / Shooter Scrolling;Platform;ok;;;x;;;
gyruss;Gyruss;1983;Shooter / Flying (chase view);Shooter;ok;;;x;;;
joust;Joust;1982;Platform / Run Jump;Platform;ok;;x;x;;;
junglek;Jungle King;1982;Platform / Run, Jump & Scrolling;Platform;;;;x;;;
klax;Klax;1989;Puzzle / Drop;Puzzle;ok;;x;x;;;
kungfum;Kung-Fu Master;1984;Fighter / 2D;Fighter;;;x;x;;;
locomotn;Loco-Motion;1982;Puzzle / Sliding;Puzzle;ok;;;x;;;
ldrun;Lode Runner;1984;Platform / Run Jump;Platform;ok;;x;x;;;
maniach;Mania Challenge;1986;Sports / Wrestling;Sports;;;;x;;;
mappy;Mappy;1983;Platform / Run Jump;Platform;ok;;x;x;;;
milliped;Millipede;1982;Shooter / Gallery;Shooter;ok;;;x;;;
mpatrol;Moon Patrol;1982;Shooter / Driving Horizontal;Shooter;;;x;x;;;
docastle;Mr. Do's Castle;1983;Platform / Run Jump;Platform;ok;;;x;;;
mspacman;MS Pacman;1980;Maze / Collect;Maze;ok;x;;x;;;
myhero;My Hero;1985;Fighter / 2D;Fighter;;;;x;;;
nemesis;Nemesis;1985;Shooter / Flying Horizontal;Shooter;ok;;x;x;;;
nspirit;Ninja Spirit;1988;Fighter / 2D;Fighter;ok;x;;x;;;
outrun;Out Run;1986;Driving / Race (chase view);Driving;ok;x;x;x;;;
pacmania;Pac-Mania;1987;Maze / Collect;Maze;ok;;;x;;;
pang;Pang;1989;Shooter / 3rd Person;Shooter;;;;x;;;
pdrift;Power Drift;1988;Driving / Race (chase view);Driving;ok;fbneo;;x;;;
punchout;Punch-Out!!;1984;Sports / Boxing;Sports;ok;;x;x;;;
qbert;Q*bert;1982;Platform / Run Jump;Platform;;;x;x;;;
qix;Qix;1981;Puzzle / Outline;Puzzle;ok;;x;x;;;
rtype;R-Type;1987;Shooter / Flying Horizontal;Shooter;;;x;x;;;
rallyx;Rally X;1980;Maze / Driving;Maze;;;x;x;;;
rampage;Rampage;1986;Platform / Fighter;Platform;;;;x;;;
rastan;Rastan;1987;Platform / Fighter Scrolling;Platform;ok;;;x;;;
robocop;Robocop;1988;Platform / Shooter Scrolling;Platform;ok;;;x;;;
rthunder;Rolling Thunder;1986;Platform / Shooter Scrolling;Platform;;;x;x;;;
rygar;Rygar;1986;Platform / Fighter Scrolling;Platform;ok;;x;x;;;
salamand;Salamander;1986;Shooter / Flying;Shooter;ok;;;x;;;
scramble;Scramble;1981;Shooter / Flying Horizontal;Shooter;;;x;x;;;
secretag;Secret Agent;1989;Platform / Shooter Scrolling;Platform;ok;;;x;;;
shdancer;Shadow Dancer;1989;Platform / Fighter Scrolling;Platform;ok;x;;x;;;
shinobi;Shinobi;1987;Platform / Fighter Scrolling;Platform;;;x;x;;;
solomon;Solomon's Key;1986;Puzzle / Maze;Puzzle;ok;;;x;;;
sharrier;Space Harrier;1985;Shooter / Flying (chase view);Shooter;ok;;x;x;;;
spelunkr;Spelunker;1985;Platform / Run, Jump & Scrolling;Platform;ok;;;x;;;tr606drumkit
splatter;Splatter House;1988;Fighter / 2D;Fighter;ok;;x;x;;;
strider;Strider;1989;Platform / Fighter Scrolling;Platform;ok;x;x;x;;;
shangon;Super Hang-On;1987;Driving / Motorbike;Driving;;;;x;;;
tapper;Tapper;1983;Platform / Run Jump;Platform;ok;;;x;;midssio;
tbowl;Tecmo Bowl;1987;Sports / Football;Sports;ok;;;x;;;
tmnt;Teenage Mutant Ninja Turtles;1989;Fighter / 2.5D;Fighter;;;;x;;;
atetris;Tetris;1988;Puzzle / Drop;Puzzle;;;x;x;;;
tnzs;The NewZealand Story;1988;Platform / Run, Jump & Scrolling;Platform;ok;;;x;;;
timeplt;Time Pilot;1982;Shooter / Field;Shooter;ok;;;x;;;
toki;Toki;1989;Platform / Shooter Scrolling;Platform;ok;;;x;;;
trackfld;Track & Field;1983;Sports / Track & Field;Sports;;;x;x;;;
travrusa;Traverse USA / Zippy Race;1983;Driving / Motorbike;Driving;ok;;;x;;;
truxton;Truxton / Tatsujin;1988;Shooter / Flying Vertical;Shooter;;;;x;;;
toutrun;Turbo Out Run;1989;Driving / Race (chase view);Driving;ok;;;x;;;
twincobr;Twin Cobra;1987;Shooter / Flying Vertical;Shooter;;;;x;;;
unsquad;U.N. Squadron;1989;Shooter / Flying Horizontal;Shooter;;;;x;;;
wboy;Wonder Boy;1986;Platform / Shooter Scrolling;Platform;;;x;x;;;
twcup90;World Cup '90;1989;Sports / Soccer;Sports;;;;x;;ym2608;
yiear;Yie Ar Kung-Fu;1985;Fighter / Versus;Fighter;;;x;x;;;
zaxxon;Zaxxon;1982;Shooter / Flying Diagonal;Shooter;ok;x;x;x;;;
