name;description;sample;bios;selection;fbneo
3countb;3 Count Bout / Fire Suplex (NGM-043)(NGH-043);;neogeo;fighting;3countb
aof2;Art of Fighting 2 / Ryuuko no Ken 2;;neogeo;fighting;aof2
aof3;Art of Fighting 3 - The Path of the Warrior / Art of Fighting - Ryuuko no Ken Gaiden;;neogeo;fighting;aof3
asurabld;Asura Blade - Sword of Dynasty;;;fighting;asurabld
asurabus;Asura Buster - Eternal Warriors;;;fighting;asurabus
ts2;Battle Arena Toshinden 2;;coh1000c;fighting;#N/A
btlkroad;Battle K-Road;;;fighting;btlkroad
bloodwar;Blood Warrior;;;fighting;bloodwar
bldyror2;Bloody Roar 2;;coh1002e;fighting;#N/A
breakrev;Breakers Revenge;;neogeo;fighting;breakrev
cvs2;Capcom Vs. SNK 2: Mark Of The Millennium 2001;;naomigd;fighting;#N/A
capsnk;Capcom Vs. SNK: Millennium Fight 2000;;naomi;fighting;#N/A
cybots;Cyberbots: Fullmetal Madness;;;fighting;cybots
dankuga;Dan-Ku-Ga (Ver 0.0J 1994/12/13) (Prototype);;;fighting;dankuga
darkedge;Dark Edge (World);;;fighting;darkedge
doa;Dead or Alive;;;fighting;#N/A
doapp;Dead Or Alive ++;;coh1002m;fighting;#N/A
dbz2;Dragon Ball Z 2 - Super Battle;;;fighting;dbz2
ehrgeiz;Ehrgeiz;;;fighting;#N/A
kabukikl;Far East of Eden - Kabuki Klash / Tengai Makyou - Shin Den;;neogeo;fighting;kabukikl
fatfury3;Fatal Fury 3 - Road to the Final Victory / Garou Densetsu 3 - Haruka-naru Tatakai;;neogeo;fighting;fatfury3
fatfursp;Fatal Fury Special / Garou Densetsu Special;;neogeo;fighting;fatfursp
fgtlayer;Fighting Layer;;;fighting;#N/A
fvipers;Fighting Vipers;;;fighting;#N/A
garou;Garou - Mark of the Wolves;;neogeo;fighting;garou
gaxeduel;Golden Axe - The Duel;;stvbios;fighting;#N/A
ggxx;Guilty Gear XX;;naomigd;fighting;#N/A
ggxxac;Guilty Gear XX Accent Core;;naomigd;fighting;#N/A
hsf2;Hyper Street Fighter II: The Anniversary Edition (040202 USA);;;fighting;hsf2
jojoba;JoJo's Bizarre Adventure: Heritage for the Future / JoJo no Kimyou na Bouken: Mirai e no Isan (Euro 990927);;;fighting;jojoba
kaiserkn;Kaiser Knuckle (Ver 2.1O 1994/07/29);;;fighting;kaiserkn
karnovr;Karnov's Revenge / Fighter's History Dynamite;;neogeo;fighting;karnovr
kinst;Killer Instinct;;;fighting;#N/A
kinst2;Killer Instinct 2;;;fighting;#N/A
kotm;King of the Monsters (set 1);;neogeo;fighting;kotm
kizuna;Kizuna Encounter - Super Tag Battle / Fu'un Super Tag Battle;;neogeo;fighting;kizuna
kbash;Knuckle Bash;;;fighting;kbash
lastbrnx;Last Bronx;;;fighting;#N/A
mace;Mace: The Dark Age;;;fighting;#N/A
mtlchamp;Martial Champion;;;fighting;mtlchamp
martmast;Martial Masters / Xing Yi Quan;;pgm;fighting;martmast
msh;Marvel Super Heroes;;;fighting;msh
mshvsf;Marvel Super Heroes Vs. Street Fighter;;;fighting;mshvsf
mvsc;Marvel Vs. Capcom: Clash of Super Heroes;;;fighting;mvsc
matrim;Matrimelee / Shin Gouketsuji Ichizoku Toukon;;neogeo;fighting;matrim
megaman2;Mega Man 2: The Power Fighters;;;fighting;megaman2
megaman;Mega Man: The Power Battle;;;fighting;megaman
metmqstr;Metamoqester;;;fighting;metmqstr
gundamex;Mobile Suit Gundam EX Revue;;;fighting;gundamex
mmaulers;Monster Maulers;;;fighting;mmaulers
mk2;Mortal Kombat II;;;fighting;mk2
nwarr;Night Warriors: Darkstalkers' Revenge;;;fighting;nwarr
