name;description;sample;bios;selection;fbneo
gtmr;1000 Miglia: Great 1000 Miles Rally;;;racing;gtmr
abcop;A.B. Cop;;;racing;abcop
brubber;Burnin' Rubber;;;racing;brubber
chasehq;Chase H.Q. (World);;;racing;chasehq
clshroad;Clash-Road;;;racing;clshroad
contcirc;Continental Circus;;;racing;contcirc
crusnusa;Cruis'n USA;;;racing;#N/A
crusnwld;Cruis'n World;;;racing;#N/A
enduror;Enduro Racer (Rev A, YM2151, FD1089B 317-0013A);;;racing;enduror
f1lap;F1 Super Lap;;;racing;f1lap
finalap3;Final Lap 3;;;racing;finalap3
offroad;Ironman Ivan Stewart's Super Off-Road;;;racing;#N/A
madgear;Mad Gear;;;racing;madgear
neodrift;Neo Drift Out - New Technology;;neogeo;racing;neodrift
outrun;Out Run (sitdown/upright, Rev B);;;racing;outrun
overtop;Over Top;;neogeo;racing;overtop
polepos;Pole Position;;;racing;#N/A
pdrift;Power Drift (World, Rev A);;;racing;pdrift
ridgerac;Ridge Racer;;;racing;#N/A
roadf;Road Fighter (set 1);;;racing;roadf
sci;Special Criminal Investigation;;;racing;sci
shangon;Super Hang-On (sitdown/upright, unprotected);;;racing;shangon
trally;Thrash Rally;;neogeo;racing;trally
travrusa;Traverse USA / Zippy Race;;;racing;travrusa
turbo;Turbo (program 1513-1515);turbo;;racing;turbo
toutrun;Turbo Out Run (Out Run upgrade, FD1094 317-0118);;;racing;toutrun
wrally;World Rally;;;racing;wrally
