name;description;sample;bios;selection;fbneo
leds2011;Led Storm Rally 2011;;;shooting;leds2011
tenkomor;Tenkomori Shooting;;;shooting;#N/A
galivan;Cosmo Police Galivan;;;shooting;galivan
psychos;Psycho Soldier;;;shooting;psychos
cabal;Cabal (World, Joystick);;;shooting;cabal
dynduke;Dynamite Duke;;;shooting;dynduke
flamegun;Flame Gunner;;coh1002m;shooting;#N/A
nam1975;NAM-1975;;neogeo;shooting;nam1975
pang;Pang;;;shooting;pang
pooyan;Pooyan;;;shooting;pooyan
rambo3;Rambo III;;;shooting;rambo3
spang;Super Pang;;;shooting;spang
aquajack;Aqua Jack;;;shooting;aquajack
mpatrol;Moon Patrol;;;shooting;mpatrol
lastduel;Last Duel;;;shooting;lastduel
astdelux;Asteroids Deluxe;;;shooting;astdelux
blstroid;Blasteroids;;;shooting;blstroid
bosco;Bosconian - Star Destroyer;;;shooting;#N/A
cloak;Cloak & Dagger;;;shooting;cloak
krull;Krull;;;shooting;krull
robotron;Robotron: 2084;;;shooting;robotron
timeplt;Time Pilot;;;shooting;timeplt
tp84;Time Pilot '84;;;shooting;tp84
bchopper;Battle Chopper;;;shooting;bchopper
salamand;Salamander;;;shooting;salamand
terraf;Terra Force;;;shooting;terraf
vanguard;Vanguard;vanguard;;shooting;vanguard
aburner2;After Burner II;;;shooting;aburner2
buckrog;Buck Rogers: Planet of Zoom;buckrog;;shooting;buckrog
gforce2;Galaxy Force 2;;;shooting;gforce2
gyruss;Gyruss;;;shooting;gyruss
sharrier;Space Harrier;;;shooting;sharrier
gloc;G-LOC Air Battle (World);;;shooting;gloc
viewpoin;Viewpoint;;neogeo;shooting;viewpoin
zaxxon;Zaxxon;zaxxon;;shooting;zaxxon
airbustr;Air Buster: Trouble Specialty Raid Unit;;;shooting;airbustr
androdun;Andro Dunos;;neogeo;shooting;androdun
blkheart;Black Heart;;;shooting;blkheart
blazeon;Blaze On;;;shooting;blazeon
blazstar;Blazing Star;;neogeo;shooting;blazstar
cawing;Carrier Air Wing;;;shooting;cawing
choplift;Choplifter;;;shooting;choplift
chukatai;Chuka Taisen;;;shooting;chukatai
cobracom;Cobra-Command;;;shooting;cobracom
cotton;Cotton;;;shooting;cotton
cotton2;Cotton 2;;stvbios;shooting;#N/A
cottonbm;Cotton Boomerang;;stvbios;shooting;#N/A
darius;Darius;;;shooting;darius
dariusg;Darius Gaiden - Silver Hawk;;;shooting;dariusg
darius2;Darius II;;;shooting;darius2
deathsml;Deathsmiles;;;shooting;deathsml
defender;Defender;;;shooting;defender
dbreed;Dragon Breed;;;shooting;dbreed
edf;E.D.F. : Earth Defense Force;;;shooting;edf
ecofghtr;Eco Fighters;;;shooting;ecofghtr
fantjour;Fantastic Journey;;konamigx;shooting;#N/A
fantzone;Fantasy Zone (Rev A, unprotected);;;shooting;fantzone
fantzn2;Fantasy Zone II - The Tears of Opa-Opa (MC-8123, 317-0057);;;shooting;fantzn2
gdarius2;G-Darius Ver.2;;coh1000t;shooting;#N/A
gradius3;Gradius III;;;shooting;gradius3
gradius4;Gradius IV: Fukkatsu;;;shooting;#N/A
gratia;Gratia - Second Earth;;;shooting;gratia
hellfire;Hellfire;;;shooting;hellfire
hyprduel;Hyper Duel;;;shooting;hyprduel
strahl;Koutetsu Yousai Strahl;;;shooting;strahl
lresort;Last Resort;;neogeo;shooting;lresort
metalb;Metal Black;;;shooting;metalb
mysticri;Mystic Riders;;;shooting;mysticri
nemesis;Nemesis;;;shooting;nemesis
ordyne;Ordyne;;;shooting;ordyne
p47aces;P-47 Aces;;;shooting;p47aces
parodius;Parodius DA!;;;shooting;parodius
preisle2;Prehistoric Isle 2;;neogeo;shooting;preisle2
prehisle;Prehistoric Isle in 1930;;;shooting;prehisle
progear;Progear;;;shooting;progear
pulstar;Pulstar;;neogeo;shooting;pulstar
rtype;R-Type;;;shooting;rtype
rtypeleo;R-Type Leo;;;shooting;rtypeleo
stratof;Raiga - Strato Fighter;;;shooting;stratof
stdragon;Saint Dragon;;;shooting;stdragon
salmndr2;Salamander 2;;konamigx;shooting;#N/A
scramble;Scramble;;;shooting;scramble
sexyparo;Sexy Parodius;;konamigx;shooting;#N/A
sidearms;Side Arms - Hyper Dyne;;;shooting;sidearms
skykid;Sky Kid;;;shooting;skykid
soldivid;Sol Divide - The Sword Of Darkness;;;shooting;soldivid
scobra;Super Cobra;;;shooting;scobra
macross2;Super Spacefortress Macross II / Chou-Jikuu Yousai Macross II;;;shooting;macross2
tengai;Tengai;;;shooting;tengai
thunderx;Thunder Cross;;;shooting;thunderx
thndrx2;Thunder Cross II;;;shooting;thndrx2
tfrceac;Thunder Force AC;;;shooting;tfrceac
unsquad;U.N. Squadron;;;shooting;unsquad
vulcan;Vulcan Venture (New);;;shooting;vulcan
xmultipl;X Multiply;;;shooting;xmultipl
xexex;Xexex;;;shooting;xexex
zerowing;Zero Wing;;;shooting;zerowing
1941;1941 - Counter Attack (900227 World);;;shooting;1941
1942;1942;;;shooting;1942
1943kai;1943 Kai: Midway Kaisen;;;shooting;1943kai
1943;1943: The Battle of Midway;;;shooting;1943
1944;1944 - the loop master (000620 Euro);;;shooting;1944
19xx;19XX: The War Against Destiny;;;shooting;19xx
sonicwi2;Aero Fighters 2 / Sonic Wings 2;;neogeo;shooting;sonicwi2
aerofgts;Aero Fighters Special;;coh1002v;shooting;#N/A
agallet;Air Gallet;;;shooting;agallet
alpham2;Alpha Mission II / ASO II - Last Guardian;;neogeo;shooting;alpham2
batrider;Armed Police Batrider;;;shooting;batrider
batsugun;Batsugun;;;shooting;batsugun
bbakraid;Battle Bakraid - Unlimited Version;;;shooting;bbakraid
bgaregga;Battle Garegga;;;shooting;bgaregga
blswhstl;Bells & Whistles;;;shooting;blswhstl
brvblade;Brave Blade;;coh1002m;shooting;#N/A
cairblad;Change Air Blade (Japan);;;shooting;cairblad
cybattlr;Cybattler;;;shooting;cybattlr
cyvern;Cyvern - The Dragon Weapons;;skns;shooting;cyvern
desertwr;Desert War / Wangan Sensou;;;shooting;desertwr
dimahoo;Dimahoo;;;shooting;dimahoo
ddonpach;DoDonPachi;;;shooting;ddonpach
ddpdfk;DoDonPachi Dai-Fukkatsu Ver 1.5;;;shooting;ddpdfk
ddp2;DoDonPachi II - Bee Storm;;pgm;shooting;ddp2
ddp3;DoDonPachi III (World, 2002.05.15 Master Ver);;;shooting;ddp3
dogyuun;Dogyuun;;;shooting;dogyuun
dragnblz;Dragon Blaze;;;shooting;dragnblz
dspirit;Dragon Spirit;;;shooting;dspirit
esprade;ESP Ra.De.;;;shooting;esprade
espgal;Espgaluda;;;shooting;espgal
espgal2;Espgaluda II;;;shooting;espgal2
feversos;Fever SOS;;;shooting;feversos
fstarfrc;Final Star Force;;;shooting;fstarfrc
fireshrk;Fire Shark;;;shooting;fireshrk
fshark;Flying Shark;;;shooting;fshark
gemini;Gemini Wing;;;shooting;gemini
gigawing;Giga Wing;;;shooting;gigawing
grindstm;Grind Stormer;;;shooting;grindstm
gunfront;Gun & Frontier;;;shooting;gunfront
gunbird2;Gunbird 2;;;shooting;gunbird2
gunlock;Gunlock / RayForce;;;shooting;gunlock
gunnail;GunNail (28th May. 1992);;;shooting;gunnail
ibarablk;Ibara Kuro Black Label;;;shooting;ibarablk
ikaruga;Ikaruga;;naomigd;shooting;#N/A
ket;Ketsui: Kizuna Jigoku Tachi;;;shooting;ket
kingdmgp;Kingdom Grandprix (World);;;shooting;kingdmgp
lwings;Legendary Wings;;;shooting;lwings
lethalth;Lethal Thunder;;;shooting;lethalth
macrossp;Macross Plus;;;shooting;macrossp
mmatrix;Mars Matrix: Hyper Solid Shooting;;;shooting;mmatrix
mazinger;Mazinger Z;;;shooting;mazinger
mmpork;Muchi Muchi Pork!;;;shooting;mmpork
mushisam;Mushihime-Sama;;;shooting;mushisam
futaribl;Mushihime-Sama Futari Black Label - Another Ver;;;shooting;futaribl
futari15;Mushihime-Sama Futari Ver 1.5;;;shooting;futari15
nost;Nostradamus;;;shooting;nost
omegaf;Omega Fighter;;;shooting;omegaf
phelios;Phelios;;;shooting;phelios
pinkswts;Pink Sweets: Ibara Sorekara;;;shooting;pinkswts
plusalph;Plus Alpha;;;shooting;plusalph
psyvaria;Psyvariar -Medium Unit-;;coh3002t;shooting;#N/A
rsgun;Radiant Silvergun;;stvbios;shooting;#N/A
raiden;Raiden;;;shooting;raiden
rdft;Raiden Fighters (Germany);;;shooting;rdft
rdft2;Raiden Fighters 2 - Operation Hell Dive;;;shooting;rdft2
rfjet;Raiden Fighters Jet;;;shooting;rfjet
raiden2;Raiden II;;;shooting;raiden2
raycris;Ray Crisis;;coh3002t;shooting;#N/A
raystorm;Ray Storm;;coh1000t;shooting;#N/A
ryujin;Ryu Jin;;;shooting;ryujin
samuraia;Samurai Aces;;;shooting;samuraia
shienryu;Shienryu;;stvbios;shooting;#N/A
sstriker;Sorcer Striker;;;shooting;sstriker
sokyugrt;Soukyugurentai / Terra Diver;;stvbios;shooting;#N/A
stmblade;Storm Blade;;;shooting;stmblade
s1945ii;Strikers 1945 II;;;shooting;s1945ii
s1945iii;Strikers 1945 III  / Strikers 1999;;;shooting;s1945iii
macross;Super Spacefortress Macross / Chou-Jikuu Yousai Macross;;;shooting;macross
tacscan;Tac/Scan;;;shooting;tacscan
terracre;Terra Cresta;;;shooting;terracre
gametngk;The Game Paradise - Master of Shooting! / Game Tengoku - The Game Paradise;;;shooting;gametngk
tdragon2;Thunder Dragon 2 (9th Nov. 1993);;;shooting;tdragon2
tigerh;Tiger-Heli;;;shooting;tigerh
truxton;Truxton / Tatsujin;;;shooting;truxton
truxton2;Truxton II;;;shooting;truxton2
tbyahhoo;Twin Bee Yahhoo!;;konamigx;shooting;#N/A
twincobr;Twin Cobra;;;shooting;twincobr
tcobra2;Twin Cobra II;;;shooting;tcobra2
twineagl;Twin Eagle - Revenge Joe's Brother;;;shooting;twineagl
twineag2;Twin Eagle II - The Rescue Mission;;;shooting;twineag2
twinhawk;Twin Hawk;;;shooting;twinhawk
twinspri;Twinkle Star Sprites;;neogeo;shooting;twinspri
ultrax;Ultra X Weapons / Ultra Keibitai;;;shooting;ultrax
varth;Varth - operation thunderstorm (920714 etc);;;shooting;varth
vasara;Vasara;;;shooting;vasara
vasara2;Vasara 2;;;shooting;vasara2
viprp1;Viper Phase 1;;;shooting;viprp1
wndrplnt;Wonder Planet;;;shooting;wndrplnt
xevious;Xevious;;;shooting;xevious
xevi3dg;Xevious 3D/G;;;shooting;#N/A
astrob;Astro Blaster;;;shooting;#N/A
carnival;Carnival;carnival;;shooting;carnival
centiped;Centipede;;;shooting;centiped
cosmogng;Cosmo Gang the Video;;;shooting;cosmogng
galaga;Galaga;;;shooting;galaga
galaga88;Galaga '88;;;shooting;galaga88
galaxian;Galaxian;;;shooting;galaxian
gaplus;Gaplus;gaplus;;shooting;gaplus
gorf;Gorf;;;shooting;#N/A
junofrst;Juno First;;;shooting;junofrst
milliped;Millipede;;;shooting;milliped
mooncrst;Moon Cresta;;;shooting;mooncrst
phoenix;Phoenix;;;shooting;phoenix
shollow;Satan's Hollow;;;shooting;shollow
spcinv95;Space Invaders '95: The Attack Of Lunar Loonies (Ver 2.5O 1995/06/14);;;shooting;spcinv95
invaders;Space Invaders / Space Invaders M;;;shooting;invaders
spacedx;Space Invaders DX;;;shooting;spacedx
ssi;Super Space Invaders '91;;;shooting;ssi
boogwing;Boogie Wings;;;shooting;boogwing
inthunt;In The Hunt;;;shooting;inthunt
silkworm;Silk Worm;;;shooting;silkworm
