name;description;sample;bios;selection;fbneo
88games;'88 Games;;;sports;88games
openice;2 On 2 Open Ice Challenge;;;sports;openice
2020bb;2020 Super Baseball;;neogeo;sports;2020bb
alpine;Alpine Ski;;;sports;alpine
archrivl;Arch Rivals;;;sports;archrivl
bssoccer;Back Street Soccer;;;sports;bssoccer
bangbead;Bang Bead;;neogeo;sports;bangbead
bstars2;Baseball Stars 2;;neogeo;sports;bstars2
flipshot;Battle Flip Shot;;neogeo;sports;flipshot
bladestl;Blades of Steel;;;sports;bladestl
cbasebal;Capcom Baseball;;;sports;#N/A
csclub;Capcom Sports Club;;;sports;csclub
carket;Carket Ball;;;sports;carket
cbaj;Cool Boarders Arcade Jam;;coh1002m;sports;#N/A
cyberbal;Cyberball;;;sports;#N/A
extdwnhl;Extreme Downhill;;;sports;extdwnhl
footchmp;Football Champ / Euro Football Champ;;;sports;footchmp
fbfrenzy;Football Frenzy;;neogeo;sports;fbfrenzy
hattrick;Hat Trick;;;sports;#N/A
hvysmsh;Heavy Smash;;;sports;hvysmsh
hyperath;Hyper Athlete;;konamigv;sports;#N/A
kingofb;King of Boxer;;;sports;kingofb
lbowling;League Bowling;;neogeo;sports;lbowling
machbrkr;Mach Breakers;;;sports;machbrkr
maniach;Mania Challenge (set 1);;;sports;maniach
nagano98;Nagano Winter Olympics '98;;konamigv;sports;#N/A
nbahangt;NBA Hangtime;;;sports;nbahangt
nbajamte;NBA Jam TE (rev 4.0 3/23/94);;;sports;nbajamte
turfmast;Neo Turf Masters / Big Tournament Golf;;neogeo;sports;turfmast
blitz;NFL Blitz;;;sports;#N/A
pblbeach;Pebble Beach - The Great Shot;;stvbios;sports;#N/A
pkunwar;Penguin-Kun Wars;;;sports;pkunwar
pigskin;Pigskin 621AD;;;sports;pigskin
pgoal;Pleasure Goal / Futsal - 5 on 5 Mini Soccer;;neogeo;sports;pgoal
pspikes;Power Spikes;;;sports;pspikes
punchout;Punch-Out!!;;;sports;punchout
punkshot;Punk Shot;;;sports;punkshot
ringdest;Ring of Destruction: Slammasters II;;;sports;ringdest
rollerg;Rollergames;;;sports;rollerg
rungun;Run and Gun;;;sports;#N/A
rushhero;Rushing Heroes;;konamigx;sports;#N/A
slapshot;Slap Shot;;;sports;slapshot
socbrawl;Soccer Brawl;;neogeo;sports;socbrawl
speedspn;Speed Spin;;;sports;speedspn
stakwin2;Stakes Winner 2;;neogeo;sports;stakwin2
stonebal;Stone Ball;;;sports;stonebal
sdodgeb;Super Dodge Ball / Kunio no Nekketsu Toukyuu Densetsu;;neogeo;sports;sdodgeb
shimpact;Super High Impact;;;sports;shimpact
ssideki2;Super Sidekicks 2 - The World Championship / Tokuten Ou 2 - Real Fight Football;;neogeo;sports;ssideki2
cupfinal;Taito Cup Finals;;;sports;cupfinal
pwrgoal;Taito Power Goal;;;sports;pwrgoal
tbowl;Tecmo Bowl;;;sports;tbowl
twcup90;Tecmo World Cup '90;;;sports;twcup90
tehkanwc;Tehkan World Cup;;;sports;#N/A
simpbowl;The Simpsons Bowling;;konamigv;sports;#N/A
trackfld;Track & Field;;;sports;trackfld
vball;U.S. Championship V'ball;;;sports;vball
ultennis;Ultimate Tennis;;;sports;ultennis
vstriker;Virtua Striker;;;sports;#N/A
vtennis;Virtua Tennis / Power Smash;;naomi;sports;#N/A
waterski;Water Ski;;;sports;waterski
wg3dh;Wayne Gretzky's 3D Hockey;;;sports;#N/A
wjammers;Windjammers / Flying Power Disc;;neogeo;sports;wjammers
winspike;Winning Spike;;konamigx;sports;#N/A
wwfwfest;WWF WrestleFest;;;sports;wwfwfest
wwfmania;WWF: Wrestlemania;;;sports;wwfmania
