name;selection
3countb;fighting
aof2;fighting
aof3;fighting
asurabld;fighting
btlkroad;fighting
cybots;fighting
dbz2;fighting
ehrgeiz;fighting
kabukikl;fighting
fatfury3;fighting
fatfursp;fighting
garou;fighting
kaiserkn;fighting
karnovr;fighting
kotm;fighting
kizuna;fighting
kbash;fighting
mtlchamp;fighting
msh;fighting
mshvsf;fighting
mvsc;fighting
matrim;fighting
megaman2;fighting
megaman;fighting
metmqstr;fighting
mk2;fighting
nwarr;fighting
ninjamas;fighting
pwrinst2;fighting
rotd;fighting
rbffspec;fighting
samsho2;fighting
samsho4;fighting
samsh5sp;fighting
slammast;fighting
sfa2;fighting
sfa3;fighting
sf2ce;fighting
sgemf;fighting
ssf2t;fighting
daraku;fighting
karatour;fighting
kof96;fighting
kof98;fighting
kof2000;fighting
kof2002;fighting
lastbld2;fighting
vsav;fighting
wakuwak7;fighting
wh2j;fighting
xmvsf;fighting
xmcota;fighting
;
;
;
;
;
;
;
;
;
;
;
