name;selection
arabian;platform
athena;platform
avspirit;platform
bonkadv;platform
baddudes;platform
bagman;platform
bigkarnk;platform
blktiger;platform
bjourney;platform
bombjack;platform
bnzabros;platform
bublbobl;platform
bubblem;platform
btime;platform
cadash;platform
chinagat;platform
circusc;platform
citycon;platform
congo;platform
dondokod;platform
dkong;platform
dkong3;platform
dkongjr;platform
drmicro;platform
drgnbstr;platform
eightman;platform
flicky;platform
ganryu;platform
gng;platform
ghouls;platform
gunmast;platform
hharry;platform
hcastle;platform
joemacr;platform
joust;platform
joust2;platform
jjack;platform
junglek;platform
kangaroo;platform
kicker;platform
kidniki;platform
liquidk;platform
ldrun;platform
loderndf;platform
msword;platform
mappy;platform
mario;platform
marvland;platform
mtwins;platform
momoko;platform
docastle;platform
dowild;platform
nemo;platform
nitd;platform
osman;platform
pacland;platform
pandoras;platform
penbros;platform
pigout;platform
popeye;platform
qbert;platform
rampage;platform
rmpgwt;platform
rastan;platform
rocnrope;platform
rodland;platform
rygar;platform
sabotenb;platform
shdancer;platform
shinobi;platform
snowbros;platform
snowbro2;platform
solomon;platform
panic;platform
spelunkr;platform
spinmast;platform
strider;platform
sbagman;platform
tapper;platform
tnzs;platform
tigeroad;platform
timber;platform
tophuntr;platform
trojan;platform
tumblep;platform
vigilant;platform
wardner;platform
zookeep;platform
;
;
;
;
;
;
;
;
;
;
;
