name;selection
bangball;puzzle
blockhl;puzzle
blockout;puzzle
cshift;puzzle
columns;puzzle
columns2;puzzle
crospang;puzzle
dharma;puzzle
emeralda;puzzle
ghostlop;puzzle
htchctch;puzzle
klax;puzzle
landmakr;puzzle
locomotn;puzzle
magdrop3;puzzle
miexchng;puzzle
motos;puzzle
msgogo;puzzle
ohmygod;puzzle
plotting;puzzle
pururun;puzzle
puyopuy2;puzzle
puzzloop;puzzle
pbobble2;puzzle
pbobbl2n;puzzle
pbobble4;puzzle
puzzledp;puzzle
uopoko;puzzle
joyjoy;puzzle
qix;puzzle
riskchal;puzzle
suprloco;puzzle
spf2t;puzzle
tokkae;puzzle
atetris;puzzle
tetrisp2;puzzle
tgm2;puzzle
tgmj;puzzle
;
;
;
;
;
;
;
;
;
;
;
