name;selection
aliensyn;run-gun
battlera;run-gun
bayroute;run-gun
berzerk;run-gun
biomtoy;run-gun
bionicc;run-gun
bucky;run-gun
cninja;run-gun
chelnov;run-gun
commando;run-gun
contra;run-gun
crimec;run-gun
cyberlip;run-gun
demonwld;run-gun
elevator;run-gun
eprom;run-gun
gbusters;run-gun
gauntlet;run-gun
gberet;run-gun
gunforc2;run-gun
gunsmoke;run-gun
gundhara;run-gun
gunforce;run-gun
guwange;run-gun
ikari3;run-gun
karnov;run-gun
kikikai;run-gun
mcatadv;run-gun
maglord;run-gun
mercs;run-gun
mslug;run-gun
mslug3;run-gun
mslug4;run-gun
mslug5;run-gun
mslugx;run-gun
narc;run-gun
ncommand;run-gun
outzone;run-gun
oscar;run-gun
quartet;run-gun
robocop;run-gun
rohga;run-gun
rthunder;run-gun
rthun2;run-gun
seganinj;run-gun
shocktro;run-gun
shocktr2;run-gun
ssriders;run-gun
scontra;run-gun
teddybb;run-gun
ghostb;run-gun
thoop;run-gun
thndzone;run-gun
toki;run-gun
valkyrie;run-gun
willow;run-gun
wiz;run-gun
wboy;run-gun
wbml;run-gun
wb3;run-gun
xsleena;run-gun
;
;
;
;
;
;
;
;
;
;
;
