name;selection
1941;shooting
1942;shooting
1943kai;shooting
1943;shooting
1944;shooting
19xx;shooting
sonicwi2;shooting
aburner2;shooting
airbustr;shooting
agallet;shooting
alpham2;shooting
androdun;shooting
aquajack;shooting
batrider;shooting
astdelux;shooting
astrob;shooting
bbakraid;shooting
bchopper;shooting
blswhstl;shooting
blkheart;shooting
blstroid;shooting
blazeon;shooting
blazstar;shooting
boogwing;shooting
bosco;shooting
brvblade;shooting
buckrog;shooting
cabal;shooting
carnival;shooting
cawing;shooting
centiped;shooting
cairblad;shooting
chukatai;shooting
cloak;shooting
cobracom;shooting
cosmogng;shooting
galivan;shooting
cybattlr;shooting
cyvern;shooting
darius;shooting
darius2;shooting
defender;shooting
desertwr;shooting
dimahoo;shooting
ddonpach;shooting
ddp3;shooting
dragnblz;shooting
dbreed;shooting
dspirit;shooting
dynduke;shooting
edf;shooting
ecofghtr;shooting
esprade;shooting
espgal;shooting
fantzone;shooting
fstarfrc;shooting
fireshrk;shooting
galaga;shooting
galaga88;shooting
galaxian;shooting
gaplus;shooting
gemini;shooting
gigawing;shooting
gorf;shooting
gradius3;shooting
gratia;shooting
gunfront;shooting
gunnail;shooting
gyruss;shooting
hellfire;shooting
hyprduel;shooting
inthunt;shooting
junofrst;shooting
ket;shooting
strahl;shooting
krull;shooting
lastduel;shooting
lresort;shooting
leds2011;shooting
lwings;shooting
lethalth;shooting
macrossp;shooting
mmatrix;shooting
mazinger;shooting
metalb;shooting
milliped;shooting
mooncrst;shooting
mpatrol;shooting
mysticri;shooting
nam1975;shooting
nemesis;shooting
nost;shooting
omegaf;shooting
ordyne;shooting
p47aces;shooting
pang;shooting
parodius;shooting
phelios;shooting
phoenix;shooting
plusalph;shooting
pooyan;shooting
preisle2;shooting
prehisle;shooting
progear;shooting
psychos;shooting
pulstar;shooting
rtype;shooting
rtypeleo;shooting
raiden;shooting
raiden2;shooting
stratof;shooting
rambo3;shooting
robotron;shooting
ryujin;shooting
stdragon;shooting
salamand;shooting
salmndr2;shooting
samuraia;shooting
shollow;shooting
scramble;shooting
sexyparo;shooting
sidearms;shooting
silkworm;shooting
skykid;shooting
soldivid;shooting
sharrier;shooting
spcinv95;shooting
invaders;shooting
spacedx;shooting
stmblade;shooting
s1945ii;shooting
s1945iii;shooting
scobra;shooting
spang;shooting
ssi;shooting
macross;shooting
macross2;shooting
tacscan;shooting
tengai;shooting
terracre;shooting
terraf;shooting
thunderx;shooting
thndrx2;shooting
tdragon2;shooting
tfrceac;shooting
tigerh;shooting
timeplt;shooting
tp84;shooting
truxton;shooting
truxton2;shooting
tbyahhoo;shooting
twincobr;shooting
twineagl;shooting
twineag2;shooting
twinhawk;shooting
twinspri;shooting
unsquad;shooting
ultrax;shooting
vanguard;shooting
vasara;shooting
vasara2;shooting
viewpoin;shooting
vulcan;shooting
wndrplnt;shooting
xmultipl;shooting
xevious;shooting
xevi3dg;shooting
xexex;shooting
zaxxon;shooting
zerowing;shooting
;
;
;
;
;
;
;
;
;
;
;
