name;description;year;manufacturer;is_parent;romof;is_clone;cloneof;sasampleof;
gtmra;1000 Miglia: Great 1000 Miles Rally (94/06/13);1994;Kaneko;NO;gtmr;YES;gtmr;-;
gtmr;1000 Miglia: Great 1000 Miles Rally (94/07/18);1994;Kaneko;YES;-;NO;-;-;
abcop;A.B. Cop (World, FD1094 317-0169b);1990;Sega;YES;-;NO;-;-;
aburner;After Burner;1987;Sega;NO;aburner2;YES;aburner2;-;
aburner2;After Burner II;1987;Sega;YES;-;NO;-;-;
aquajackj;Aquajack (Japan);1990;Taito Corporation;NO;aquajack;YES;aquajack;-;
aquajack;Aquajack (World);1990;Taito Corporation Japan;YES;-;NO;-;-;
arkgcbl;Arkanoid (bootleg on Block hardware) [Bootleg];1986;bootleg;NO;arkanoid;YES;arkanoid;-;
ark1ball;Arkanoid (bootleg with MCU, harder) [Bootleg];1986;bootleg;NO;arkanoid;YES;arkanoid;-;
arkangc;Arkanoid (Game Corporation bootleg, set 1) [Bootleg];1986;bootleg;NO;arkanoid;YES;arkanoid;-;
arkangc2;Arkanoid (Game Corporation bootleg, set 2) [Bootleg];1986;bootleg;NO;arkanoid;YES;arkanoid;-;
arkanoidj;Arkanoid (Japan);1986;Taito Corporation;NO;arkanoid;YES;arkanoid;-;
arkatayt;Arkanoid (Tayto bootleg) [Bootleg];1986;bootleg;NO;arkanoid;YES;arkanoid;-;
arktayt2;Arkanoid (Tayto bootleg, harder) [Bootleg];1986;bootleg;NO;arkanoid;YES;arkanoid;-;
arkanoidu;Arkanoid (US);1986;Taito America Corporation (Romstar license);NO;arkanoid;YES;arkanoid;-;
arkanoiduo;Arkanoid (US, oldest rev);1986;Taito America Corporation (Romstar license);NO;arkanoid;YES;arkanoid;-;
arkanoid;Arkanoid (World, oldest rev);1986;Taito Corporation Japan;YES;-;NO;-;-;
arknoid2j;Arkanoid - Revenge of DOH (Japan);1987;Taito Corporation;NO;arknoid2;YES;arknoid2;-;
arknoid2u;Arkanoid - Revenge of DOH (US);1987;Taito America Corporation (Romstar license);NO;arknoid2;YES;arknoid2;-;
arknoid2;Arkanoid - Revenge of DOH (World);1987;Taito Corporation Japan;YES;-;NO;-;-;
aztarac;Aztarac [Vector graphics];1983;Centuri;YES;-;NO;-;-;
backfire;Backfire! (set 1);1995;Data East Corporation;YES;-;NO;-;-;
bsharkj;Battle Shark (Japan);1989;Taito Corporation;NO;bshark;YES;bshark;-;
bshark;Battle Shark (World);1989;Taito Corporation Japan;YES;-;NO;-;-;
bladestle;Blades of Steel (version E);1987;Konami;NO;bladestl;YES;bladestl;-;
bladestll;Blades of Steel (version L);1987;Konami;NO;bladestl;YES;bladestl;-;
bladestl;Blades of Steel (version T);1987;Konami;YES;-;NO;-;-;
arkblock;Block (Game Corporation bootleg, set 1) [Bootleg];1986;bootleg;NO;arkanoid;YES;arkanoid;-;
arkbloc2;Block (Game Corporation bootleg, set 2) [Bootleg];1986;bootleg;NO;arkanoid;YES;arkanoid;-;
