name;description;year;manufacturer;is_parent;romof;is_clone;cloneof;sasampleof;
heist;"The Heist";1983;"Micro Fun";YES;coleco;NO;-;-;
2010;"2010: The Graphic Action Game";1984;"Coleco";YES;coleco;NO;-;-;
2010p1;"2010: The Graphic Action Game (Prototype v44)";1984;"Coleco";NO;2010;YES;2010;-;
2010p;"2010: The Graphic Action Game (Prototype v54)";1984;"Coleco";NO;2010;YES;2010;-;
alcazar;"Alcazar: The Forgotten Fortress";1985;"Telegames";YES;coleco;NO;-;-;
alphazoo;"Alphabet Zoo";1984;"Spinnaker Software";YES;coleco;NO;-;-;
amazing;"Amazing Bumpman";1986;"Telegames";YES;coleco;NO;-;-;
antarct;"Antarctic Adventure";1984;"Coleco";YES;coleco;NO;-;-;
aquatack;"Aquattack";1984;"Interphase";YES;coleco;NO;-;-;
aquatacka;"Aquattack (Alt)";1984;"Interphase";NO;aquatack;YES;aquatack;-;
artduel;"Artillery Duel";1983;"Xonox";YES;coleco;NO;-;-;
bcquest;"BC's Quest for Tires";1983;"Sierra On-Line";YES;coleco;NO;-;-;
bcquest2;"BC's Quest for Tires II: Grog's Revenge";1984;"Coleco";YES;coleco;NO;-;-;
bcquest2ca;"BC's Quest for Tires II: Grog's Revenge (Can)";1984;"Coleco Canada";NO;bcquest2;YES;bcquest2;-;
beamridr;"Beamrider";1983;"Activision";YES;coleco;NO;-;-;
blockrun;"Blockade Runner";1984;"Interphase";YES;coleco;NO;-;-;
bdash;"Boulder Dash";1984;"Telegames";YES;coleco;NO;-;-;
brainstr;"Brain Strainers";1984;"Coleco";YES;coleco;NO;-;-;
buckrog;"Buck Rogers: Planet of Zoom";1983;"Coleco";YES;coleco;NO;-;-;
bnj;"Bump 'n' Jump";1984;"Coleco";YES;coleco;NO;-;-;
btime;"Burgertime";1984;"Coleco";YES;coleco;NO;-;-;
btimem;"Burgertime (Prototype)";1983;"Mattel";NO;btime;YES;btime;-;
cabbshow;"Cabbage Patch Kids Picture Show";1984;"Coleco";YES;coleco;NO;-;-;
cabbage;"Cabbage Patch Kids: Adventure in the Park";1984;"Coleco";YES;coleco;NO;-;-;
cabbagep1;"Cabbage Patch Kids: Adventure in the Park (Prototype)";1984;"Coleco";NO;cabbage;YES;cabbage;-;
cabbagep2;"Cabbage Patch Kids: Adventure in the Park (Prototype, Alt)";1984;"Coleco";NO;cabbage;YES;cabbage;-;
campaign;"Campaign '84";1983;"Sunrise Software";YES;coleco;NO;-;-;
carnival;"Carnival";1982;"Coleco";YES;coleco;NO;-;-;
castelo;"Castelo";1985;"Splice Vision";YES;coleco;NO;-;-;
cbsmon;"CBS Colecovision Monitor Test";1982;"CBS";YES;coleco;NO;-;-;
centiped;"Centipede";1983;"Atarisoft";YES;coleco;NO;-;-;
choplift;"Choplifter!";1984;"Coleco";YES;coleco;NO;-;-;
chucknor;"Chuck Norris Superkicks";1983;"Xonox";YES;coleco;NO;-;-;
congo;"Congo Bongo";1984;"Coleco";YES;coleco;NO;-;-;
cavenger;"Cosmic Avenger";1982;"Coleco";YES;coleco;NO;-;-;
cavengera;"Cosmic Avenger (Alt)";1982;"Coleco";NO;cavenger;YES;cavenger;-;
ccrisis;"Cosmic Crisis";1983;"Telegames";YES;coleco;NO;-;-;
dncfntsy;"Dance Fantasy";1984;"Fisher-Price";YES;coleco;NO;-;-;
decathln;"Decathlon";1984;"Activision";YES;coleco;NO;-;-;
defender;"Defender";1983;"Atarisoft";YES;coleco;NO;-;-;
destruct;"Destructor";1984;"Coleco";YES;coleco;NO;-;-;
digdug;"Dig Dug (Prototype)";1984;"Atarisoft";YES;coleco;NO;-;-;
digger;"Digger";2012;"Coleco*Windmill Software";YES;coleco;NO;-;-;
dkong;"Donkey Kong";1982;"Coleco";YES;coleco;NO;-;-;
dkonga;"Donkey Kong (Earlier Version)";1982;"Coleco";NO;dkong;YES;dkong;-;
dkongjr;"Donkey Kong Junior";1983;"Coleco";YES;coleco;NO;-;-;
drseuss;"Dr. Seuss's Fix-Up the Mix-Up Puzzler";1984;"Coleco";YES;coleco;NO;-;-;
dlair;"Dragon's Lair (Prototype, 0416)";1984;"Coleco";YES;coleco;NO;-;-;
drgnfire;"DragonFire";1984;"Imagic";YES;coleco;NO;-;-;
mindmstr;"Escape from the Mindmaster (Prototype)";1983;"Epyx";YES;coleco;NO;-;-;
evolutio;"Evolution";1983;"Coleco";YES;coleco;NO;-;-;
facemakr;"Facemaker";1983;"Spinnaker Software";YES;coleco;NO;-;-;
fallguy;"Fall Guy (Prototype)";1983;"Fox Video Games";YES;coleco;NO;-;-;
fathom;"Fathom";1983;"Imagic";YES;coleco;NO;-;-;
finaltst;"Final Test Cartridge (Prototype)";1982;"Coleco";YES;coleco;NO;-;-;
flipslip;"Flipper Slipper";1983;"Spectravideo";YES;coleco;NO;-;-;
fortune;"Fortune Builder";1984;"Coleco";YES;coleco;NO;-;-;
fracfevr;"Fraction Fever";1983;"Spinnaker Software";YES;coleco;NO;-;-;
ffreddy;"Frantic Freddy";1983;"Spectravideo";YES;coleco;NO;-;-;
frenzy;"Frenzy";1983;"Coleco";YES;coleco;NO;-;-;
frenzya;"Frenzy (Alt 1)";1983;"Coleco";NO;frenzy;YES;frenzy;-;
frenzya2;"Frenzy (Alt 2)";1983;"Coleco";NO;frenzy;YES;frenzy;-;
