name;description;year;manufacturer;is_parent;romof;is_clone;cloneof;sasampleof;
5in1fun;"5 in 1 Funpak (USA)";1994;"Interplay";YES;-;NO;-;-;
aaharima;"Aa Harimanada (Jpn)";1993;"Sega";YES;-;NO;-;-;
aerialasj;"Aerial Assault (Jpn, v1)";1992;"Sega";NO;aerialas;YES;aerialas;-;
aerialas;"Aerial Assault (World, v0)";1992;"Sega";YES;-;NO;-;-;
alexkidd;"Alex Kidd in Miracle World (Tw, SMS Mode)";198?;"Unknown";YES;-;NO;-;-;
alien3;"Alien 3 (Euro, USA)";1992;"Arena";YES;-;NO;-;-;
alien3j;"Alien 3 (Jpn)";1992;"Acclaim Entertainment";NO;alien3;YES;alien3;-;
aliensyn;"Alien Syndrome (Euro, USA)";1992;"Sega";YES;-;NO;-;-;
aliensynj;"Alien Syndrome (Jpn)";1992;"SIMS";NO;aliensyn;YES;aliensyn;-;
agassi;"Andre Agassi Tennis (USA)";1993;"TecMagik";YES;-;NO;-;-;
arcadecl;"Arcade Classics (USA)";1996;"Sega";YES;-;NO;-;-;
archrivl;"Arch Rivals (USA)";1992;"Flying Edge";YES;-;NO;-;-;
arena;"Arena (Euro, USA)";1995;"Sega";YES;-;NO;-;-;
arliel;"Arliel - Crystal Densetsu (Jpn)";1991;"Sega";NO;crystalw;YES;crystalw;-;
astergre;"Asterix and the Great Rescue (Euro)";1993;"Sega";YES;-;NO;-;-;
astergrep3;"Asterix and the Great Rescue (Prototype, 19940125)";1994;"Sega";NO;astergre;YES;astergre;-;
astergrep5;"Asterix and the Great Rescue (Prototype, 19940216)";1994;"Sega";NO;astergre;YES;astergre;-;
astergrep4;"Asterix and the Great Rescue (Prototype, 19940222)";1994;"Sega";NO;astergre;YES;astergre;-;
astergrep2;"Asterix and the Great Rescue (Prototype, 19940313)";1994;"Sega";NO;astergre;YES;astergre;-;
astergrep1;"Asterix and the Great Rescue (Prototype, 19940315)";1994;"Sega";NO;astergre;YES;astergre;-;
astergreu;"Asterix and the Great Rescue (USA)";1994;"Sega";NO;astergre;YES;astergre;-;
astermis;"Asterix and the Secret Mission (Euro)";1993;"Sega";YES;-;NO;-;-;
axbattlrp;"Ax Battler - A Legend of Golden Axe (Euro, USA, Prototype v2.0)";1991;"Sega";NO;axbattlr;YES;axbattlr;-;
axbattlr;"Ax Battler - A Legend of Golden Axe (Euro, USA, v2.4)";1991;"Sega";YES;-;NO;-;-;
axbattlrj;"Ax Battler - Golden Axe Densetsu (Jpn, v1.5)";1991;"Sega";NO;axbattlr;YES;axbattlr;-;
smgp2;"Ayrton Senna's Super Monaco GP II (Euro, USA)";1992;"Sega";YES;-;NO;-;-;
smgp2p;"Ayrton Senna's Super Monaco GP II (Euro, USA, Prototype)";1992;"Sega";NO;smgp2;YES;smgp2;-;
smgp2j;"Ayrton Senna's Super Monaco GP II (Jpn)";1992;"Sega";NO;smgp2;YES;smgp2;-;
bakubaku;"Baku Baku Animal (Euro)";1996;"Sega";YES;-;NO;-;-;
bakubakuu;"Baku Baku Animal (USA)";1996;"Sega";NO;bakubaku;YES;bakubaku;-;
bakubakuj;"Baku Baku Animal - Sekai Shiikugakari Senshu-ken (Jpn)";1996;"Sega";NO;bakubaku;YES;bakubaku;-;
barbie;"Barbie Super Model (Prototype)";199?;"Unknown";YES;-;NO;-;-;
batmanf;"Batman Forever (World)";1995;"Acclaim Entertainment";YES;-;NO;-;-;
batmanrn;"Batman Returns (World)";1992;"Sega";YES;-;NO;-;-;
batterup;"Batter Up (Euro, USA)";1991;"Namco";YES;-;NO;-;-;
bship;"Battleship (Euro, USA)";1993;"Mindscape";YES;-;NO;-;-;
btoads;"Battletoads (Euro, Jpn)";1993;"Sega";YES;-;NO;-;-;
btoadsu;"Battletoads (USA)";1993;"Tradewest";NO;btoads;YES;btoads;-;
beavis;"Beavis and Butt-head (Euro, USA)";1994;"Viacom New Media";YES;-;NO;-;-;
beavisp;"Beavis and Butt-head (Prototype?)";1994;"Viacom New Media";NO;beavis;YES;beavis;-;
berlin;"Berlin no Kabe - The Berlin Wall (Jpn)";1991;"Kaneko";YES;-;NO;-;-;
sailorms;"Bishoujo Senshi Sailor Moon S (Jpn)";1995;"Bandai";YES;-;NO;-;-;
bonkersp13;"Bonkers Wax Up! (Prototype, 19941031)";1994;"Sega";NO;bonkers;YES;bonkers;-;
bonkersp12;"Bonkers Wax Up! (Prototype, 19941115)";1994;"Sega";NO;bonkers;YES;bonkers;-;
bonkersp11;"Bonkers Wax Up! (Prototype, 19941121)";1994;"Sega";NO;bonkers;YES;bonkers;-;
bonkersp10;"Bonkers Wax Up! (Prototype, 19941123)";1994;"Sega";NO;bonkers;YES;bonkers;-;
bonkersp09;"Bonkers Wax Up! (Prototype, 19941126)";1994;"Sega";NO;bonkers;YES;bonkers;-;
bonkersp08;"Bonkers Wax Up! (Prototype, 19941129)";1994;"Sega";NO;bonkers;YES;bonkers;-;
dracula;"Bram Stoker's Dracula (Euro)";1994;"Sony Imagesoft";YES;-;NO;-;-;
draculau;"Bram Stoker's Dracula (USA)";1992;"Sony Imagesoft";NO;dracula;YES;dracula;-;
bublbobl;"Bubble Bobble (Euro, USA)";1994;"Taito";YES;-;NO;-;-;
bugsbun;"Bugs Bunny in Double Trouble (Euro, USA)";1996;"Sega";YES;-;NO;-;-;
bam;"Bust-A-Move (Euro, USA)";1995;"Sega";YES;-;NO;-;-;
busterb;"Buster Ball (Jpn)";1992;"Riverhill Software";YES;-;NO;-;-;
busterf;"Buster Fight (Jpn)";1994;"Sega";YES;-;NO;-;-;
caesars;"Caesars Palace (USA)";1993;"Virgin Interactive";YES;-;NO;-;-;
captaven;"Captain America and the Avengers (Euro, USA)";1993;"Mindscape";YES;-;NO;-;-;
carlicen;"Car Licence (Jpn)";199?;"Unknown";YES;-;NO;-;-;
casinofn;"Casino Funpak (USA)";1995;"Interplay";YES;-;NO;-;-;
castlill;"Castle of Illusion Starring Mickey Mouse (Euro, USA, SMS Mode)";1991;"Sega";YES;-;NO;-;-;
chakan;"Chakan (Euro, USA)";1992;"Sega";YES;-;NO;-;-;
champhck;"Championship Hockey (Euro)";1992;"U.S. Gold";YES;-;NO;-;-;
cheese;"Cheese Cat-astrophe Starring Speedy Gonzales (Euro)";1995;"Sega";YES;-;NO;-;-;
chicagop24;"Chicago Syndicate (Prototype, 19950505)";1995;"Sega";NO;chicago;YES;chicago;-;
chicagop23;"Chicago Syndicate (Prototype, 19950601)";1995;"Sega";NO;chicago;YES;chicago;-;
chicagop22;"Chicago Syndicate (Prototype, 19950605)";1995;"Sega";NO;chicago;YES;chicago;-;
chicagop21;"Chicago Syndicate (Prototype, 19950607)";1995;"Sega";NO;chicago;YES;chicago;-;
chicagop20;"Chicago Syndicate (Prototype, 19950608)";1995;"Sega";NO;chicago;YES;chicago;-;
chicagop19;"Chicago Syndicate (Prototype, 19950612)";1995;"Sega";NO;chicago;YES;chicago;-;
chicagop18;"Chicago Syndicate (Prototype, 19950614)";1995;"Sega";NO;chicago;YES;chicago;-;
chicagop17;"Chicago Syndicate (Prototype, 19950619)";1995;"Sega";NO;chicago;YES;chicago;-;
chicagop16;"Chicago Syndicate (Prototype, 19950620)";1995;"Sega";NO;chicago;YES;chicago;-;
chicagop15;"Chicago Syndicate (Prototype, 19950622)";1995;"Sega";NO;chicago;YES;chicago;-;
chicagop14;"Chicago Syndicate (Prototype, 19950626)";1995;"Sega";NO;chicago;YES;chicago;-;
chicagop13;"Chicago Syndicate (Prototype, 19950628)";1995;"Sega";NO;chicago;YES;chicago;-;
chicagop11;"Chicago Syndicate (Prototype, 19950629)";1995;"Sega";NO;chicago;YES;chicago;-;
chicagop12;"Chicago Syndicate (Prototype, 19950629-B)";1995;"Sega";NO;chicago;YES;chicago;-;
chicagop10;"Chicago Syndicate (Prototype, 19950630-B)";1995;"Sega";NO;chicago;YES;chicago;-;
chicagop09;"Chicago Syndicate (Prototype, 19950703)";1995;"Sega";NO;chicago;YES;chicago;-;
chicagop08;"Chicago Syndicate (Prototype, 19950705)";1995;"Sega";NO;chicago;YES;chicago;-;
chicagop07;"Chicago Syndicate (Prototype, 19950707)";1995;"Sega";NO;chicago;YES;chicago;-;
chicagop06;"Chicago Syndicate (Prototype, 19950710)";1995;"Sega";NO;chicago;YES;chicago;-;
chicagop05;"Chicago Syndicate (Prototype, 19950711)";1995;"Sega";NO;chicago;YES;chicago;-;
chicagop04;"Chicago Syndicate (Prototype, 19950719)";1995;"Sega";NO;chicago;YES;chicago;-;
chicagop03;"Chicago Syndicate (Prototype, 19950720)";1995;"Sega";NO;chicago;YES;chicago;-;
chicagop01;"Chicago Syndicate (Prototype, 19950721)";1995;"Sega";NO;chicago;YES;chicago;-;
chicagop02;"Chicago Syndicate (Prototype, 19950721-B)";1995;"Sega";NO;chicago;YES;chicago;-;
chicago;"Chicago Syndicate (USA, Bra)";1995;"Sega";YES;-;NO;-;-;
choplft3;"Choplifter III (USA)";1993;"Extreme Entertainment Group";YES;-;NO;-;-;
chuckrck;"Chuck Rock (World)";1992;"Sega";YES;-;NO;-;-;
chuckrckp;"Chuck Rock (World, Prototype)";1992;"Sega";NO;chuckrck;YES;chuckrck;-;
chukrck2;"Chuck Rock II - Son of Chuck (Euro)";1994;"Virgin Interactive";YES;-;NO;-;-;
chukrck2u;"Chuck Rock II - Son of Chuck (USA)";1994;"Virgin Interactive";NO;chukrck2;YES;chukrck2;-;
cj;"CJ Elephant Fugitive (Euro)";1991;"Codemasters";YES;-;NO;-;-;
cliffh;"Cliffhanger (USA)";1993;"Sony Imagesoft";YES;-;NO;-;-;
clutchit;"Clutch Hitter (USA)";1991;"Sega";YES;-;NO;-;-;
cocakid;"Coca Cola Kid (Jpn)";1994;"Sega";YES;-;NO;-;-;
columns;"Columns (Euro, USA, Bra)";1990;"Sega";YES;-;NO;-;-;
columnsj;"Columns (Jpn)";1990;"Sega";NO;columns;YES;columns;-;
columnsj1;"Columns (Jpn, Older)";1990;"Sega";NO;columns;YES;columns;-;
coolspot;"Cool Spot (Euro)";1993;"Virgin Interactive";YES;-;NO;-;-;
coolspotu;"Cool Spot (USA)";1993;"Virgin Interactive";NO;coolspot;YES;coolspot;-;
cosmic;"Cosmic Spacehead (Euro)";1993;"Codemasters";YES;-;NO;-;-;
crayon;"Crayon Shin-chan - Taiketsu! Kantamu Panic!! (Jpn)";1995;"Bandai";YES;-;NO;-;-;
crazyfac;"Crazy Faces (Euro, Prototype)";1993;"Domark";YES;-;NO;-;-;
crystalw;"Crystal Warriors (Euro, USA)";1992;"Sega";YES;-;NO;-;-;
cutthr;"Cutthroat Island (Euro, USA)";1995;"Acclaim Entertainment";YES;-;NO;-;-;
cutthrp;"Cutthroat Island (Prototype 19950916)";1995;"Acclaim Entertainment";NO;cutthr;YES;cutthr;-;
daffy;"Daffy Duck in Hollywood (Euro)";1994;"Sega";YES;-;NO;-;-;
deepduck;"Deep Duck Trouble Starring Donald Duck (Euro, USA)";1994;"Sega";YES;-;NO;-;-;
defoasis;"Defenders of Oasis (Euro, USA)";1992;"Sega";YES;-;NO;-;-;
defoasisp;"Defenders of Oasis (Euro, USA, Prototype)";1992;"Sega";NO;defoasis;YES;defoasis;-;
desert;"Desert Speedtrap Starring Road Runner and Wile E. Coyote (Euro)";1994;"Sega";YES;-;NO;-;-;
desertu;"Desert Speedtrap Starring Road Runner and Wile E. Coyote (USA)";1994;"Sega";NO;desert;YES;desert;-;
dstrike;"Desert Strike (Euro)";1992;"Domark";YES;-;NO;-;-;
dstrikeu;"Desert Strike - Return to the Gulf (USA)";1992;"Domark";NO;dstrike;YES;dstrike;-;
devilish;"Devilish (Euro, Bra)";1992;"Sega";YES;-;NO;-;-;
devilishj;"Devilish (Jpn)";1991;"Genki";NO;devilish;YES;devilish;-;
devilishu;"Devilish (USA)";1991;"Sage's Creations";NO;devilish;YES;devilish;-;
aladdin;"Disney's Aladdin (Euro, USA, Bra)";1994;"Sega";YES;-;NO;-;-;
aladdinj;"Disney's Aladdin (Jpn)";1994;"Sega";NO;aladdin;YES;aladdin;-;
aladdinp3;"Disney's Aladdin (Prototype, 19931229)";1993;"Sega";NO;aladdin;YES;aladdin;-;
aladdinp2;"Disney's Aladdin (Prototype, 19940111)";1994;"Sega";NO;aladdin;YES;aladdin;-;
aladdinp1;"Disney's Aladdin (Prototype, 19940113)";1994;"Sega";NO;aladdin;YES;aladdin;-;
ariel;"Disney's Ariel the Little Mermaid (Euro, USA)";1991;"Sega";YES;-;NO;-;-;
bonkers;"Disney's Bonkers Wax Up! (Euro, USA)";1995;"Sega";YES;-;NO;-;-;
bonkersp05;"Disney's Bonkers Wax Up! (Prototype, 19941207-C)";1994;"Sega";NO;bonkers;YES;bonkers;-;
bonkersp04;"Disney's Bonkers Wax Up! (Prototype, 19941208-B)";1994;"Sega";NO;bonkers;YES;bonkers;-;
bonkersp03;"Disney's Bonkers Wax Up! (Prototype, 19941208-C)";1994;"Sega";NO;bonkers;YES;bonkers;-;
bonkersp02;"Disney's Bonkers Wax Up! (Prototype, 19941211)";1994;"Sega";NO;bonkers;YES;bonkers;-;
bonkersp01;"Disney's Bonkers Wax Up! (Prototype, 19941212-D)";1994;"Sega";NO;bonkers;YES;bonkers;-;
lionkingp9;"Disney's The Lion King (Prototype, 19940803)";1994;"Virgin Interactive";NO;lionking;YES;lionking;-;
lionkingp8;"Disney's The Lion King (Prototype, 19940811)";1994;"Virgin Interactive";NO;lionking;YES;lionking;-;
lionkingp7;"Disney's The Lion King (Prototype, 19940812)";1994;"Virgin Interactive";NO;lionking;YES;lionking;-;
lionkingp6;"Disney's The Lion King (Prototype, 19940813)";1994;"Virgin Interactive";NO;lionking;YES;lionking;-;
lionkingp5;"Disney's The Lion King (Prototype, 19940814)";1994;"Virgin Interactive";NO;lionking;YES;lionking;-;
lionkingp4;"Disney's The Lion King (Prototype, 19940816)";1994;"Virgin Interactive";NO;lionking;YES;lionking;-;
bonkersp07;"Disneys Bonkers Wax Up! (Prototype, 19941203)";1994;"Sega";NO;bonkers;YES;bonkers;-;
bonkersp06;"Disneys Bonkers Wax Up! (Prototype, 19941205)";1994;"Sega";NO;bonkers;YES;bonkers;-;
donald42;"Donald Duck no 4-Tsu no Hihou (Jpn)";1993;"Sega";NO;deepduck;YES;deepduck;-;
donaldld;"Donald Duck no Lucky Dime (Jpn)";1991;"Sega";NO;luckydim;YES;luckydim;-;
donaldmw;"Donald no Magical World (Jpn)";1994;"Sega";YES;-;NO;-;-;
doraemon;"Doraemon - Waku Waku Pocket Paradise (Jpn)";1996;"Sega";YES;-;NO;-;-;
ddragon;"Double Dragon (Euro, USA)";1993;"Virgin Interactive";YES;-;NO;-;-;
ddragonp;"Double Dragon (Euro, USA, Prototype)";1993;"Virgin Interactive";NO;ddragon;YES;ddragon;-;
drfrankn;"Dr. Franken (Prototype Demo)";1993;"Elite";YES;-;NO;-;-;
drrobotn;"Dr. Robotnik's Mean Bean Machine (Euro, USA)";1993;"Sega";YES;-;NO;-;-;
dragon;"Dragon - The Bruce Lee Story (Euro)";1994;"Virgin Interactive";YES;-;NO;-;-;
dragonu;"Dragon - The Bruce Lee Story (USA)";1995;"Acclaim Entertainment";NO;dragon;YES;dragon;-;
dcrystal;"Dragon Crystal (Euro, USA)";1990;"Sega";YES;-;NO;-;-;
dcrystalj;"Dragon Crystal - Tsurani no Meikyuu (Jpn)";1990;"Sega";NO;dcrystal;YES;dcrystal;-;
dropzone;"Dropzone (Euro)";1994;"Codemasters";YES;-;NO;-;-;
dunkkids;"Dunk Kids (Jpn)";1994;"Sega";YES;-;NO;-;-;
dhead;"Dynamite Headdy (Euro, USA)";1994;"Sega";YES;-;NO;-;-;
dheadj;"Dynamite Headdy (Jpn)";1994;"Sega";NO;dhead;YES;dhead;-;
dheadp3;"Dynamite Headdy (Prototype, 19940615)";1994;"Sega";NO;dhead;YES;dhead;-;
dheadp2;"Dynamite Headdy (Prototype, 19940701)";1994;"Sega";NO;dhead;YES;dhead;-;
dheadp1;"Dynamite Headdy (Prototype, 19940705)";1994;"Sega";NO;dhead;YES;dhead;-;
