name;description;year;manufacturer;is_parent;romof;is_clone;cloneof;sasampleof;
4pak;"4 PAK All Action (Aus)";1995;"HES";YES;-;NO;-;-;
94swc;"94 Super World Cup Soccer (Kor)";1994;"Daou Infosys";YES;-;NO;-;-;
aceoface;"Ace of Aces (Euro)";1991;"Sega";YES;-;NO;-;-;
actionfg1;"Action Fighter (Euro, Jpn, v1)";1986;"Sega";NO;actionfg;YES;actionfg;-;
actionfg;"Action Fighter (Euro, USA, Bra, v2)";1986;"Sega";YES;-;NO;-;-;
herolanc;"Advanced Dungeons and Dragons - Heroes of the Lance (Euro, Bra)";1991;"U.S. Gold";YES;-;NO;-;-;
aerialas;"Aerial Assault (Euro, Bra)";1990;"Sega";YES;-;NO;-;-;
aerialasu;"Aerial Assault (USA)";1990;"Sega";NO;aerialas;YES;aerialas;-;
aburner;"After Burner (World)";1987;"Sega";YES;-;NO;-;-;
agidooly;"Agigongnyong Dooly (Kor)";1991;"Daou Infosys";NO;dinodool;YES;dinodool;-;
airresc;"Air Rescue (Euro, Bra, Kor)";1992;"Sega";YES;-;NO;-;-;
aleste;"Aleste (Jpn)";1988;"Sega";NO;pstrike;YES;pstrike;-;
alesteiigg2sms;"Aleste II GG (SMS Conversion)";1993;"Sega";YES;-;NO;-;-;
alexhitw;"Alex Kidd - High-Tech World (Euro, USA)";1989;"Sega";YES;-;NO;-;-;
alexlost;"Alex Kidd - The Lost Stars (World)";1988;"Sega";YES;-;NO;-;-;
alexbmx;"Alex Kidd BMX Trial (Jpn)";1987;"Sega";YES;-;NO;-;-;
alexkiddb;"Alex Kidd in Miracle World (Bra, v1, Pirate)";1986;"pirate";NO;alexkidd;YES;alexkidd;-;
alexkidd1;"Alex Kidd in Miracle World (Euro, USA, v0)";1986;"Sega";NO;alexkidd;YES;alexkidd;-;
alexkidd;"Alex Kidd in Miracle World (Euro, USA, v1)";1986;"Sega";YES;-;NO;-;-;
akrr102e;"Alex Kidd in Radaxian Rumble (ver. 1.02e)";2015;"Sega";NO;alexkidd;YES;alexkidd;-;
alexshin;"Alex Kidd in Shinobi World (Euro, USA, Bra)";1990;"Sega";YES;-;NO;-;-;
alexkiddj;"Alex Kidd no Miracle World (Jpn)";1986;"Sega";NO;alexkidd;YES;alexkidd;-;
alf;"Alf (USA, Bra)";1989;"Sega";YES;-;NO;-;-;
alibaba;"Alibaba and 40 Thieves (Kor)";1989;"HiCom";YES;-;NO;-;-;
alien3;"Alien 3 (Euro, Bra)";1992;"Arena";YES;-;NO;-;-;
astorm;"Alien Storm (Euro, Bra)";1991;"Sega";YES;-;NO;-;-;
aliensyn;"Alien Syndrome (Euro, USA, Bra)";1987;"Sega";YES;-;NO;-;-;
aliensynj;"Alien Syndrome (Jpn)";1987;"Sega";NO;aliensyn;YES;aliensyn;-;
