name;description;year;manufacturer;is_parent;romof;is_clone;cloneof;sasampleof;
12in1;"12 in 1";199?;"<unlicensed>";YES;-;NO;-;-;
13mahjan;"13 Ma Jiang - 98 Mei Shao Nu Pian (Chi)";1998;"BBD";YES;-;NO;-;-;
16tongnk;"16 Ton (Jpn, Game no Kandume MegaCD Rip)";1991;"Sega";NO;16ton;YES;16ton;-;
16ton;"16 Ton (Jpn, SegaNet)";1991;"Sega";YES;-;NO;-;-;
16zhan;"16 Zhang Ma Jiang (Chi)";199?;"<unlicensed>";YES;-;NO;-;-;
2psymmac;"2 in 1 - Psycho Pinball & Micro Machines (Euro)";1993;"Codemasters";YES;-;NO;-;-;
2020bbj;"2020 Toshi Super Baseball (Jpn)";1994;"Electronic Arts Victor";NO;2020bb;YES;2020bb;-;
3in1fwt;"3 in 1 Flashback - World Championship Soccer - Tecmo World Cup 92 (Pirate)";199?;"<unknown>";YES;-;NO;-;-;
3in1rmb;"3 in 1 Road Rash - Ms. Pac-Man - Block Out (Pirate)";199?;"<unknown>";YES;-;NO;-;-;
3ninja;"3 Ninjas Kick Back (USA)";1994;"Psygnosis";YES;-;NO;-;-;
4in1pb;"4 in 1 (Pirate)";199?;"<unknown>";YES;-;NO;-;-;
6pak;"6-Pak (USA)";1996;"Sega";YES;-;NO;-;-;
688atsub;"688 Attack Sub (Euro, USA)";1991;"Sega";YES;-;NO;-;-;
bugslife;"A Bug's Life";199?;"<unlicensed>";YES;-;NO;-;-;
bugslifea;"A Bug's Life (Alt?)";199?;"<unlicensed>";NO;bugslife;YES;bugslife;-;
dinotale;"A Dinosaur's Tale (USA)";1993;"Hi-Tech Expression";YES;-;NO;-;-;
aresshmd;"A Ressha de Ikou MD - Take the 'A' Train (Jpn)";1992;"Sega";YES;-;NO;-;-;
aaharima;"Aa Harimanada (Jpn)";1993;"Sega";YES;-;NO;-;-;
aaahhrm;"AAAHH!!! Real Monsters (Euro)";1995;"Viacom New Media";YES;-;NO;-;-;
aaahhrmu;"AAAHH!!! Real Monsters (USA)";1995;"Viacom New Media";NO;aaahhrm;YES;aaahhrm;-;
action52;"Action 52 (USA)";1993;"Active Enterprises";YES;-;NO;-;-;
action52a;"Action 52 (USA, Alt)";1993;"Active Enterprises";NO;action52;YES;action52;-;
ar;"Action Replay (Euro)";199?;"<unknown>";YES;-;NO;-;-;
addfamv;"Addams Family Values (Euro)";1994;"Ocean";YES;-;NO;-;-;
advdaisn;"Advanced Daisenryaku - Deutsch Dengeki Sakusen (Jpn, Rev. A)";1991;"Sega";YES;-;NO;-;-;
adveboy;"Adventurous Boy - Mao Xian Xiao Zi (Chi)";199?;"<unlicensed>";YES;-;NO;-;-;
aeroblst;"Aero Blasters: Trouble Specialty Raid Unit (Jpn)";1991;"Kaneko";NO;airbustr;YES;airbustr;-;
aero;"Aero the Acro-Bat (Euro)";1993;"Sunsoft";YES;-;NO;-;-;
aerop;"Aero the Acro-Bat (Prototype)";1993;"Sunsoft";NO;aero;YES;aero;-;
aerou;"Aero the Acro-Bat (USA)";1993;"Sunsoft";NO;aero;YES;aero;-;
aero2;"Aero the Acro-Bat 2 (Euro)";1994;"Sunsoft";YES;-;NO;-;-;
aero2u;"Aero the Acro-Bat 2 (USA)";1994;"Sunsoft";NO;aero2;YES;aero2;-;
aerobiz;"Aerobiz (USA)";1992;"Koei";YES;-;NO;-;-;
aerobizs;"Aerobiz Supersonic (USA)";1994;"Koei";YES;-;NO;-;-;
aburner2;"After Burner II (Euro, USA)";1990;"Sega";YES;-;NO;-;-;
aburner2j;"After Burner II (Jpn)";1990;"Denpa Shinbunsha";NO;aburner2;YES;aburner2;-;
