name;description;year;manufacturer;is_parent;romof;is_clone;cloneof;sasampleof;
soldblad;"Soldier Blade [Hangs at first boss]";1992;"Hudson";YES;-;NO;-;-;
1943kai;"1943 Kai";1991;"Naxat";YES;-;NO;-;-;
21emon;"21 Emon - Mezase Hotel ou!!";1994;"NEC Home Electronics";YES;-;NO;-;-;
advislnd;"Adventure Island";1991;"Hudson";YES;-;NO;-;-;
aeroblst;"Aero Blasters";1990;"Hudson";YES;-;NO;-;-;
aburner2;"After Burner II";1990;"NEC Avenue";YES;-;NO;-;-;
acrush;"Alien Crush";1988;"Naxat";YES;-;NO;-;-;
ankoku;"Ankoku Densetsu";1990;"Victor Interactive Software";YES;-;NO;-;-;
aoiblink;"Aoi Blink";1990;"Hudson";YES;-;NO;-;-;
appgateb;"Appare! Gateball";1988;"Hudson";YES;-;NO;-;-;
armedf;"Armed Formation F";1990;"Pack-In-Video";YES;-;NO;-;-;
arttool;"Artist Tool";1990;"NEC Home Electronics";YES;-;NO;-;-;
atomrobo;"Atomic Robo-kid Special";1990;"UPL";YES;-;NO;-;-;
avpoker;"AV Poker";1992;"Games Express";YES;-;NO;-;-;
ballistx;"Ballistix";1991;"Coconuts Japan";YES;-;NO;-;-;
baribari;"Bari Bari Densetsu";1989;"Taito";YES;-;NO;-;-;
barunba;"Barunba";1990;"Namcot";YES;-;NO;-;-;
batman;"Batman";1990;"Sunsoft";YES;-;NO;-;-;
batloder;"Battle Lode Runner";1993;"Hudson";YES;-;NO;-;-;
beball;"Be Ball";1990;"Hudson";YES;-;NO;-;-;
bikkuri;"Bikkuriman World";1987;"Hudson";YES;-;NO;-;-;
bikkuri1;"Bikkuriman World (Alt)";1987;"Hudson";NO;bikkuri;YES;bikkuri;-;
blodia;"Blodia";1990;"Hudson";YES;-;NO;-;-;
bodycon2;"Body Conquest II";1993;"Games Express";YES;-;NO;-;-;
bombman;"Bomberman";1990;"Hudson";YES;-;NO;-;-;
bombmn93;"Bomberman '93";1992;"Hudson";YES;-;NO;-;-;
bombmn93s;"Bomberman '93 (Special Version)";1992;"Hudson";NO;bombmn93;YES;bombmn93;-;
bombmn94;"Bomberman '94";1993;"Hudson";YES;-;NO;-;-;
bombmnub;"Bomberman - Users Battle";19??;"Hudson";YES;-;NO;-;-;
lostsunh;"Bouken Danshaku Don - The Lost Sunheart [Bad sound]";1992;"IMax";YES;-;NO;-;-;
breakin;"Break In";1989;"Naxat";YES;-;NO;-;-;
bubblegm;"Bubblegum Crash! - Knight Sabers 2034";1991;"Naxat";YES;-;NO;-;-;
bullfght;"Bull Fight - Ring no Haja";1989;"Cream";YES;-;NO;-;-;
burnangl;"Burning Angels";1990;"Naxat";YES;-;NO;-;-;
cyberx;"Busou Keiji - Cyber Cross";1989;"Face";YES;-;NO;-;-;
cadash;"Cadash [Bad graphics]";1991;"Taito";YES;-;NO;-;-;
champwrs;"Champion Wrestler";1990;"Taito";YES;-;NO;-;-;
chibim;"Chibi Maruko Chan - Quiz de Piihyara";1992;"Namcot";YES;-;NO;-;-;
chikuden;"Chikudenya Toubei - Kubikiri Yakata Yori";1990;"Naxat";YES;-;NO;-;-;
chikuden1;"Chikudenya Toubei - Kubikiri Yakata Yori (Alt)";1990;"Naxat";NO;chikuden;YES;chikuden;-;
bravoman;"Chouzetsu Rinjin - Bravoman";1990;"Namcot";YES;-;NO;-;-;
circusld;"Circus Lido";1991;"Yuni Post";YES;-;NO;-;-;
cityhunt;"City Hunter";1990;"Sunsoft";YES;-;NO;-;-;
columns;"Columns";1991;"Nihon Telenet";YES;-;NO;-;-;
coryoon;"Coryoon - Child of Dragon";1991;"Naxat";YES;-;NO;-;-;
coryoon1;"Coryoon - Child of Dragon (Alt)";1991;"Naxat";NO;coryoon;YES;coryoon;-;
xwiber;"Cross Wiber - Cyber Combat Police";1990;"Face";YES;-;NO;-;-;
cybrcore;"Cyber Core";1990;"IGS";YES;-;NO;-;-;
cyberdod;"Cyber Dodge";1992;"Tonkin House";YES;-;NO;-;-;
cyknight;"Cyber Knight";1990;"Tonkin House";YES;-;NO;-;-;
daisenpu;"Dai Senpu";1990;"NEC Avenue";YES;-;NO;-;-;
donaturl;"Daichi Kun Crisis - Do Natural";1989;"Salio";YES;-;NO;-;-;
dariusa;"Darius Alpha";1990;"NEC Avenue";YES;-;NO;-;-;
dariusp;"Darius Plus";1990;"NEC Avenue";YES;-;NO;-;-;
deadmoon;"Dead Moon - Tsuki Sekai no Akumu";1990;"B.S.S.";YES;-;NO;-;-;
deepblue;"Deep Blue - Kaitei Shinwa";1989;"Pack-In-Video";YES;-;NO;-;-;
twinbee;"Detana!! Twinbee";1992;"Konami";YES;-;NO;-;-;
devlcrsh;"Devil Crash - Naxat Pinball";1990;"Naxat";YES;-;NO;-;-;
diehard;"Die Hard";1990;"Pack-In-Video";YES;-;NO;-;-;
digichmp;"Digital Champ";1989;"Naxat";YES;-;NO;-;-;
dondoko;"Don Doko Don!";1990;"Taito";YES;-;NO;-;-;
dorams;"Doraemon - Meikyuu Dai Sakusen";1989;"Hudson";YES;-;NO;-;-;
dorandn;"Doraemon - Nobita no Dorabian Night";1991;"Hudson";YES;-;NO;-;-;
ddungw;"Double Dungeons - W";1989;"NCS";YES;-;NO;-;-;
download;"Download";1990;"NEC Avenue";YES;-;NO;-;-;
download1;"Download (Alt)";1990;"NEC Avenue";NO;download;YES;download;-;
dragnegg;"Dragon Egg!";1991;"Masiya";YES;-;NO;-;-;
dsaber;"Dragon Saber - After Story of Dragon Spirit";1991;"Namcot";YES;-;NO;-;-;
dsaber1;"Dragon Saber - After Story of Dragon Spirit (Alt)";1991;"Namcot";NO;dsaber;YES;dsaber;-;
dspirit;"Dragon Spirit";1988;"Namcot";YES;-;NO;-;-;
droprock;"Drop Rock Hora Hora";1990;"Data East";YES;-;NO;-;-;
droprock1;"Drop Rock Hora Hora (Alt)";1990;"Data East";NO;droprock;YES;droprock;-;
dungexpl;"Dungeon Explorer";1989;"Hudson";YES;-;NO;-;-;
energy;"Energy";1989;"NCS";YES;-;NO;-;-;
f1dream;"F-1 Dream";1989;"NEC";YES;-;NO;-;-;
f1pilot;"F-1 Pilot - You're King of Kings";1989;"Pack-In-Video";YES;-;NO;-;-;
f1circus;"F1 Circus";1990;"Nihon Bussan";YES;-;NO;-;-;
f1circ91;"F1 Circus '91 - World Championship";1991;"Nihon Bussan";YES;-;NO;-;-;
f1circ92;"F1 Circus '92 - The Speed of Sound";1992;"Nihon Bussan";YES;-;NO;-;-;
f1circus1;"F1 Circus (Alt)";1990;"Nihon Bussan";NO;f1circus;YES;f1circus;-;
f1tb;"F1 Triple Battle";1989;"Human";YES;-;NO;-;-;
fantzone;"Fantasy Zone";1988;"NEC";YES;-;NO;-;-;
fightrun;"Fighting Run";1991;"Nihon Bussan";YES;-;NO;-;-;
finlblst;"Final Blaster";1990;"Namcot";YES;-;NO;-;-;
finallap;"Final Lap Twin";1989;"Namcot";YES;-;NO;-;-;
finalmt;"Final Match Tennis";1991;"Human";YES;-;NO;-;-;
finalsol;"Final Soldier";1991;"Hudson";YES;-;NO;-;-;
finalsols;"Final Soldier (Special Version)";19??;"Hudson";NO;finalsol;YES;finalsol;-;
fireprow;"Fire Pro Wrestling - Combination Tag";1989;"Human";YES;-;NO;-;-;
fireprw2;"Fire Pro Wrestling 2 - 2nd Bout";1991;"Human";YES;-;NO;-;-;
fireprw3;"Fire Pro Wrestling 3 - Legend Bout";1992;"Human";YES;-;NO;-;-;
fsoccr90;"Formation Soccer - Human Cup '90";1990;"Human";YES;-;NO;-;-;
fsoccer;"Formation Soccer - On J. League";1994;"Human";YES;-;NO;-;-;
alice;"Fushigi no Yume no Alice";1990;"Face";YES;-;NO;-;-;
gaiflame;"Gai Flame";1990;"NCS";YES;-;NO;-;-;
gaiamons;"Gaia no Monshou";1988;"NCS";YES;-;NO;-;-;
galaga88;"Galaga '88";1988;"Namcot";YES;-;NO;-;-;
ganbgolf;"Ganbare! Golf Boys";1989;"NCS";YES;-;NO;-;-;
gekisboy;"Gekisha Boy";1992;"Irem";YES;-;NO;-;-;
genjitsu;"Genji Tsuushin Agedama";1991;"NEC Home Electronics";YES;-;NO;-;-;
genpei;"Genpei Toumaden";1990;"Namcot";YES;-;NO;-;-;
genpemak;"Genpei Toumaden ni no Maki";1992;"Namcot";YES;-;NO;-;-;
chukatai;"Gokuraku! Chuka Taisen";1992;"Taito";YES;-;NO;-;-;
gomola;"Gomola Speed";1990;"UPL";YES;-;NO;-;-;
gradius;"Gradius";1991;"Konami";YES;-;NO;-;-;
gunhed;"GunHed";1989;"Hudson";YES;-;NO;-;-;
gunhedht;"GunHed - Hudson GunHed Taikai";1989;"Hudson";YES;-;NO;-;-;
hanataka;"Hana Taaka Daka!?";1991;"Taito";YES;-;NO;-;-;
haniisky;"Hanii in the Sky";1989;"Face";YES;-;NO;-;-;
haniirod;"Hanii on the Road";1990;"Face";YES;-;NO;-;-;
hatris;"Hatris";1991;"Tengen";YES;-;NO;-;-;
hvyunit;"Heavy Unit";1989;"Taito";YES;-;NO;-;-;
hitice;"Hit the Ice - VHL - The Official Video Hockey League";1991;"Taito";YES;-;NO;-;-;
ddanpei;"Honoo no Toukyuuji - Dodge Danpei";1992;"Hudson";YES;-;NO;-;-;
idolhana;"Idol Hanafuda Fan Club";1991;"Game Express";YES;-;NO;-;-;
imagefgt;"Image Fight";1990;"Irem";YES;-;NO;-;-;
jleag11;"J. League Greatest Eleven";1993;"Nihon Bussan";YES;-;NO;-;-;
nicklaus;"Jack Nicklaus' Greatest 18 Holes of Major Championship Golf";1989;"Victor Interactive Software";YES;-;NO;-;-;
jchan;"Jackie Chan";1991;"Hudson";YES;-;NO;-;-;
jigomegu;"Jigoku Meguri";1990;"Taito";YES;-;NO;-;-;
jinmu;"Jinmu Denshou";1989;"Big Club";YES;-;NO;-;-;
jinmu1;"Jinmu Denshou (Alt)";1989;"Big Club";NO;jinmu;YES;jinmu;-;
juuouki;"Juuouki";1989;"NEC";YES;-;NO;-;-;
juuouki1;"Juuouki (Alt)";1989;"NEC";NO;juuouki;YES;juuouki;-;
shubibi;"Kaizou Choujin Shubibinman";1989;"NCS";YES;-;NO;-;-;
shubibi2;"Kaizou Choujin Shubibinman 2 - Aratanaru Teki";1991;"Masiya";YES;-;NO;-;-;
katochan;"Kato Chan & Ken Chan";1987;"Hudson";YES;-;NO;-;-;
kattobi;"Kattobi! Takuhai Kun";1990;"Tonkin House";YES;-;NO;-;-;
kickball;"Kickball";1990;"Masiya";YES;-;NO;-;-;
kikikai;"Kiki KaiKai";1990;"Taito";YES;-;NO;-;-;
kingcasn;"King of Casino";1990;"Victor Interactive Software";YES;-;NO;-;-;
klax;"Klax";1990;"Tengen";YES;-;NO;-;-;
knightrs;"Knight Rider Special";1989;"Pack-In-Video";YES;-;NO;-;-;
proyak89;"Kore Ga Pro Yakyuu '89";1989;"Intec";YES;-;NO;-;-;
proyak90;"Kore Ga Pro Yakyuu '90";1990;"Intec";YES;-;NO;-;-;
kyukyomj;"Kyuukyoku Mahjong - Idol Graphics";1992;"Game Express";YES;-;NO;-;-;
kyukyom2;"Kyuukyoku Mahjong II";1993;"Game Express";YES;-;NO;-;-;
ktiger;"Kyuukyoku Tiger";1989;"Taito";YES;-;NO;-;-;
ladyswrd;"Lady Sword";19??;"Game Express";YES;-;NO;-;-;
ladyswrd1;"Lady Sword (Alt)";19??;"Game Express";NO;ladyswrd;YES;ladyswrd;-;
loht;"Legend of Hero Tonma";1991;"Irem";YES;-;NO;-;-;
ldrun;"Lode Runner - Lost Labyrinth";1990;"Pack-In-Video";YES;-;NO;-;-;
magchase;"Magical Chase";1991;"Palsoft";YES;-;NO;-;-;
mjgakuen;"Mahjong Gakuen - Touma Soushirou Toujou";1990;"Face";YES;-;NO;-;-;
mjgakmld;"Mahjong Gakuen Mild - Touma Soushirou Toujou";1990;"Face";YES;-;NO;-;-;
mjgakmld1;"Mahjong Gakuen Mild - Touma Soushirou Toujou (Alt)";1990;"Face";NO;mjgakmld;YES;mjgakmld;-;
mjgokusp;"Mahjong Gokuu Special";1990;"Sunsoft";YES;-;NO;-;-;
mjkaiser;"Mahjong Haou Den - Kaiser's Quest";1992;"UPL";YES;-;NO;-;-;
mjwars;"Mahjong Shikyaku Retsuden - Mahjong Wars";1990;"Nihon Bussan";YES;-;NO;-;-;
mikkoku;"Maison Ikkoku";1989;"Micro Cabin";YES;-;NO;-;-;
wataru;"Majin Eiyuu Den Wataru";1988;"Hudson";YES;-;NO;-;-;
makaihak;"Makai Hakken Den Shada";1989;"Data East";YES;-;NO;-;-;
makaipri;"Makai Prince Dorabocchan";1990;"Naxat";YES;-;NO;-;-;
makyoden;"Makyou Densetsu";1988;"Victor Interactive Software";YES;-;NO;-;-;
maniacpw;"Maniac Pro Wres - Asu e no Tatakai";1990;"Hudson";YES;-;NO;-;-;
marchen;"Marchen Maze";1990;"Namcot";YES;-;NO;-;-;
mesopot;"Mesopotamia";1991;"Atlus";YES;-;NO;-;-;
metlstok;"Metal Stoker";1991;"Face";YES;-;NO;-;-;
mizubaku;"Mizubaku Dai Bouken";1992;"Namcot";YES;-;NO;-;-;
momogdn;"Momotarou Densetsu Gaiden Dai 1 Shuu";1992;"Hudson";YES;-;NO;-;-;
momo2;"Momotarou Densetsu II";1990;"Hudson";YES;-;NO;-;-;
momotrbo;"Momotarou Densetsu Turbo";1990;"Hudson";YES;-;NO;-;-;
momoktsg;"Momotarou Katsugeki";1990;"Hudson";YES;-;NO;-;-;
mnstprow;"Monster Pro Wres";1991;"ASK";YES;-;NO;-;-;
moritash;"Morita Shougi PC";1991;"NEC Avenue";YES;-;NO;-;-;
motoroad;"Moto Roader";1989;"NCS";YES;-;NO;-;-;
motorod2;"Moto Roader II";1991;"Masiya";YES;-;NO;-;-;
motorod2a;"Moto Roader II (Alt)";1991;"Masiya";NO;motorod2;YES;motorod2;-;
mrheli;"Mr. Heli no Daibouken";1989;"Irem";YES;-;NO;-;-;
mrheli1;"Mr. Heli no Daibouken (Alt)";1989;"Irem";NO;mrheli;YES;mrheli;-;
blodwolf;"Narazumono Sentai Butai - Bloody Wolf";1989;"Data East";YES;-;NO;-;-;
naxopen;"Naxat Open";1989;"Naxat";YES;-;NO;-;-;
naxstad;"Naxat Stadium";1990;"Naxat";YES;-;NO;-;-;
nazomasq;"Nazo no Masquerade";1990;"Masiya";YES;-;NO;-;-;
necromcr;"Necromancer";1988;"Hudson";YES;-;NO;-;-;
necros;"Necros no Yousai";1990;"ASK";YES;-;NO;-;-;
nectaris;"Nectaris";1990;"Hudson";YES;-;NO;-;-;
nekdodge;"Nekketsu Koukou Dodgeball Bu - PC Bangai Hen";1990;"Naxat";YES;-;NO;-;-;
neksoccr;"Nekketsu Koukou Dodgeball Bu - Soccer PC Hen";1992;"Naxat";YES;-;NO;-;-;
neutopia;"Neutopia";1989;"Hudson";YES;-;NO;-;-;
neutopi2;"Neutopia II";1991;"Hudson";YES;-;NO;-;-;
nhktaidr;"NHK Taiga Drama - Taiheiki";1992;"NHK Enterprise";YES;-;NO;-;-;
nryukend;"Ninja Ryukenden";1992;"Hudson";YES;-;NO;-;-;
oboccha;"Obocchama-kun";1991;"Namcot";YES;-;NO;-;-;
opwolf;"Operation Wolf";1990;"NEC Avenue";YES;-;NO;-;-;
ordyne;"Ordyne";1989;"Namcot";YES;-;NO;-;-;
outlive;"Out Live";1989;"Sunsoft";YES;-;NO;-;-;
outrun;"Out Run";1990;"NEC Avenue";YES;-;NO;-;-;
override;"Override";1991;"Data East";YES;-;NO;-;-;
p47;"P-47 - The Freedom Fighter";1989;"Aicom";YES;-;NO;-;-;
pacland;"Pac-land";1989;"Namcot";YES;-;NO;-;-;
pachikun;"Pachio Kun - Juuban Shoubu";1992;"Coconuts Japan";YES;-;NO;-;-;
paranoia;"Paranoia";1990;"Naxat";YES;-;NO;-;-;
parasol;"Parasol Stars - The Story of Bubble Bobble III";1991;"Taito";YES;-;NO;-;-;
parodius;"Parodius da! - Shinwa Kara Owarai He";1992;"Konami";YES;-;NO;-;-;
pcgenj;"PC Genjin - Pithecanthropus Computerurus";1989;"Hudson";YES;-;NO;-;-;
pcgenja;"PC Genjin - Pithecanthropus Computerurus (Alt)";1989;"Hudson";NO;pcgenj;YES;pcgenj;-;
pcgenj2;"PC Genjin 2 - Pithecanthropus Computerurus";1991;"Hudson";YES;-;NO;-;-;
pcgenj3;"PC Genjin 3 - Pithecanthropus Computerurus";1993;"Hudson";YES;-;NO;-;-;
pcgenj3t;"PC Genjin 3 - Pithecanthropus Computerurus (Taikenban)";1993;"Hudson";YES;-;NO;-;-;
pcpachi;"PC Pachi-slot";1992;"Game Express";YES;-;NO;-;-;
populous;"Populous";1991;"Hudson";YES;-;NO;-;-;
populous1;"Populous (Alt)";1991;"Hudson";NO;populous;YES;populous;-;
pdrift;"Power Drift";1990;"Asmik";YES;-;NO;-;-;
pdrift1;"Power Drift (Alt)";1990;"Asmik";NO;pdrift;YES;pdrift;-;
power11;"Power Eleven";1991;"Hudson";YES;-;NO;-;-;
powergat;"Power Gate";1991;"Pack-In-Video";YES;-;NO;-;-;
pgolf;"Power Golf";1989;"Hudson";YES;-;NO;-;-;
pleague;"Power League";1988;"Hudson";YES;-;NO;-;-;
pleag93;"Power League '93";1993;"Hudson";YES;-;NO;-;-;
pleagas;"Power League (All Star Version)";19??;"Hudson";YES;-;NO;-;-;
pleag2;"Power League II";1989;"Hudson";YES;-;NO;-;-;
pleag3;"Power League III";1990;"Hudson";YES;-;NO;-;-;
pleag4;"Power League IV";1991;"Hudson";YES;-;NO;-;-;
pleag5;"Power League V";1992;"Hudson";YES;-;NO;-;-;
psports;"Power Sports";1992;"Hudson";YES;-;NO;-;-;
ptennwc;"Pro Tennis World Court";1988;"Namcot";YES;-;NO;-;-;
proyak;"Pro Yakyuu World Stadium";1988;"Namcot";YES;-;NO;-;-;
proyak91;"Pro Yakyuu World Stadium '91";1991;"Namcot";YES;-;NO;-;-;
psychas;"Psycho Chaser";1990;"Naxat";YES;-;NO;-;-;
puzzlboy;"Puzzle Boy";1991;"Nihon Telenet";YES;-;NO;-;-;
puzznic;"Puzznic";1990;"Taito";YES;-;NO;-;-;
quizts;"Quiz Toukou Shashin";19??;"Game Express";YES;-;NO;-;-;
rtypep1;"R-Type Part-1";1988;"Hudson";YES;-;NO;-;-;
rtypep2;"R-Type Part-2";1988;"Hudson";YES;-;NO;-;-;
rabiolep;"Rabio Lepus Special";1990;"Video System";YES;-;NO;-;-;
racindam;"Racing Damashii";1991;"Irem";YES;-;NO;-;-;
raiden;"Raiden";1991;"Hudson";YES;-;NO;-;-;
rastan2;"Rastan Saga II";1990;"Taito";YES;-;NO;-;-;
reflectron;"Reflectron";2013;"Aetherbyte";YES;-;NO;-;-;
rockon;"Rock-on";1989;"Big Club";YES;-;NO;-;-;
ryukyu;"Ryuukyuu";1990;"Face";YES;-;NO;-;-;
sadaki7;"Sadakichi 7 Series - Hideyoshi no Ougon";1988;"Hudson";YES;-;NO;-;-;
saigonin;"Saigo no Nindou - Ninja Spirit";1990;"Irem";YES;-;NO;-;-;
salamand;"Salamander";1991;"Konami";YES;-;NO;-;-;
santatlantean;"Santatlantean";2014;"Aetherbyte";YES;-;NO;-;-;
sekigaha;"Sekigahara";1990;"Tonkin House";YES;-;NO;-;-;
sengokmj;"Sengoku Mahjong";1988;"Hudson";YES;-;NO;-;-;
shanghai;"Shanghai";1987;"Hudson";YES;-;NO;-;-;
shinobi;"Shinobi";1989;"Asmik";YES;-;NO;-;-;
shiryo;"Shiryou Sensen";1989;"Victor Interactive Software";YES;-;NO;-;-;
shogisi;"Shougi Shodan Icchokusen";1990;"Home Data";YES;-;NO;-;-;
shogism;"Shougi Shoshinsha Muyou";1991;"Home Data";YES;-;NO;-;-;
sidearms;"Sidearms - Hyper Dyne";1989;"NEC";YES;-;NO;-;-;
silentd;"Silent Debuggers";1991;"Data East";YES;-;NO;-;-;
sindibad;"Sindibad Chitei no Dai Makyuu";1990;"IGS";YES;-;NO;-;-;
skweek;"Skweek";1991;"Victor Interactive Software";YES;-;NO;-;-;
sokoban;"Sokoban World";1990;"Media Rings Corporation";YES;-;NO;-;-;
soldblas;"Soldier Blade Special - Caravan Stage";19??;"Hudson";YES;-;NO;-;-;
sonson2;"Son Son II";1989;"NEC";YES;-;NO;-;-;
sharrier;"Space Harrier";1988;"NEC";YES;-;NO;-;-;
spaceinv;"Space Invaders - Fukkatsu no Hi";1990;"Taito";YES;-;NO;-;-;
sci;"Special Criminal Investigation";1991;"Taito";YES;-;NO;-;-;
spinpair;"Spin Pair";1990;"Media Rings Corporation";YES;-;NO;-;-;
spirwave;"Spiral Wave";1991;"Media Rings Corporation";YES;-;NO;-;-;
splatth;"Splatterhouse";1990;"Namcot";YES;-;NO;-;-;
stratego;"Stratego";1992;"Victor Interactive Software";YES;-;NO;-;-;
sf2ce;"Street Fighter II' - Champion Edition";1993;"NEC Home Electronics";YES;-;NO;-;-;
stripf2;"Strip Fighter II";19??;"Game Express";YES;-;NO;-;-;
smcrush;"Super Metal Crusher";1991;"Pack-In-Video";YES;-;NO;-;-;
smomo;"Super Momotarou Dentetsu";1989;"Hudson";YES;-;NO;-;-;
smomo2;"Super Momotarou Dentetsu II";1991;"Hudson";YES;-;NO;-;-;
sssoldr;"Super Star Soldier";1990;"Hudson";YES;-;NO;-;-;
svolley;"Super Volleyball";1990;"Video System";YES;-;NO;-;-;
susano;"Susanoo Densetsu";1989;"Hudson";YES;-;NO;-;-;
chasehq;"Taito Chase H.Q.";1990;"Taito";YES;-;NO;-;-;
takameib;"Takahashi Meijin no Shin Boukenjima";1992;"Hudson";YES;-;NO;-;-;
shingen;"Takeda Shingen";1989;"Aicom";YES;-;NO;-;-;
shingen1;"Takeda Shingen (Alt)";1989;"Aicom";NO;shingen;YES;shingen;-;
tatsunok;"Tatsu No Ko Fighter";1989;"Tonkin House";YES;-;NO;-;-;
tatsujin;"Tatsujin";1992;"Taito";YES;-;NO;-;-;
tatsujinp;"Tatsujin (Prototype)";1992;"Taito";NO;tatsujin;YES;tatsujin;-;
sdragon;"Tenseiryuu - Saint Dragon";1990;"Irem";YES;-;NO;-;-;
terracr2;"Terra Cresta II - Mandoraa no Gyakushuu";1992;"Nihon Bussan";YES;-;NO;-;-;
kungfu;"The Kung Fu";1987;"Hudson";YES;-;NO;-;-;
tnzs;"The New Zealand Story";1990;"Taito";YES;-;NO;-;-;
ninjawar;"The Ninja Warriors";1989;"Taito";YES;-;NO;-;-;
druaga;"The Tower of Druaga";1992;"Namcot";YES;-;NO;-;-;
tblade;"Thunder Blade";1990;"NEC Avenue";YES;-;NO;-;-;
timcrus2;"Time Cruise II";1991;"Face";YES;-;NO;-;-;
