name;description;year;manufacturer;is_parent;romof;is_clone;cloneof;sasampleof;
mkidwiz;"Magical Kid Wiz (Tw) [Stuck at boot logo?]";198?;"Aaronix";YES;-;NO;-;-;
safarihu;"Safari Hunting (Jpn)";1983;"Sega";YES;-;NO;-;-;
jb007a;"007 James Bond (Jpn, v2.6, OMV)";1984;"Tsukuda Original";NO;jb007;YES;jb007;-;
jb007;"007 James Bond (Jpn, v2.7, OMV)";1984;"Tsukuda Original";YES;-;NO;-;-;
jb007t;"007 James Bond (Tw)";1984?;"Aaronix";NO;jb007;YES;jb007;-;
bankp;"Bank Panic (Jpn)";1985;"Sega";YES;-;NO;-;-;
basic2;"BASIC Level 2 (Jpn)";1985;"Sega";NO;homebas;YES;homebas;-;
basic3e;"BASIC Level III (Export)";1985;"Sega";NO;homebas;YES;homebas;-;
basic3;"BASIC Level III (Jpn)";1985;"Sega";NO;homebas;YES;homebas;-;
bombjackk2;"Beom Jjaek (Kor)";1985?;"Unknown";NO;bombjack;YES;bombjack;-;
bilidada;"Bi Li Da Dao (Tw)";1985?;"Aaronix";NO;bankp;YES;bankp;-;
bombjack;"Bomb Jack (Jpn)";1985;"Sega";YES;-;NO;-;-;
bombjackk1;"Bomb Jack (Kor)";1985?;"Unknown";NO;bombjack;YES;bombjack;-;
bombjackt1;"Bomb Jack (Tw)";1985?;"Unknown";NO;bombjack;YES;bombjack;-;
bombmnsp;"Bomber Man Special (Tw)";1986?;"DahJee";YES;-;NO;-;-;
bordrlin;"Borderline (Euro, Jpn)";1983;"Sega";YES;-;NO;-;-;
cso;"C_So! (Jpn)";1985;"Sega";YES;-;NO;-;-;
cabkids;"Cabbage Patch Kids (Tw)";198?;"Aaronix";YES;-;NO;-;-;
chackn;"Chack'n Pop (Jpn)";1985;"Sega";YES;-;NO;-;-;
chaldrby;"Challenge Derby (Jpn, OMV)";1984;"Tsukuda Original";YES;-;NO;-;-;
chaldrbya;"Challenge Derby (Jpn, OMV, Alt)";1984;"Tsukuda Original";NO;chaldrby;YES;chaldrby;-;
chaldrbyb;"Challenge Derby (Jpn, OMV, Hacked)";1984;"Tsukuda Original";NO;chaldrby;YES;chaldrby;-;
champbas;"Champion Baseball (Jpn)";1983;"Sega";YES;-;NO;-;-;
champbasa;"Champion Baseball (Jpn, Older)";1983;"Sega";NO;champbas;YES;champbas;-;
champbast;"Champion Baseball (Tw)";1985?;"Aaronix";NO;champbas;YES;champbas;-;
champbil;"Champion Billiards (Jpn)";1986;"Sega";YES;-;NO;-;-;
champbox;"Champion Boxing (Jpn)";1984;"Sega";YES;-;NO;-;-;
champbox1;"Champion Boxing (Jpn, MyCard)";1984;"Sega";NO;champbox;YES;champbox;-;
champboxt;"Champion Boxing (Tw)";1984?;"Aaronix";NO;champbox;YES;champbox;-;
champglf;"Champion Golf (Jpn)";1983;"Sega";YES;-;NO;-;-;
champglf1;"Champion Golf (Jpn, MyCard)";1983;"Sega";NO;champglf;YES;champglf;-;
