name;description;year;manufacturer;is_parent;romof;is_clone;cloneof;sasampleof;
ghostman;"Ghost Manor [game randomly locks up]";1992;"TTI";YES;-;NO;-;-;
soldblad;"Soldier Blade [Hangs at first boss]";1992;"TTI";YES;-;NO;-;-;
aeroblst;"Aero Blasters";1990;"NEC";YES;-;NO;-;-;
acrush;"Alien Crush";1989;"NEC";YES;-;NO;-;-;
ballistx;"Ballistix";1992;"NEC";YES;-;NO;-;-;
batlroyl;"Battle Royale";1990;"NEC";YES;-;NO;-;-;
blazlazr;"Blazing Lazers";1989;"NEC";YES;-;NO;-;-;
blodwolf;"Bloody Wolf";1990;"NEC";YES;-;NO;-;-;
bombman;"Bomberman";1991;"NEC";YES;-;NO;-;-;
bombmn93;"Bomberman '93";1990;"Hudson Soft";YES;-;NO;-;-;
bonk3;"Bonk III - Bonk's Big Adventure";1993;"TTI";YES;-;NO;-;-;
bonk;"Bonk's Adventure";1990;"NEC";YES;-;NO;-;-;
bonk2;"Bonk's Revenge";1991;"NEC";YES;-;NO;-;-;
boxyboy;"Boxyboy";1990;"NEC";YES;-;NO;-;-;
bravoman;"Bravoman";1990;"NEC";YES;-;NO;-;-;
cadash;"Cadash [Bad graphics]";1991;"Working Designs";YES;-;NO;-;-;
forevbox;"Champions Forever Boxing [Bad sound]";1991;"NEC";YES;-;NO;-;-;
chewman;"Chew Man Fu";1990;"NEC";YES;-;NO;-;-;
chinawar;"China Warrior";1989;"NEC";YES;-;NO;-;-;
cratermz;"Cratermaze";1990;"NEC";YES;-;NO;-;-;
cybrcore;"Cyber Core";1990;"NEC";YES;-;NO;-;-;
darkwing;"Darkwing Duck";1992;"TTI";YES;-;NO;-;-;
daviscup;"Davis Cup Tennis";1991;"NEC";YES;-;NO;-;-;
deadmoon;"Dead Moon";1992;"TTI";YES;-;NO;-;-;
deepblue;"Deep Blue";1989;"NEC";YES;-;NO;-;-;
devlcrsh;"Devil's Crush - Naxat Pinball";1990;"NEC";YES;-;NO;-;-;
ddungw;"Double Dungeons - W";1990;"NEC";YES;-;NO;-;-;
dspirit;"Dragon Spirit";1989;"NEC";YES;-;NO;-;-;
dragcrse;"Dragon's Curse";1990;"NEC";YES;-;NO;-;-;
dropoff;"Drop.Off";1990;"NEC";YES;-;NO;-;-;
dungexpl;"Dungeon Explorer";1989;"NEC";YES;-;NO;-;-;
falcon;"Falcon";1992;"TTI";YES;-;NO;-;-;
fantzone;"Fantasy Zone";1989;"NEC";YES;-;NO;-;-;
finallap;"Final Lap Twin";1990;"NEC";YES;-;NO;-;-;
galaga90;"Galaga '90";1989;"NEC";YES;-;NO;-;-;
gunboat;"Gunboat";1992;"NEC";YES;-;NO;-;-;
hitice;"Hit the Ice - VHL - The Official Video Hockey League";1992;"TTI";YES;-;NO;-;-;
impossam;"Impossamole";1991;"NEC";YES;-;NO;-;-;
jjnjeff;"J.J. & Jeff";1990;"NEC";YES;-;NO;-;-;
nicklaus;"Jack Nicklaus' Turbo Golf";1990;"Accolade";YES;-;NO;-;-;
jchan;"Jackie Chan's Action Kung Fu";1992;"Hudson Soft";YES;-;NO;-;-;
keithcor;"Keith Courage in Alpha Zones";1989;"NEC";YES;-;NO;-;-;
kingcasn;"King of Casino";1990;"NEC";YES;-;NO;-;-;
klax;"Klax";1990;"Tengen";YES;-;NO;-;-;
loht;"Legend of Hero Tonma";1991;"TTI";YES;-;NO;-;-;
magchase;"Magical Chase";1991;"NEC";YES;-;NO;-;-;
miltrymd;"Military Madness";1989;"NEC";YES;-;NO;-;-;
motoroad;"Moto Roader";1989;"NEC";YES;-;NO;-;-;
neutopia;"Neutopia";1990;"NEC";YES;-;NO;-;-;
neutopi2;"Neutopia II";1992;"NEC";YES;-;NO;-;-;
advislnd;"New Adventure Island";1992;"TTI";YES;-;NO;-;-;
nightcr;"Night Creatures";1992;"NEC";YES;-;NO;-;-;
nspirit;"Ninja Spirit";1990;"NEC";YES;-;NO;-;-;
griffon;"Order of the Griffon";1992;"TTI";YES;-;NO;-;-;
ordyne;"Ordyne";1989;"NEC";YES;-;NO;-;-;
pacland;"Pac-Land";1990;"NEC";YES;-;NO;-;-;
panzakb;"Panza Kick Boxing";1990;"NEC";YES;-;NO;-;-;
parasol;"Parasol Stars - The Story of Bubble Bobble III";1991;"Working Designs";YES;-;NO;-;-;
pgolf;"Power Golf";1989;"NEC";YES;-;NO;-;-;
psychos;"Psychosis";1990;"NEC";YES;-;NO;-;-;
rtype;"R-Type";1989;"NEC";YES;-;NO;-;-;
raiden;"Raiden";1990;"NEC";YES;-;NO;-;-;
samuraig;"Samurai-Ghost";1992;"TTI";YES;-;NO;-;-;
shockman;"Shockman";1992;"NEC";YES;-;NO;-;-;
sidearms;"Sidearms - Hyper Dyne";1989;"Radiance Software";YES;-;NO;-;-;
silentd;"Silent Debuggers";1991;"Hudson Soft";YES;-;NO;-;-;
sinistrn;"Sinistron";1991;"NEC";YES;-;NO;-;-;
somerass;"Somer Assault";1992;"Atlus";YES;-;NO;-;-;
wbeach;"Sonic Spike - World Championship Beach Volleyball";1990;"NEC";YES;-;NO;-;-;
sharrier;"Space Harrier";1989;"NEC";YES;-;NO;-;-;
splatth;"Splatterhouse";1990;"NEC";YES;-;NO;-;-;
sssoldr;"Super Star Soldier";1990;"NEC";YES;-;NO;-;-;
svolley;"Super Volleyball";1990;"NEC";YES;-;NO;-;-;
chasehq;"Taito Chase H.Q.";1992;"TTI";YES;-;NO;-;-;
taknhoop;"Takin' It to the Hoop";1989;"NEC";YES;-;NO;-;-;
talespin;"TaleSpin";1991;"NEC";YES;-;NO;-;-;
legaxe;"The Legendary Axe";1989;"NEC";YES;-;NO;-;-;
legaxe2;"The Legendary Axe II";1990;"NEC";YES;-;NO;-;-;
tigerrod;"Tiger Road";1990;"NEC";YES;-;NO;-;-;
timcrus;"Time Cruise";1992;"TTI";YES;-;NO;-;-;
timeball;"Timeball";1990;"NEC";YES;-;NO;-;-;
tricky;"Tricky Kick";1990;"NEC";YES;-;NO;-;-;
turrican;"Turrican";1991;"Ballistic";YES;-;NO;-;-;
tvbasket;"TV Sports Basketball";1991;"NEC";YES;-;NO;-;-;
tvfootbl;"TV Sports Football";1990;"NEC";YES;-;NO;-;-;
tvhockey;"TV Sports Hockey";1991;"NEC";YES;-;NO;-;-;
veigues;"Veigues - Tactical Gladiator";1990;"NEC";YES;-;NO;-;-;
victoryr;"Victory Run";1989;"NEC";YES;-;NO;-;-;
vigilant;"Vigilante";1989;"NEC";YES;-;NO;-;-;
wcbasebl;"World Class Baseball";1989;"NEC";YES;-;NO;-;-;
wctennis;"World Court Tennis";1989;"NEC";YES;-;NO;-;-;
wscomp;"World Sports Competition";1992;"TTI";YES;-;NO;-;-;
yobro;"Yo, Bro";1991;"NEC";YES;-;NO;-;-;

