name;description;year;manufacturer;is_parent;romof;is_clone;cloneof;sasampleof;
aceattac;Ace Attacker (FD1094 317-0059);1988;Sega;YES;-;NO;-;-;
aceattaca;Ace Attacker (Japan, System 16A, FD1094 317-0060);1986;Sega;NO;aceattac;YES;aceattac;-;
agentx1;Agent X (prototype, rev 1);1983;Atari;NO;cloak;YES;cloak;-;
agentx2;Agent X (prototype, rev 2);1983;Atari;NO;cloak;YES;cloak;-;
agentx3;Agent X (prototype, rev 3);1983;Atari;NO;cloak;YES;cloak;-;
agentx4;Agent X (prototype, rev 4);1983;Atari;NO;cloak;YES;cloak;-;
angelkds;Angel Kids (Japan);1988;Sega / Nasco?;YES;-;NO;-;-;
aponow;Apocaljpse Now [Bootleg];1982;bootleg;NO;rescue;YES;rescue;-;
assaultj;Assault (Japan);1988;Namco;NO;assault;YES;assault;-;
assault;Assault (Rev B);1988;Namco;YES;-;NO;-;-;
assaultp;Assault Plus (Japan);1988;Namco;NO;assault;YES;assault;-;
bang;Bang!;1998;Gaelco;YES;-;NO;-;-;
btlfield;Battle Field (Japan);1987;Alpha Denshi Co. (SNK license);NO;timesold;YES;timesold;-;
bbustersu;Beast Busters (US, Version 3);1989;SNK;NO;bbusters;YES;bbusters;-;
bbusters;Beast Busters (World);1989;SNK;YES;-;NO;-;-;
bermudatj;Bermuda Triangle (Japan);1987;SNK;NO;bermudat;YES;bermudat;-;
bermudata;Bermuda Triangle (World Wars) (US);1987;SNK;NO;worldwar;YES;worldwar;-;
bermudat;Bermuda Triangle (World?);1987;SNK;YES;-;NO;-;-;
bubbletr;Bubble Trouble (World, Rev B);1992;Namco;YES;-;NO;-;-;
bullet;Bullet (FD1094 317-0041);1987;Sega;YES;-;NO;-;-;
chanbara;Chanbara;1985;Data East;YES;-;NO;-;-;
chkun;Chance Kun (Japan);1988;Peni Soft;YES;-;NO;-;-;
cloakfr;Cloak & Dagger (French);1983;Atari;NO;cloak;YES;cloak;-;
cloakgr;Cloak & Dagger (German);1983;Atari;NO;cloak;YES;cloak;-;
cloak;Cloak & Dagger (rev 5);1983;Atari;YES;-;NO;-;-;
cloaksp;Cloak & Dagger (Spanish);1983;Atari;NO;cloak;YES;cloak;-;
cclimber;Crazy Climber (US);1980;Nichibutsu;YES;-;NO;-;-;
cclimbr2;Crazy Climber 2 (Japan);1988;Nichibutsu;YES;-;NO;-;-;
cclimbr2a;Crazy Climber 2 (Japan, Harder);1988;Nichibutsu;NO;cclimbr2;YES;cclimbr2;-;
deerhuntc;Deer Hunting USA V3.0;2000;Sammy USA Corporation;NO;deerhunt;YES;deerhunt;-;
deerhuntb;Deer Hunting USA V4.0;2000;Sammy USA Corporation;NO;deerhunt;YES;deerhunt;-;
deerhunta;Deer Hunting USA V4.2;2000;Sammy USA Corporation;NO;deerhunt;YES;deerhunt;-;
deerhunt;Deer Hunting USA V4.3;2000;Sammy USA Corporation;YES;-;NO;-;-;
dogosoke;Dogou Souken;1986;SNK;NO;victroad;YES;victroad;-;
downtownj;DownTown / Mokugeki (Joystick Hack);1989;Seta;NO;downtown;YES;downtown;-;
downtownp;DownTown / Mokugeki (prototype);1989;Seta;NO;downtown;YES;downtown;-;
downtown;DownTown / Mokugeki (Set 1);1989;Seta;YES;-;NO;-;-;
downtown2;DownTown / Mokugeki (Set 2);1989;Seta;NO;downtown;YES;downtown;-;
exctleag;Excite League (FD1094 317-0079);1989;Sega;YES;-;NO;-;-;
faceoff;Face Off (Japan 2 Players);1988;Namco;YES;-;NO;-;-;
firetrapbl;Fire Trap (Japan bootleg) [Bootleg];1986;bootleg;NO;firetrap;YES;firetrap;-;
firetrapj;Fire Trap (Japan);1986;Wood Place Inc.;NO;firetrap;YES;firetrap;-;
firetrap;Fire Trap (US, set 1);1986;Wood Place Inc. (Data East USA license);YES;-;NO;-;-;
gollygho;Golly! Ghost!;1990;Namco;YES;-;NO;-;-;
gwarb;Guerrilla War (Joystick hack bootleg);1987;bootleg;NO;gwar;YES;gwar;-;
gwar;Guerrilla War (US);1987;SNK;YES;-;NO;-;-;
gwara;Guerrilla War (Version 1);1987;SNK;NO;gwar;YES;gwar;-;
gwarj;Guevara (Japan);1987;SNK;NO;gwar;YES;gwar;-;
bangj;Gun Gabacho (Japan);1998;Gaelco;NO;bang;YES;bang;-;
hbarrel;Heavy Barrel (US);1987;Data East USA;YES;-;NO;-;-;
hbarrelw;Heavy Barrel (World);1987;Data East USA;NO;hbarrel;YES;hbarrel;-;
ikarijp;Ikari (Japan No Continues);1986;SNK;NO;ikari;YES;ikari;-;
ikari3;Ikari III - The Rescue (8-Way Joystick);1989;SNK;YES;-;NO;-;-;
ikari;Ikari Warriors (US JAMMA);1986;SNK;YES;-;NO;-;-;
ikarinc;Ikari Warriors (US No Continues);1986;SNK;NO;ikari;YES;ikari;-;
ikaria;Ikari Warriors (US);1986;SNK;NO;ikari;YES;ikari;-;
joyfulr;Joyful Road (Japan);1983;SNK;YES;-;NO;-;-;
kchampvs;Karate Champ (US VS version, set 1);1984;Data East USA;NO;kchamp;YES;kchamp;-;
kchampvs2;Karate Champ (US VS version, set 2);1984;Data East USA;NO;kchamp;YES;kchamp;-;
kchamp;Karate Champ (US);1984;Data East USA;YES;-;NO;-;-;
karatedo;Karate Dou (Japan);1984;Data East Corporation;NO;kchamp;YES;kchamp;-;
lghostu;Laser Ghost (set 1, US, 317-0165);1990;Sega;NO;lghost;YES;lghost;-;
lghost;Laser Ghost (set 2, World, 317-0166);1990;Sega;YES;-;NO;-;-;
lethaleneab;Lethal Enforcers (ver EAB, 10/14/92 19:53);1992;Konami;NO;lethalen;YES;lethalen;-;
lethaleneae;Lethal Enforcers (ver EAE, 11/19/92 16:24);1992;Konami;NO;lethalen;YES;lethalen;-;
lethalenua;Lethal Enforcers (ver UAA, 08/17/92 21:38);1992;Konami;NO;lethalen;YES;lethalen;-;
lethalen;Lethal Enforcers (ver UAE, 11/19/92 15:04);1992;Konami;YES;-;NO;-;-;
lethalenux;Lethal Enforcers (ver unknown, US, 08/06/92 15:11, hacked/proto?);1992;Konami;NO;lethalen;YES;lethalen;-;
liblrabl;Libble Rabble;1983;Namco;YES;-;NO;-;-;
loffirej;Line of Fire / Bakudan Yarou (Japan, FD1094 317-0134);1989;Sega;NO;loffire;YES;loffire;-;
loffireu;Line of Fire / Bakudan Yarou (US, FD1094 317-0135);1989;Sega;NO;loffire;YES;loffire;-;
loffire;Line of Fire / Bakudan Yarou (World, FD1094 317-0136);1989;Sega;YES;-;NO;-;-;
lordgun;Lord of Gun (USA) [Imperfect graphics and sound];1994;IGS;YES;-;NO;-;-;
losttomb;Lost Tomb (Easy);1982;Stern;YES;-;NO;-;-;
losttombh;Lost Tomb (Hard);1982;Stern;NO;losttomb;YES;losttomb;-;
luckywld;Lucky & Wild;1992;Namco;YES;-;NO;-;-;
luckywldj;Lucky & Wild (Japan);1992;Namco;NO;luckywld;YES;luckywld;-;
mainsnk;Main Event (1984);1984;SNK;YES;-;NO;-;-;
mars;Mars;1981;Artic;YES;-;NO;-;-;
mechattu;Mechanized Attack (US);1989;SNK;NO;mechatt;YES;mechatt;-;
mechatt;Mechanized Attack (World);1989;SNK;YES;ym2608;NO;-;-;
midresj;Midnight Resistance (Japan);1989;Data East Corporation;NO;midres;YES;midres;-;
midresu;Midnight Resistance (US);1989;Data East USA;NO;midres;YES;midres;-;
midres;Midnight Resistance (World);1989;Data East Corporation;YES;-;NO;-;-;
minefld;Minefield;1983;Stern;YES;-;NO;-;-;
gdfs;Mobil Suit Gundam Final Shooting (Japan);1995;Banpresto;YES;-;NO;-;-;
mnchmobl;Munch Mobile (US);1983;SNK (Centuri license);NO;joyfulr;YES;joyfulr;-;
opwolfb;Operation Bear [Bootleg];1987;bootleg;NO;opwolf;YES;opwolf;-;
opwolfj;Operation Wolf (Japan);1987;Taito Corporation;NO;opwolf;YES;opwolf;-;
opwolfu;Operation Wolf (US);1987;Taito America Corporation;NO;opwolf;YES;opwolf;-;
opwolf;Operation Wolf (World, set 1);1987;Taito Corporation Japan;YES;-;NO;-;-;
opwolfa;Operation Wolf (World, set 2);1987;Taito Corporation Japan;NO;opwolf;YES;opwolf;-;
opwolf3u;Operation Wolf 3 (US);1994;Taito America Corporation;NO;opwolf3;YES;opwolf3;-;
opwolf3;Operation Wolf 3 (World);1994;Taito Corporation Japan;YES;-;NO;-;-;
rchasej;Rail Chase (Japan);1991;Sega;NO;rchase;YES;rchase;-;
rchase;Rail Chase (World);1991;Sega;YES;-;NO;-;-;
rescue;Rescue;1982;Stern;YES;-;NO;-;-;
rockclim;Rock Climber;1981;Taito;YES;-;NO;-;-;
searcharj;SAR - Search And Rescue (Japan);1989;SNK;NO;searchar;YES;searchar;-;
searcharu;SAR - Search And Rescue (US);1989;SNK;NO;searchar;YES;searchar;-;
searchar;SAR - Search And Rescue (World);1989;SNK;YES;-;NO;-;-;
sgunnerj;Steel Gunner (Japan);1990;Namco;NO;sgunner;YES;sgunner;-;
sgunner;Steel Gunner (Rev B);1990;Namco;YES;-;NO;-;-;
sgunner2j;Steel Gunner 2 (Japan, Rev A);1991;Namco;NO;sgunner2;YES;sgunner2;-;
sgunner2;Steel Gunner 2 (US);1991;Namco;YES;-;NO;-;-;
suprleag;Super League (FD1094 317-0045);1987;Sega;YES;-;NO;-;-;
tnk3j;T.A.N.K (Japan);1985;SNK;NO;tnk3;YES;tnk3;-;
tnk3;T.N.K III (US);1985;SNK;YES;-;NO;-;-;
karatevs;Taisen Karate Dou (Japan VS version);1984;Data East Corporation;NO;kchamp;YES;kchamp;-;
roishtar;The Return of Ishtar;1986;Namco;YES;-;NO;-;-;
timesold1;Time Soldiers (US Rev 1);1987;Alpha Denshi Co. (SNK/Romstar license);NO;timesold;YES;timesold;-;
timesold;Time Soldiers (US Rev 3);1987;Alpha Denshi Co. (SNK/Romstar license);YES;-;NO;-;-;
topgunbl;Top Gunner (bootleg, Rotary Joystick);1986;bootleg;NO;jackal;YES;jackal;-;
trophyh;Trophy Hunting - Bear & Moose V1.0 [Hangs are normal, just wait it out.];2002;Sammy USA Corporation;YES;-;NO;-;-;
turkhunt;Turkey Hunting USA V1.0;2001;Sammy USA Corporation;YES;-;NO;-;-;
tutankhm;Tutankham;1982;Konami;YES;-;NO;-;-;
tutankhms;Tutankham (Stern Electronics);1982;Konami (Stern Electronics license);NO;tutankhm;YES;tutankhm;-;
victroad;Victory Road;1986;SNK;YES;-;NO;-;-;
wmatch;Water Match (315-5064);1984;Sega;YES;-;NO;-;-;
wschampa;Wing Shooting Championship V1.01;2001;Sammy USA Corporation;NO;wschamp;YES;wschamp;-;
wschamp;Wing Shooting Championship V2.00;2001;Sammy USA Corporation;YES;-;NO;-;-;
worldwar;World Wars (World?);1987;SNK;YES;-;NO;-;-;
zeropnt;Zero Point (set 1);1998;Unico;YES;-;NO;-;-;
zeropnta;Zero Point (set 2);1998;Unico;NO;zeropnt;YES;zeropnt;-;
zeropnt2;Zero Point 2;1999;Unico;YES;-;NO;-;-;
zombraid;Zombie Raid (9/28/95, US);1995;American Sammy;YES;-;NO;-;-;
