name;description;year;manufacturer;is_parent;romof;is_clone;cloneof;sasampleof;
88games;'88 Games;1988;Konami;YES;-;NO;-;-;
99lstwar;'99: The Last War;1985;Proma;NO;repulse;YES;repulse;-;
99lstwara;'99: The Last War (alternate);1985;Proma;NO;repulse;YES;repulse;-;
99lstwark;'99: The Last War (Kyugo);1985;Kyugo;NO;repulse;YES;repulse;-;
gtmra;1000 Miglia: Great 1000 Miles Rally (94/06/13);1994;Kaneko;NO;gtmr;YES;gtmr;-;
gtmr;1000 Miglia: Great 1000 Miles Rally (94/07/18);1994;Kaneko;YES;-;NO;-;-;
1941;1941 - Counter Attack (900227 World);1990;Capcom;YES;-;NO;-;-;
1941j;1941 - Counter Attack (Japan);1990;Capcom;NO;1941;YES;1941;-;
1942b;1942 (First Version);1984;Capcom;NO;1942;YES;1942;-;
1942a;1942 (Revision A);1984;Capcom;NO;1942;YES;1942;-;
1942abl;1942 (Revision A, bootleg) [Bootleg];1984;Capcom;NO;1942;YES;1942;-;
1942;1942 (Revision B);1984;Capcom;YES;-;NO;-;-;
1942w;1942 (Williams Electronics license);1985;Capcom (Williams Electronics license);NO;1942;YES;1942;-;
1943kai;1943 Kai: Midway Kaisen (Japan);1987;Capcom;YES;-;NO;-;-;
1943j;1943: Midway Kaisen (Japan, Rev B);1987;Capcom;NO;1943;YES;1943;-;
1943;1943: The Battle of Midway (Euro);1987;Capcom;YES;-;NO;-;-;
1943u;1943: The Battle of Midway (US, Rev C);1987;Capcom;NO;1943;YES;1943;-;
1944j;1944 - the loop master (000620 Japan);2000;Capcom / 8ing / Raizing;NO;1944;YES;1944;-;
1944d;1944 - the loop master (000620 USA Phoenix Edition) [Bootleg];2000;bootleg;NO;1944;YES;1944;-;
1944;1944 - the loop master (000620 USA);2000;Capcom / 8ing / Raizing;YES;-;NO;-;-;
1945kiii;1945k III (newer, OPCX2 PCB);2000;Oriental Soft;YES;-;NO;-;-;
19xxd;19XX - the war against destiny (951207 USA Phoenix Edition) [Bootleg];1995;bootleg;NO;19xx;YES;19xx;-;
19xx;19XX - the war against destiny (951207 USA);1995;Capcom;YES;-;NO;-;-;
19xxb;19XX - the war against destiny (951218 Brazil);1995;Capcom;NO;19xx;YES;19xx;-;
19xxh;19XX - the war against destiny (951218 Hispanic);1995;Capcom;NO;19xx;YES;19xx;-;
19xxjr1;19XX - the war against destiny (951225 Japan);1995;Capcom;NO;19xx;YES;19xx;-;
19xxa;19XX - the war against destiny (960104 Asia);1995;Capcom;NO;19xx;YES;19xx;-;
19xxj;19XX - the war against destiny (960104 Japan, yellow case);1996;Capcom;NO;19xx;YES;19xx;-;
openice;2 On 2 Open Ice Challenge (rev 1.21);1995;Midway;YES;-;NO;-;-;
2020bb;2020 Super Baseball (set 1);1991;SNK / Pallas;YES;neogeo;NO;-;-;
2020bba;2020 Super Baseball (set 2);1991;SNK / Pallas;NO;2020bb;YES;2020bb;-;
2020bbh;2020 Super Baseball (set 3);1991;SNK / Pallas;NO;2020bb;YES;2020bb;-;
3countb;3 Count Bout / Fire Suplex (NGM-043)(NGH-043);1993;SNK;YES;neogeo;NO;-;-;
4enraya;4 En Raya (set 1);1990;IDSA;YES;-;NO;-;-;
4in1;4 Fun in 1 [Bootleg];1981;Armenia / Food and Fun;YES;-;NO;-;-;
4dwarrio;4-D Warriors (315-5162);1985;Coreland / Sega;YES;-;NO;-;-;
600;600;1981;Konami;NO;turtles;YES;turtles;-;
64streetj;64th. Street - A Detective Story (Japan, set 1);1991;Jaleco;NO;64street;YES;64street;-;
64street;64th. Street - A Detective Story (World);1991;Jaleco;YES;-;NO;-;-;
800fath;800 Fathoms;1981;Amenip (US Billiards Inc. license);NO;mariner;YES;mariner;-;
abcop;A.B. Cop (World, FD1094 317-0169b);1990;Sega;YES;-;NO;-;-;
ad2083;A.D. 2083 [Incomplete Sound];1983;Midcoin;YES;-;NO;-;-;
abscam;Abscam;1981;GL (US Billiards License);NO;puckman;YES;puckman;-;
acrobatm;Acrobat Mission;1991;UPL (Taito license);YES;nmk004;NO;-;-;
dogfgt;Acrobatic Dog-Fight;1984;Technos Japan;YES;-;NO;-;-;
actfancrj;Act-Fancer Cybernetick Hyper Weapon (Japan revision 1);1989;Data East Corporation;NO;actfancr;YES;actfancr;-;
actfancr1;Act-Fancer Cybernetick Hyper Weapon (World revision 1);1989;Data East Corporation;NO;actfancr;YES;actfancr;-;
actfancr;Act-Fancer Cybernetick Hyper Weapon (World revision 2);1989;Data East Corporation;YES;-;NO;-;-;
afighter;Action Fighter, FD1089A 317-0018;1986;Sega;YES;-;NO;-;-;
aerofgt;Aero Fighters;1992;Video System Co.;YES;-;NO;-;-;
aerofgtb;Aero Fighters (Turbo Force hardware set 1);1992;Video System Co.;NO;aerofgt;YES;aerofgt;-;
aerofgtc;Aero Fighters (Turbo Force hardware set 2);1992;Video System Co.;NO;aerofgt;YES;aerofgt;-;
sonicwi2;Aero Fighters 2 / Sonic Wings 2;1994;Video System Co.;YES;neogeo;NO;-;-;
sonicwi3;Aero Fighters 3 / Sonic Wings 3;1995;Video System Co.;YES;neogeo;NO;-;-;
aeroboto;Aeroboto;1984;Jaleco (Williams license);NO;formatz;YES;formatz;-;
aburner;After Burner;1987;Sega;NO;aburner2;YES;aburner2;-;
aburner2;After Burner II;1987;Sega;YES;-;NO;-;-;
aodk;Aggressors of Dark Kombat / Tsuukai GANGAN Koushinkyoku (ADM-008)(ADH-008);1994;ADK / SNK;YES;neogeo;NO;-;-;
agress;Agress;1991;Palco;YES;-;NO;-;-;
agressb;Agress (English bootleg);2003;Palco;NO;agress;YES;agress;-;
koshien;Ah Eikou no Koshien (Japan);1990;Taito Corporation;YES;-;NO;-;-;
airattck;Air Attack (set 1);1996;Comad;YES;-;NO;-;-;
airattcka;Air Attack (set 2);1996;Comad;NO;airattck;YES;airattck;-;
airbustrb;Air Buster: Trouble Specialty Raid Unit (bootleg) [Bootleg];1990;bootleg;NO;airbustr;YES;airbustr;-;
airbustrj;Air Buster: Trouble Specialty Raid Unit (Japan);1990;Kaneko (Namco license);NO;airbustr;YES;airbustr;-;
airbustr;Air Buster: Trouble Specialty Raid Unit (World);1990;Kaneko (Namco license);YES;-;NO;-;-;
airduel;Air Duel (World, M82-A-A + M82-B-A);1990;Irem;YES;-;NO;-;-;
agallet;Air Gallet (Europe);1996;BanPresto / Gazelle;YES;-;NO;-;-;
