name;description;year;manufacturer;is_parent;romof;is_clone;cloneof;sasampleof
99lstwar;'99: The Last War;1985;Proma;NO;repulse;YES;repulse;-
99lstwara;'99: The Last War (alternate);1985;Proma;NO;repulse;YES;repulse;-
99lstwark;'99: The Last War (Kyugo);1985;Kyugo;NO;repulse;YES;repulse;-
gtmro;1000 Miglia: Great 1000 Miles Rally (94/05/10);1994;Kaneko;NO;gtmr;YES;gtmr;-
gtmrb;1000 Miglia: Great 1000 Miles Rally (94/05/26);1994;Kaneko;NO;gtmr;YES;gtmr;-
gtmra;1000 Miglia: Great 1000 Miles Rally (94/06/13);1994;Kaneko;NO;gtmr;YES;gtmr;-
1941u;1941 - Counter Attack (900227 USA);1990;Capcom;NO;1941;YES;1941;-
1941j;1941 - Counter Attack (Japan);1990;Capcom;NO;1941;YES;1941;-
1941r1;1941 - Counter Attack (World);1990;Capcom;NO;1941;YES;1941;-
1942c64;1942 (C64 Music);2015;hack by Minwah;NO;1942;YES;1942;-
1942b;1942 (First Version);1984;Capcom;NO;1942;YES;1942;-
1942a;1942 (Revision A);1984;Capcom;NO;1942;YES;1942;-
1942abl;1942 (Revision A, bootleg) [Bootleg];1984;Capcom;NO;1942;YES;1942;-
1942w;1942 (Williams Electronics license);1985;Capcom (Williams Electronics license);NO;1942;YES;1942;-
1943bj;1943: Midway Kaisen (bootleg) [Bootleg];1987;bootleg;NO;1943;YES;1943;-
1943ja;1943: Midway Kaisen (Japan);1987;Capcom;NO;1943;YES;1943;-
1943j;1943: Midway Kaisen (Japan, Rev B);1987;Capcom;NO;1943;YES;1943;-
1943b;1943: The Battle of Midway (bootleg set 1, hack of Japan set) [Bootleg];1987;bootleg;NO;1943;YES;1943;-
1943b2;1943: The Battle of Midway (bootleg set 2, hack of Japan set) [Bootleg];1987;bootleg;NO;1943;YES;1943;-
1943ja2;1943: The Battle of Midway (hack of Japan set);1987;Capcom;NO;1943;YES;1943;-
1943ua;1943: The Battle of Midway (US);1987;Capcom;NO;1943;YES;1943;-
1943u;1943: The Battle of Midway (US, Rev C);1987;Capcom;NO;1943;YES;1943;-
1944j;1944 - the loop master (000620 Japan);2000;Capcom / 8ing / Raizing;NO;1944;YES;1944;-
1944d;1944 - the loop master (000620 USA Phoenix Edition) [Bootleg];2000;bootleg;NO;1944;YES;1944;-
1944ad;1944 - the loop master (000620 USA Phoenix Edition, alt) [Bootleg];2000;bootleg;NO;1944;YES;1944;-
bgareggabl;1945 Part 2 (Chinese hack of Battle Garegga) [Hack];1996;hack;NO;bgaregga;YES;bgaregga;-
1945kiiin;1945k III (newer, OPCX1 PCB);2000;Oriental Soft;NO;1945kiii;YES;1945kiii;-
1945kiiio;1945k III (older, OPCX1 PCB);1999;Oriental Soft;NO;1945kiii;YES;1945kiii;-
19xxar1;19XX - the war against destiny (951207 Asia);1995;Capcom;NO;19xx;YES;19xx;-
19xxjr2;19XX - the war against destiny (951207 Japan);1995;Capcom;NO;19xx;YES;19xx;-
19xxd;19XX - the war against destiny (951207 USA Phoenix Edition) [Bootleg];1995;bootleg;NO;19xx;YES;19xx;-
19xxb;19XX - the war against destiny (951218 Brazil);1995;Capcom;NO;19xx;YES;19xx;-
19xxh;19XX - the war against destiny (951218 Hispanic);1995;Capcom;NO;19xx;YES;19xx;-
19xxjr1;19XX - the war against destiny (951225 Japan);1995;Capcom;NO;19xx;YES;19xx;-
19xxa;19XX - the war against destiny (960104 Asia);1995;Capcom;NO;19xx;YES;19xx;-
19xxj;19XX - the war against destiny (960104 Japan, yellow case);1996;Capcom;NO;19xx;YES;19xx;-
2020bba;2020 Super Baseball (set 2);1991;SNK / Pallas;NO;2020bb;YES;2020bb;-
2020bbh;2020 Super Baseball (set 3);1991;SNK / Pallas;NO;2020bb;YES;2020bb;-
