name;description;year;manufacturer;is_parent;romof;is_clone;cloneof;sasampleof;
4in1;4 Fun in 1 [Bootleg];1981;Armenia / Food and Fun;YES;-;NO;-;-;
blkhole;Black Hole;1981;TDS;YES;-;NO;-;-;
chkun;Chance Kun (Japan);1988;Peni Soft;YES;-;NO;-;-;
dotrikun;Dottori Kun (new version);1990;Sega;YES;-;NO;-;-;
fghtbskt;Fighting Basketball;1984;Paradise Co. Ltd.;YES;-;NO;-;-;
kaitei;Kaitei Takara Sagashi [Freezes up, use kaitein instead!];1980;K.K. Tokki;YES;-;NO;-;-;
kickboy;Kick Boy;1983;Nichibutsu;YES;-;NO;-;-;
ksayakyu;Kusayakyuu;1985;Taito Corporation;YES;-;NO;-;-;
minivadr;Minivader;1990;Taito Corporation;YES;-;NO;-;-;
mogura;Mogura Desse [Konami test board];1991;Konami;YES;-;NO;-;-;
navarone;Navarone;1980;Namco;YES;-;NO;-;-;
skybase;Sky Base;1982;Omori Electric Co. Ltd;YES;-;NO;-;-;
timelimt;Time Limit;1983;Chuo Co. Ltd;YES;-;NO;-;-;
