name;description;year;manufacturer;is_parent;romof;is_clone;cloneof;sasampleof;
88games;"'88 Games";1988;"Konami";YES;-;NO;-;-;
flagrall;"'96 Flag Rally";1996;"unknown";YES;-;NO;-;-;
99lstwar;"'99: The Last War";1985;"Proma";NO;repulse;YES;repulse;-;
99lstwara;"'99: The Last War (alternate)";1985;"Proma";NO;repulse;YES;repulse;-;
99lstwark;"'99: The Last War (Kyugo)";1985;"Kyugo";NO;repulse;YES;repulse;-;
gtmro;"1000 Miglia: Great 1000 Miles Rally (94/05/10)";1994;"Kaneko";NO;gtmr;YES;gtmr;-;
gtmrb;"1000 Miglia: Great 1000 Miles Rally (94/05/26)";1994;"Kaneko";NO;gtmr;YES;gtmr;-;
gtmra;"1000 Miglia: Great 1000 Miles Rally (94/06/13)";1994;"Kaneko";NO;gtmr;YES;gtmr;-;
gtmr;"1000 Miglia: Great 1000 Miles Rally (94/07/18)";1994;"Kaneko";YES;-;NO;-;-;
1941u;"1941 - Counter Attack (900227 USA)";1990;"Capcom";NO;1941;YES;1941;-;
1941;"1941 - Counter Attack (900227 World)";1990;"Capcom";YES;-;NO;-;-;
1941j;"1941 - Counter Attack (Japan)";1990;"Capcom";NO;1941;YES;1941;-;
1941r1;"1941 - Counter Attack (World)";1990;"Capcom";NO;1941;YES;1941;-;
1942c64;"1942 (C64 Music)";2015;"hack by Minwah";NO;1942;YES;1942;-;
1942b;"1942 (First Version)";1984;"Capcom";NO;1942;YES;1942;-;
1942a;"1942 (Revision A)";1984;"Capcom";NO;1942;YES;1942;-;
1942abl;"1942 (Revision A, bootleg) [Bootleg]";1984;"Capcom";NO;1942;YES;1942;-;
1942;"1942 (Revision B)";1984;"Capcom";YES;-;NO;-;-;
1942w;"1942 (Williams Electronics license)";1985;"Capcom (Williams Electronics license)";NO;1942;YES;1942;-;
1943kai;"1943 Kai: Midway Kaisen (Japan)";1987;"Capcom";YES;-;NO;-;-;
1943bj;"1943: Midway Kaisen (bootleg) [Bootleg]";1987;"bootleg";NO;1943;YES;1943;-;
1943ja;"1943: Midway Kaisen (Japan)";1987;"Capcom";NO;1943;YES;1943;-;
1943j;"1943: Midway Kaisen (Japan, Rev B)";1987;"Capcom";NO;1943;YES;1943;-;
1943b;"1943: The Battle of Midway (bootleg set 1, hack of Japan set) [Bootleg]";1987;"bootleg";NO;1943;YES;1943;-;
1943b2;"1943: The Battle of Midway (bootleg set 2, hack of Japan set) [Bootleg]";1987;"bootleg";NO;1943;YES;1943;-;
1943;"1943: The Battle of Midway (Euro)";1987;"Capcom";YES;-;NO;-;-;
1943ja2;"1943: The Battle of Midway (hack of Japan set)";1987;"Capcom";NO;1943;YES;1943;-;
1943ua;"1943: The Battle of Midway (US)";1987;"Capcom";NO;1943;YES;1943;-;
