name;description;year;manufacturer;is_parent;romof;is_clone;cloneof;sasampleof;is_runnable;is_device;is_bios;biosof;is_mechanical;is_arcade;use_chds;savestate;source_file;first_emulator;first_emulator_date;last_emulator;last_emulator_date;players;buttons;coins;sound_channels;screens;display_type;display_rotate;screen_orientation;display_width;display_height;display_refresh;input_controls;monitor_type;chips_cpu;chips_cpu_details;chips_audio;chips_audio_details;driver_status;driver_emulation;driver_color;driver_sound;driver_graphic;driver_cocktail;driver_protection;dump_status;device_types;category;genre;serie;language;colors;has_device_refs;has_roms;has_disks;has_dip_switches;has_bios_sets;has_configs;has_ports;has_devices;has_slots;has_adjusters;has_soft_lists;has_ram_opts;has_cheats;nplayers;url_playonline;url_shortplays;url_shortplay_ms;game_rate;mature;on_top_score;on_bacheca_record;on_arcaworld;ranking;bestgame;alltime;cabinets;
5;5;1981;Sega;YES;-;NO;-;5;YES;NO;NO;-;NO;YES;NO;NO;segag80r.cpp;Mame 0.30;08/01/98;Mame 0.194;31/01/18;0;1;2;1;1;RASTER;270;VERTICAL;256;224;59.998138;joystick (4-way);CRT 15kHz;Z80;maincpu Z80 @3.867 MHz;Speaker,Samples,Sega 005 Custom Sound;speaker Speaker, samples Samples, 005 Sega 005 Custom Sound;IMPERFECT;GOOD;GOOD;IMPERFECT;GOOD;UNKNOWN;GOOD;BADDUMP;-;Maze / Shooter Small;Maze;-;English;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;2P alt;https://archive.org/details/arcade_005;https://www.youtube.com/watch?v=4s2XpBIcTtQ;-;0;NO;NO;NO;NO;English;10 to 20 (Horrible);-;Cocktail, Upright;NO
720;720 Degrees (rev 4);1986;Atari Games;YES;-;NO;-;-;YES;NO;NO;-;NO;YES;NO;YES;atarisy2.cpp;Mame 0.33b4;31/05/98;Mame 0.194;31/01/18;0;2;3;2;1;RASTER;0;HORIZONTAL;512;384;60.096154;joystick (analog),dial;CRT 25kHz;T11,M6502,Atari C012294 POKEY;maincpu T11 @10 MHz, audiocpu M6502 @1.789772 MHz, pokey1 Atari C012294 POKEY @1.789772 MHz, pokey2 Atari C012294 POKEY @1.789772 MHz;Speaker,Yamaha YM2151 OPM,Atari C012294 POKEY,TMS5220C;lspeaker Speaker, rspeaker Speaker, ymsnd Yamaha YM2151 OPM @3.579545 MHz, pokey1 Atari C012294 POKEY @1.789772 MHz, pokey2 Atari C012294 POKEY @1.789772 MHz, tms TMS5220C @0.625 MHz;GOOD;GOOD;GOOD;GOOD;GOOD;UNKNOWN;GOOD;GOOD;-;Sports / Skateboarding;Sports;-;English;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;2P alt;https://archive.org/details/arcade_720;https://www.youtube.com/watch?v=bcK3U-oxAE0;-;60;NO;NO;NO;NO;English;70 to 80 (Good);1986;1986;NO
3stooges;The Three Stooges In Brides Is Brides (set 1);1984;Mylstar;YES;-;NO;-;-;YES;NO;NO;-;NO;YES;NO;NO;gottlieb.cpp;Mame 0.26;14/07/97;Mame 0.194;31/01/18;0;1;2;1;1;RASTER;0;HORIZONTAL;256;240;61.419025;joystick (8-way);CRT 15kHz;I8088,M6502;maincpu I8088 @5 MHz, r2sound:audiocpu M6502 @1 MHz, r2sound:speechcpu M6502 @1 MHz;Speaker,Gottlieb Sound rev. 2,8-Bit R-2R DAC,AY-3-8913 PSG,GI SP0250 LPC;speaker Speaker, r2sound Gottlieb Sound rev. 2, r2sound:dac 8-Bit R-2R DAC, r2sound:dacvol 8-Bit R-2R DAC, r2sound:ay1 AY-3-8913 PSG @2 MHz, r2sound:ay2 AY-3-8913 PSG @2 MHz, r2sound:spsnd GI SP0250 LPC @3.12 MHz;GOOD;GOOD;GOOD;GOOD;GOOD;UNKNOWN;GOOD;GOOD;-;Shooter / Field;Shooter;-;English;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;3P sim;https://archive.org/details/arcade_3stooges;https://www.youtube.com/watch?v=wmZaOKo2nCQ;-;0;NO;NO;NO;NO;English;50 to 60 (Not Good Enough);-;50 to 60 (Not Good Enough);NO
40love;Forty-Love (World);1984;Taito Corporation;YES;-;NO;-;-;YES;NO;NO;-;NO;YES;NO;YES;40love.cpp;Mame 0.57;01/01/02;Mame 0.194;31/01/18;0;3;2;1;1;RASTER;0;HORIZONTAL;256;224;60.000000;joystick (4-way);CRT 15kHz;Z80,MC68705P5;maincpu Z80 @4 MHz, audiocpu Z80 @4 MHz, bmcu:mcu MC68705P5 @3.72 MHz;Speaker,AY-3-8910A PSG,MSM5232,8-Bit R-2R DAC;speaker Speaker, aysnd AY-3-8910A PSG @2 MHz, msm MSM5232 @2 MHz, dac 8-Bit R-2R DAC;IMPERFECT;GOOD;GOOD;GOOD;IMPERFECT;UNKNOWN;GOOD;BADDUMP;-;Sports / Tennis;Sports;-;English;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;2P alt;-;https://www.youtube.com/watch?v=5cITPIoTOxo;-;0;NO;NO;NO;NO;English;30 to 40 (Amendable);1984;Cocktail, Upright;YES
8ball;Video Eight Ball;1982;Century Electronics;YES;cvs;NO;-;-;YES;NO;NO;-;NO;YES;NO;YES;cvs.cpp;Mame 0.37b10 (0.46);05/12/00;Mame 0.194;31/01/18;0;1;2;1;1;RASTER;90;VERTICAL;240;248;60.000000;joystick (8-way);CRT 15kHz;S2650;maincpu S2650 @0.894886 MHz, audiocpu S2650 @0.894886 MHz, speechcpu S2650 @0.894886 MHz;Signetics 2636 PVI,Speaker,8-Bit R-2R DAC,4-Bit R-2R DAC,1-Bit DAC,TMS5100;s2636_0 Signetics 2636 PVI, s2636_1 Signetics 2636 PVI, s2636_2 Signetics 2636 PVI, speaker Speaker, dac1 8-Bit R-2R DAC, dac2 4-Bit R-2R DAC, dac3 1-Bit DAC, tms TMS5100 @0.64 MHz;IMPERFECT;GOOD;GOOD;IMPERFECT;GOOD;PRELIMINARY;GOOD;GOOD;-;Sports / Pool;Sports;-;English;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;2P alt;https://archive.org/details/arcade_8ball;https://www.youtube.com/watch?v=kx1ipEujv9Y;-;0;NO;NO;NO;NO;English;30 to 40 (Amendable);-;Cocktail, Upright;NO
9ballsht;9-Ball Shootout (set 1);1993;E-Scape EnterMedia (Bundra license);YES;coolpool;NO;coolpool;-;YES;NO;NO;-;NO;YES;NO;NO;coolpool.cpp;Mame 0.74u2;06/10/03;Mame 0.194;31/01/18;0;3;2;1;1;RASTER;0;HORIZONTAL;320;240;60.012477;joystick (8-way);CRT 15kHz;TMS34010,TMS32026;maincpu TMS34010 @40 MHz, dsp TMS32026 @40 MHz;Speaker,12-Bit R-2R Twos Complement DAC;speaker Speaker, dac 12-Bit R-2R Twos Complement DAC;GOOD;GOOD;GOOD;GOOD;GOOD;UNKNOWN;GOOD;GOOD;-;Sports / Pool;Sports;-;English;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;2P alt;-;https://www.youtube.com/watch?v=x90D9VimdQQ;-;0;NO;NO;NO;NO;English;50 to 60 (Not Good Enough);1993;1993;NO
aafb;All American Football (rev E);1989;Leland Corporation;YES;-;NO;-;-;YES;NO;NO;-;NO;YES;NO;NO;leland.cpp;Mame 0.37b3 (0.39);27/05/00;Mame 0.194;31/01/18;0;1;2;2;1;RASTER;270;VERTICAL;320;240;60.000000;joystick (8-way),joystick (analog);CRT 15kHz;Z80,I80186;master Z80 @6 MHz, slave Z80 @6 MHz, audiocpu I80186 @16 MHz;Speaker,AY-3-8910A PSG,8-Bit Binary Weighted DAC,AD7524,AD7533;speaker Speaker, ay8910 AY-3-8910A PSG @1.666666 MHz, dac0 8-Bit Binary Weighted DAC, dac1 8-Bit Binary Weighted DAC, custom:speaker Speaker, custom:dac1 AD7524, custom:dac2 AD7524, custom:dac3 AD7524, custom:dac4 AD7524, custom:dac5 AD7524, custom:dac6 AD7524, custom:dac9 AD7533, custom:dac1vol 8-Bit Binary Weighted DAC, custom:dac2vol 8-Bit Binary Weighted DAC, custom:dac3vol 8-Bit Binary Weighted DAC, custom:dac4vol 8-Bit Binary Weighted DAC, custom:dac5vol 8-Bit Binary Weighted DAC, custom:dac6vol 8-Bit Binary Weighted DAC;GOOD;GOOD;GOOD;GOOD;GOOD;UNKNOWN;GOOD;GOOD;-;Sports / Football;Sports;Quarterback;English;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;4P sim;-;https://www.youtube.com/watch?v=5q0X75egi9I;-;0;NO;NO;NO;NO;English;70 to 80 (Good);-;70 to 80 (Good);NO
abaseb;Atari Baseball (set 1);1979;Atari;YES;-;NO;-;-;YES;NO;NO;-;NO;YES;NO;YES;atarifb.cpp;Mame 0.35b2;24/01/99;Mame 0.194;31/01/18;0;1;2;1;1;RASTER;0;HORIZONTAL;304;240;60.000000;trackball;CRT 15kHz;M6502;maincpu M6502 @0.75 MHz;Speaker,Discrete Sound;mono Speaker, discrete Discrete Sound;GOOD;GOOD;GOOD;GOOD;GOOD;UNKNOWN;GOOD;GOOD;-;Sports / Baseball;Sports;-;English;Monochromatic;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;2P sim;-;https://www.youtube.com/watch?v=6s35qF6ENk4;-;0;NO;NO;NO;NO;Monochromatic;30 to 40 (Amendable);-;30 to 40 (Amendable);NO
alien3;Alien3: The Gun (World);1993;Sega;YES;-;NO;-;-;YES;NO;NO;-;NO;YES;NO;NO;segas32.cpp;Mame 0.63;12/01/03;Mame 0.194;31/01/18;0;2;2;2;1;RASTER;0;HORIZONTAL;416;224;60.000000;joystick (analog);CRT 15kHz;V60,Z80;mainpcb:maincpu V60 @16.10795 MHz, mainpcb:soundcpu Z80 @8.53975 MHz;Speaker,YM3438 OPN2C,Ricoh RF5C68;mainpcb:lspeaker Speaker, mainpcb:rspeaker Speaker, mainpcb:ym1 YM3438 OPN2C @8.53975 MHz, mainpcb:ym2 YM3438 OPN2C @8.53975 MHz, mainpcb:rfsnd Ricoh RF5C68 @12.5 MHz;IMPERFECT;GOOD;GOOD;GOOD;IMPERFECT;UNKNOWN;GOOD;GOOD;-;Shooter / Gun;Shooter;-;English;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;2P sim;-;https://www.youtube.com/watch?v=y-u6-x8T1Fs;-;0;NO;NO;NO;NO;English;70 to 80 (Good);1993;1993;NO
alleymas;Alley Master;1986;Cinematronics;YES;-;NO;-;-;YES;NO;NO;-;NO;YES;NO;NO;leland.cpp;Mame 0.37b3 (0.39);27/05/00;Mame 0.194;31/01/18;0;2;2;1;1;RASTER;270;VERTICAL;320;240;60.000000;joystick (analog);CRT 15kHz;Z80;master Z80 @6 MHz, slave Z80 @6 MHz;Speaker,AY-3-8910A PSG,8-Bit Binary Weighted DAC;speaker Speaker, ay8910 AY-3-8910A PSG @1.666666 MHz, dac0 8-Bit Binary Weighted DAC, dac1 8-Bit Binary Weighted DAC;GOOD;GOOD;GOOD;GOOD;GOOD;UNKNOWN;GOOD;GOOD;-;Sports / Bowling;Sports;-;English;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;2P alt;https://archive.org/details/arcade_alleymas;https://www.youtube.com/watch?v=rXCl-ni4gDU;-;0;NO;NO;NO;NO;English;30 to 40 (Amendable);-;30 to 40 (Amendable);NO
