name;description;year;manufacturer;is_parent;romof;is_clone;cloneof;sasampleof;is_runnable;is_device;is_bios;biosof;is_mechanical;is_arcade;use_chds;savestate;source_file;first_emulator;first_emulator_date;last_emulator;last_emulator_date;players;buttons;coins;sound_channels;screens;display_type;display_rotate;screen_orientation;display_width;display_height;display_refresh;input_controls;monitor_type;chips_cpu;chips_cpu_details;chips_audio;chips_audio_details;driver_status;driver_emulation;driver_color;driver_sound;driver_graphic;driver_cocktail;driver_protection;dump_status;device_types;category;genre;serie;language;colors;has_device_refs;has_roms;has_disks;has_dip_switches;has_bios_sets;has_configs;has_ports;has_devices;has_slots;has_adjusters;has_soft_lists;has_ram_opts;has_cheats;nplayers;url_playonline;url_shortplays;url_shortplay_ms;game_rate;mature;on_top_score;on_bacheca_record;on_arcaworld;lang2;ranking;bestgame;alltime;cabinets;
"pc_1942";"1942 (PlayChoice-10)";"1987";Capcom;YES;"playch10";NO;-;-;YES;NO;NO;"playch10";NO;YES;NO;NO;"playch10.cpp";"Mame 0.37b7 (0.43)";"2000-09-05";"Mame 0.195";"2018-02-28";0;2;2;1;2;RASTER;"0";HORIZONTAL;256;240;60.000000;"joystick (8-way)";"CRT 15kHz";"Z80,N2A03";"maincpu Z80 @4 MHz, cart N2A03 @1.789772 MHz";"N2A03 APU,Speaker";"cart:nesapu N2A03 APU @1.789772 MHz, mono Speaker";IMPERFECT;GOOD;GOOD;GOOD;IMPERFECT;UNKNOWN;GOOD;GOOD;-;"Shooter / Flying Vertical";Shooter;-;English;-;YES;YES;NO;YES;YES;NO;YES;NO;NO;NO;NO;NO;YES;"2P alt";-;"https://www.youtube.com/watch?v=XcCC8hb8-S0";"https://www.youtube.com/watch?v=sY5FuWpedxE";100;NO;NO;NO;NO;English;"30 to 40 (Amendable)";-;"30 to 40 (Amendable)";NO;
"2020bb";"2020 Super Baseball (set 1)";"1991";"SNK / Pallas";YES;neogeo;NO;-;-;YES;NO;NO;neogeo;NO;YES;NO;YES;neogeo.cpp;"Mame 0.34rc1";"1998-12-14";"Mame 0.195";"2018-02-28";0;4;4;2;1;RASTER;"0";HORIZONTAL;320;224;59.185606;"joystick (8-way)";"CRT 15kHz";"M68000,Z80";"maincpu M68000 @12 MHz, audiocpu Z80 @4 MHz";"Speaker,YM2610 OPNB";"lspeaker Speaker, rspeaker Speaker, ymsnd YM2610 OPNB @8 MHz";GOOD;GOOD;GOOD;GOOD;GOOD;UNKNOWN;GOOD;GOOD;"memcard,cartridge";"Sports / Baseball";Sports;-;English;-;YES;YES;NO;YES;YES;NO;YES;YES;YES;NO;NO;NO;YES;"2P sim";-;"https://www.youtube.com/watch?v=NOUX4yxXbtk";-;0;NO;NO;NO;NO;English;"70 to 80 (Good)";-;"Normal, VS Mode";YES;
"2020bbh";"2020 Super Baseball (set 3)";"1991";"SNK / Pallas";NO;"2020bb";YES;"2020bb";-;YES;NO;NO;neogeo;NO;YES;NO;YES;neogeo.cpp;"Mame 0.36b4";"1999-09-04";"Mame 0.195";"2018-02-28";0;4;4;2;1;RASTER;"0";HORIZONTAL;320;224;59.185606;"joystick (8-way)";"CRT 15kHz";"M68000,Z80";"maincpu M68000 @12 MHz, audiocpu Z80 @4 MHz";"Speaker,YM2610 OPNB";"lspeaker Speaker, rspeaker Speaker, ymsnd YM2610 OPNB @8 MHz";GOOD;GOOD;GOOD;GOOD;GOOD;UNKNOWN;GOOD;BADDUMP;"memcard,cartridge";"Sports / Baseball";Sports;-;English;-;YES;YES;NO;YES;YES;NO;YES;YES;YES;NO;NO;NO;YES;"2P sim";-;"https://www.youtube.com/watch?v=5cO3OvXUS8o";-;0;NO;NO;NO;NO;English;-;-;"Normal, VS Mode";YES;
"3countb";"3 Count Bout / Fire Suplex (NGM-043 ~ NGH-043)";"1993";SNK;YES;neogeo;NO;-;-;YES;NO;NO;neogeo;NO;YES;NO;YES;neogeo.cpp;"Mame 0.34rc1";"1998-12-14";"Mame 0.195";"2018-02-28";0;4;4;2;1;RASTER;"0";HORIZONTAL;320;224;59.185606;"joystick (8-way)";"CRT 15kHz";"M68000,Z80";"maincpu M68000 @12 MHz, audiocpu Z80 @4 MHz";"Speaker,YM2610 OPNB";"lspeaker Speaker, rspeaker Speaker, ymsnd YM2610 OPNB @8 MHz";GOOD;GOOD;GOOD;GOOD;GOOD;UNKNOWN;GOOD;GOOD;"memcard,cartridge";"Sports / Wrestling";Sports;-;English;-;YES;YES;NO;YES;YES;NO;YES;YES;YES;NO;NO;NO;YES;"2P sim";-;"https://www.youtube.com/watch?v=AYYgTV83UIc";-;100;NO;NO;NO;YES;English;"50 to 60 (Not Good Enough)";-;"Normal, VS Mode";YES;
nss_actr;"Act Raiser (Nintendo Super System)";"1992";Enix;YES;nss;NO;-;-;YES;NO;NO;nss;NO;YES;NO;NO;nss.cpp;"Mame 0.71u2";"2003-07-12";"Mame 0.195";"2018-02-28";0;13;2;2;2;RASTER;"0";HORIZONTAL;288;216;60.000000;"joystick (8-way)";"CRT 15kHz";"5A22,SPC700,Z80";"maincpu 5A22 @21.477272 MHz, soundcpu SPC700 @2.48 MHz, bios Z80 @4 MHz";"Speaker,SNES Custom DSP (SPC700)";"lspeaker Speaker, rspeaker Speaker, spc700 SNES Custom DSP (SPC700)";PRELIMINARY;PRELIMINARY;GOOD;IMPERFECT;GOOD;UNKNOWN;GOOD;GOOD;-;"Platform / Fighter Scrolling";Platform;-;English;-;YES;YES;NO;YES;YES;NO;YES;NO;NO;NO;NO;NO;YES;"1P";-;"https://www.youtube.com/watch?v=nvEJ7U-oOqA";"https://www.youtube.com/watch?v=T6UJxr0MqTA";0;NO;NO;NO;NO;English;-;-;English;NO;
"sonicwi2";"Aero Fighters 2 / Sonic Wings 2";"1994";"Video System Co.";YES;neogeo;NO;-;-;YES;NO;NO;neogeo;NO;YES;NO;YES;neogeo.cpp;"Mame 0.34b4";"1998-10-04";"Mame 0.195";"2018-02-28";0;4;4;2;1;RASTER;"0";HORIZONTAL;320;224;59.185606;"joystick (8-way)";"CRT 15kHz";"M68000,Z80";"maincpu M68000 @12 MHz, audiocpu Z80 @4 MHz";"Speaker,YM2610 OPNB";"lspeaker Speaker, rspeaker Speaker, ymsnd YM2610 OPNB @8 MHz";GOOD;GOOD;GOOD;GOOD;GOOD;UNKNOWN;GOOD;GOOD;"memcard,cartridge";"Shooter / Flying Vertical";Shooter;"Sonic Wings";English;-;YES;YES;NO;YES;YES;NO;YES;YES;YES;NO;NO;NO;YES;"2P sim";-;"https://www.youtube.com/watch?v=K5XOtKH3J3E";-;100;NO;NO;YES;YES;English;"70 to 80 (Good)";-;"Normal, VS Mode";YES;
"sonicwi3";"Aero Fighters 3 / Sonic Wings 3";"1995";"Video System Co.";YES;neogeo;NO;-;-;YES;NO;NO;neogeo;NO;YES;NO;YES;neogeo.cpp;"Mame 0.34b5";"1998-10-16";"Mame 0.195";"2018-02-28";0;4;4;2;1;RASTER;"0";HORIZONTAL;320;224;59.185606;"joystick (8-way)";"CRT 15kHz";"M68000,Z80";"maincpu M68000 @12 MHz, audiocpu Z80 @4 MHz";"Speaker,YM2610 OPNB";"lspeaker Speaker, rspeaker Speaker, ymsnd YM2610 OPNB @8 MHz";GOOD;GOOD;GOOD;GOOD;GOOD;UNKNOWN;GOOD;GOOD;"memcard,cartridge";"Shooter / Flying Vertical";Shooter;"Sonic Wings";English;-;YES;YES;NO;YES;YES;NO;YES;YES;YES;NO;NO;NO;YES;"2P sim";-;"https://www.youtube.com/watch?v=PRZ_chJlXk8";-;0;NO;NO;NO;YES;English;"70 to 80 (Good)";-;"Normal, VS Mode";YES;
mt_aftrb;"After Burner (Mega-Tech, SMS based)";"1987";Sega;YES;megatech;NO;-;-;YES;NO;NO;megatech;NO;YES;NO;NO;megatech.cpp;"Mame 0.74";"2003-09-14";"Mame 0.195";"2018-02-28";0;4;4;2;2;RASTER;"0";HORIZONTAL;256;224;59.922738;"joystick (8-way)";"CRT 15kHz";"M68000,Z80";"maincpu M68000 @7.670453 MHz, genesis_snd_z80 Z80 @3.579545 MHz, mtbios Z80 @3.57954 MHz";"Speaker,YM2612 OPN2,Sega VDP PSG,SN76496";"lspeaker Speaker, rspeaker Speaker, ymsnd YM2612 OPN2 @7.670453 MHz, snsnd Sega VDP PSG @3.579545 MHz, sn2 SN76496 @3.57954 MHz";PRELIMINARY;PRELIMINARY;GOOD;GOOD;GOOD;UNKNOWN;GOOD;GOOD;cartridge;"Shooter / Flying (chase view)";Shooter;-;English;-;YES;YES;NO;YES;YES;NO;YES;YES;YES;NO;NO;NO;YES;???;-;"https://www.youtube.com/watch?v=tLKoIpbPAIo";"https://www.youtube.com/watch?v=oRGXN_M-6PQ";0;NO;NO;NO;NO;English;-;-;English;NO;
aodk;"Aggressors of Dark Kombat / Tsuukai GANGAN Koushinkyoku (ADM-008 ~ ADH-008)";"1994";"ADK / SNK";YES;neogeo;NO;-;-;YES;NO;NO;neogeo;NO;YES;NO;YES;neogeo.cpp;"Mame 0.34b5";"1998-10-16";"Mame 0.195";"2018-02-28";0;4;4;2;1;RASTER;"0";HORIZONTAL;320;224;59.185606;"joystick (8-way)";"CRT 15kHz";"M68000,Z80";"maincpu M68000 @12 MHz, audiocpu Z80 @4 MHz";"Speaker,YM2610 OPNB";"lspeaker Speaker, rspeaker Speaker, ymsnd YM2610 OPNB @8 MHz";GOOD;GOOD;GOOD;GOOD;GOOD;UNKNOWN;GOOD;GOOD;"memcard,cartridge";"Fighter / Versus";Fighter;-;English;-;YES;YES;NO;YES;YES;NO;YES;YES;YES;NO;NO;NO;YES;"2P sim";-;"https://www.youtube.com/watch?v=zQKzHBdqQ0A";-;50;NO;NO;NO;YES;English;"50 to 60 (Not Good Enough)";-;"Normal, VS Mode";YES;
"alpham2";"Alpha Mission II / ASO II - Last Guardian (NGM-007 ~ NGH-007)";"1991";SNK;YES;neogeo;NO;-;-;YES;NO;NO;neogeo;NO;YES;NO;YES;neogeo.cpp;"Mame 0.34b1";"1998-08-16";"Mame 0.195";"2018-02-28";0;4;4;2;1;RASTER;"0";HORIZONTAL;320;224;59.185606;"joystick (8-way)";"CRT 15kHz";"M68000,Z80";"maincpu M68000 @12 MHz, audiocpu Z80 @4 MHz";"Speaker,YM2610 OPNB";"lspeaker Speaker, rspeaker Speaker, ymsnd YM2610 OPNB @8 MHz";GOOD;GOOD;GOOD;GOOD;GOOD;UNKNOWN;GOOD;GOOD;"memcard,cartridge";"Shooter / Flying Vertical";Shooter;"Alpha Mission";English;-;YES;YES;NO;YES;YES;NO;YES;YES;YES;NO;NO;NO;YES;"2P sim";-;"https://www.youtube.com/watch?v=HpnRDkTjDUY";-;0;NO;NO;NO;YES;English;"50 to 60 (Not Good Enough)";"1991";"Normal, VS Mode";YES;
