name;description;year;manufacturer;is_parent;romof;is_clone;cloneof;sasampleof;is_runnable;is_device;is_bios;biosof;is_mechanical;is_arcade;use_chds;savestate;source_file;first_emulator;first_emulator_date;last_emulator;last_emulator_date;players;buttons;coins;sound_channels;screens;display_type;display_rotate;screen_orientation;display_width;display_height;display_refresh;input_controls;monitor_type;chips_cpu;chips_cpu_details;chips_audio;chips_audio_details;driver_status;driver_emulation;driver_color;driver_sound;driver_graphic;driver_cocktail;driver_protection;dump_status;device_types;category;genre;serie;language;colors;has_device_refs;has_roms;has_disks;has_dip_switches;has_bios_sets;has_configs;has_ports;has_devices;has_slots;has_adjusters;has_soft_lists;has_ram_opts;has_cheats;nplayers;url_playonline;url_shortplays;url_shortplay_ms;game_rate;mature;on_top_score;on_bacheca_record;on_arcaworld;ranking;bestgame;alltime;cabinets;
astinvad;Astro Invader;1980;Leijac Corporation (Stern Electronics license);NO;kamikaze;YES;kamikaze;invaders;YES;NO;NO;-;NO;YES;NO;YES;astinvad.cpp;Mame 0.31;25/04/98;Mame 0.194;31/01/18;0;1;1;1;1;RASTER;270;VERTICAL;256;224;60.000000;joystick (2-way);CRT 15kHz;Z80;maincpu Z80 @2 MHz;Speaker,Samples;mono Speaker, samples Samples;IMPERFECT;GOOD;GOOD;IMPERFECT;GOOD;UNKNOWN;GOOD;GOOD;-;Shooter / Gallery;Shooter;-;English;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;2P alt;-;-;-;0;NO;NO;NO;NO;English;-;-;Cocktail, Upright;NO
bldwolf;Bloody Wolf (US);1988;Data East USA;NO;battlera;YES;battlera;-;YES;NO;NO;-;NO;YES;NO;YES;battlera.cpp;Mame 0.37b2 (0.38);06/05/00;Mame 0.194;31/01/18;0;3;3;1;1;RASTER;0;HORIZONTAL;1088;242;59.826098;joystick (8-way);CRT 15kHz;HuC6280;maincpu HuC6280 @7.159066 MHz, audiocpu HuC6280 @7.159066 MHz;Speaker,YM2203 OPN,MSM5205,Hudson HuC6280;mono Speaker, ymsnd YM2203 OPN @1.5 MHz, msm MSM5205 @0.384 MHz, c6280 Hudson HuC6280 @3.579545 MHz;IMPERFECT;GOOD;GOOD;IMPERFECT;IMPERFECT;UNKNOWN;GOOD;GOOD;-;Shooter / Walking;Shooter;-;English;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;2P sim;-;-;-;0;NO;NO;NO;NO;English;-;-;English;NO
dassault;Desert Assault (US);1991;Data East Corporation;NO;thndzone;YES;thndzone;-;YES;NO;NO;-;NO;YES;NO;YES;dassault.cpp;Mame 0.61;04/07/02;Mame 0.194;31/01/18;0;2;4;2;1;RASTER;0;HORIZONTAL;320;240;57.799650;joystick (8-way);CRT 15kHz;M68000,HuC6280;maincpu M68000 @14 MHz, sub M68000 @14 MHz, audiocpu HuC6280 @4.275 MHz;Speaker,YM2203 OPN,Yamaha YM2151 OPM,OKI MSM6295 ADPCM;lspeaker Speaker, rspeaker Speaker, ym1 YM2203 OPN @4.275 MHz, ym2 Yamaha YM2151 OPM @3.58 MHz, oki1 OKI MSM6295 ADPCM @1.6875 MHz, oki2 OKI MSM6295 ADPCM @2.1375 MHz;IMPERFECT;GOOD;GOOD;GOOD;IMPERFECT;UNKNOWN;GOOD;NODUMP;-;Shooter / Walking;Shooter;-;English;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;2P sim;-;-;-;0;NO;NO;NO;NO;English;-;-;English;NO
eswatbl;E-Swat - Cyber Police (bootleg, set 1);1989;bootleg;NO;eswat;YES;eswat;-;YES;NO;NO;-;NO;YES;NO;NO;system16.cpp;Mame 0.34b4;04/10/98;Mame 0.194;31/01/18;0;3;2;2;1;RASTER;0;HORIZONTAL;320;224;60.000000;joystick (8-way);CRT 15kHz;M68000,Z80;maincpu M68000 @10 MHz, soundcpu Z80 @4 MHz;Speaker,Yamaha YM2151 OPM,NEC uPD7759;lspeaker Speaker, rspeaker Speaker, ymsnd Yamaha YM2151 OPM @4 MHz, 7759 NEC uPD7759 @0.64 MHz;PRELIMINARY;PRELIMINARY;GOOD;IMPERFECT;IMPERFECT;UNKNOWN;GOOD;GOOD;-;Platform / Shooter Scrolling;Platform;E-Swat Cyber Police;English;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;2P sim;-;-;-;0;NO;NO;NO;NO;English;-;-;English;NO
fastfred;Fast Freddie;1982;Kaneko (Atari license);NO;flyboy;YES;flyboy;-;YES;NO;NO;-;NO;YES;NO;YES;fastfred.cpp;Mame 0.31;25/04/98;Mame 0.194;31/01/18;0;1;3;1;1;RASTER;90;VERTICAL;256;224;60.000000;joystick (8-way);CRT 15kHz;Z80;maincpu Z80 @3.108 MHz, audiocpu Z80 @1.554 MHz;Speaker,AY-3-8910A PSG;mono Speaker, ay8910.1 AY-3-8910A PSG @1.554 MHz, ay8910.2 AY-3-8910A PSG @1.554 MHz;GOOD;GOOD;GOOD;GOOD;GOOD;UNKNOWN;GOOD;GOOD;-;Sports / Hang Gliding;Sports;-;English;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;2P alt;-;-;-;0;NO;NO;NO;NO;English;-;-;Cocktail, Upright;NO
fpointbl;Flash Point (World, bootleg);1989;bootleg (Datsu);NO;fpoint;YES;fpoint;-;YES;NO;NO;-;NO;YES;NO;NO;segas16b.cpp;Mame 0.34b4;04/10/98;Mame 0.194;31/01/18;0;3;2;1;1;RASTER;0;HORIZONTAL;320;224;60.054389;joystick (8-way);CRT 15kHz;M68000,Z80;maincpu M68000 @10 MHz, soundcpu Z80 @5 MHz;Speaker,Yamaha YM2151 OPM,NEC uPD7759;mono Speaker, ym2151 Yamaha YM2151 OPM @4 MHz, upd NEC uPD7759 @0.64 MHz;GOOD;GOOD;GOOD;GOOD;GOOD;UNKNOWN;GOOD;GOOD;-;Puzzle / Drop;Puzzle;-;English;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;2P sim;-;-;-;0;NO;NO;NO;NO;English;-;-;English;NO
invaddlx;Space Invaders Deluxe;1980;Taito (Midway license);NO;invadpt2;YES;invadpt2;invaders;YES;NO;NO;-;NO;YES;NO;YES;8080bw.cpp;Mame 0.37b3 (0.39);27/05/00;Mame 0.194;31/01/18;0;1;1;1;1;RASTER;270;VERTICAL;260;224;59.541985;joystick (2-way);CRT 15kHz;8080;maincpu 8080 @1.9968 MHz;Speaker,TI SN76477 CSG,Discrete Sound;mono Speaker, snsnd TI SN76477 CSG, discrete Discrete Sound;GOOD;GOOD;GOOD;GOOD;GOOD;UNKNOWN;GOOD;GOOD;-;Shooter / Gallery;Shooter;Space Invaders;English;Black & White;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;2P alt;-;-;-;0;NO;NO;NO;NO;Black & White;-;1980;1980;NO
maketrax;Make Trax (US set 1);1981;Alpha Denshi Co. / Kural (Williams license);NO;crush;YES;crush;-;YES;NO;NO;-;NO;YES;NO;YES;pacman.cpp;Mame 0.30;08/01/98;Mame 0.194;31/01/18;0;0;2;1;1;RASTER;270;VERTICAL;288;224;60.606061;joystick (4-way);CRT 15kHz;Z80;maincpu Z80 @3.72 MHz;Speaker,Namco;mono Speaker, namco Namco @0.96 MHz;GOOD;GOOD;GOOD;GOOD;GOOD;UNKNOWN;GOOD;GOOD;-;Maze / Paint;Maze;-;English;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;2P alt;-;-;-;0;NO;NO;NO;NO;English;-;-;Cocktail, Upright;NO
motorace;MotoRace USA;1983;Irem (Williams license);NO;travrusa;YES;travrusa;-;YES;NO;NO;-;NO;YES;NO;YES;travrusa.cpp;Mame 0.33b4;31/05/98;Mame 0.194;31/01/18;0;2;3;1;1;RASTER;270;VERTICAL;240;256;56.750000;joystick (2-way);CRT 15kHz;Z80,M6803;maincpu Z80 @4 MHz, irem_audio:iremsound M6803 @3.579545 MHz;Speaker,AY-3-8910A PSG,MSM5205,Discrete Sound;irem_audio:mono Speaker, irem_audio:ay_45m AY-3-8910A PSG @0.894886 MHz, irem_audio:ay_45l AY-3-8910A PSG @0.894886 MHz, irem_audio:msm1 MSM5205 @0.384 MHz, irem_audio:filtermix Discrete Sound;GOOD;GOOD;GOOD;GOOD;GOOD;UNKNOWN;GOOD;GOOD;-;Driving / Race Bike;Driving;-;English;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;2P alt;https://archive.org/details/arcade_motorace;-;-;0;NO;NO;NO;NO;English;-;-;Cocktail, Upright;NO
mshu;Marvel Super Heroes (USA 951024);1995;Capcom;NO;msh;YES;msh;-;YES;NO;NO;-;NO;YES;NO;YES;cps2.cpp;Mame 0.75;12/10/03;Mame 0.194;31/01/18;0;6;2;2;1;RASTER;0;HORIZONTAL;384;224;59.637405;joystick (8-way);CRT 15kHz;M68000,Z80,DSP16;maincpu M68000 @16 MHz, audiocpu Z80 @8 MHz, qsound:qsound DSP16 @4 MHz;Speaker,Q-Sound;lspeaker Speaker, rspeaker Speaker, qsound Q-Sound @4 MHz;GOOD;GOOD;GOOD;GOOD;GOOD;UNKNOWN;GOOD;GOOD;-;Fighter / Versus;Fighter;-;English;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;2P sim;-;-;-;0;NO;NO;NO;NO;English;-;-;English;NO
