name;description;year;manufacturer;is_parent;romof;is_clone;cloneof;sasampleof;is_runnable;is_device;is_bios;biosof;is_mechanical;is_arcade;use_chds;savestate;source_file;first_emulator;first_emulator_date;last_emulator;last_emulator_date;players;buttons;coins;sound_channels;screens;display_type;display_rotate;screen_orientation;display_width;display_height;display_refresh;input_controls;monitor_type;chips_cpu;chips_cpu_details;chips_audio;chips_audio_details;driver_status;driver_emulation;driver_color;driver_sound;driver_graphic;driver_cocktail;driver_protection;dump_status;device_types;category;genre;serie;language;colors;has_device_refs;has_roms;has_disks;has_dip_switches;has_bios_sets;has_configs;has_ports;has_devices;has_slots;has_adjusters;has_soft_lists;has_ram_opts;has_cheats;nplayers;url_playonline;url_shortplays;url_shortplay_ms;game_rate;mature;on_top_score;on_bacheca_record;on_arcaworld;ranking;bestgame;alltime;cabinets;
280zzzap;280-ZZZAP;1976;Dave Nutting Associates / Midway;YES;-;NO;-;-;YES;NO;NO;-;NO;YES;NO;YES;mw8080bw.cpp;Mame 0.33b3;17/05/98;Mame 0.194;31/01/18;0;1;1;0;1;RASTER;0;HORIZONTAL;260;224;59.541985;paddle,pedal;CRT 15kHz;8080;maincpu 8080 @1.9968 MHz;-;-;PRELIMINARY;GOOD;GOOD;PRELIMINARY;GOOD;UNKNOWN;GOOD;GOOD;-;Driving / 1st Person;Driving;-;English;Black & White;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;1P;-;https://www.youtube.com/watch?v=55mo2R6NRZM;-;0;NO;NO;NO;NO;Black & White;30 to 40 (Amendable);-;30 to 40 (Amendable);NO
aafbb;All American Football (rev B);1989;Leland Corporation;NO;aafb;YES;aafb;-;YES;NO;NO;-;NO;YES;NO;NO;leland.cpp;Mame 0.37b3 (0.39);27/05/00;Mame 0.194;31/01/18;0;1;2;2;1;RASTER;270;VERTICAL;320;240;60.000000;joystick (8-way),joystick (analog);CRT 15kHz;Z80,I80186;master Z80 @6 MHz, slave Z80 @6 MHz, audiocpu I80186 @16 MHz;Speaker,AY-3-8910A PSG,8-Bit Binary Weighted DAC,AD7524,AD7533;speaker Speaker, ay8910 AY-3-8910A PSG @1.666666 MHz, dac0 8-Bit Binary Weighted DAC, dac1 8-Bit Binary Weighted DAC, custom:speaker Speaker, custom:dac1 AD7524, custom:dac2 AD7524, custom:dac3 AD7524, custom:dac4 AD7524, custom:dac5 AD7524, custom:dac6 AD7524, custom:dac9 AD7533, custom:dac1vol 8-Bit Binary Weighted DAC, custom:dac2vol 8-Bit Binary Weighted DAC, custom:dac3vol 8-Bit Binary Weighted DAC, custom:dac4vol 8-Bit Binary Weighted DAC, custom:dac5vol 8-Bit Binary Weighted DAC, custom:dac6vol 8-Bit Binary Weighted DAC;PRELIMINARY;PRELIMINARY;GOOD;GOOD;GOOD;UNKNOWN;GOOD;BADDUMP;-;Sports / Football;Sports;Quarterback;English;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;4P sim;https://archive.org/details/arcade_aafbb;-;-;0;NO;NO;NO;NO;English;-;-;English;NO
ace;Ace;1976;Allied Leisure;YES;-;NO;-;-;YES;NO;NO;-;NO;YES;NO;YES;ace.cpp;Mame 0.62;12/11/02;Mame 0.194;31/01/18;0;1;1;0;1;RASTER;0;HORIZONTAL;224;240;60.000000;joystick (2-way);CRT 15kHz;8080;maincpu 8080 @2 MHz;-;-;PRELIMINARY;GOOD;GOOD;PRELIMINARY;GOOD;UNKNOWN;GOOD;GOOD;-;Shooter / Field;Shooter;-;English;Monochromatic;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;2P sim;-;https://www.youtube.com/watch?v=sA0RpOJNBpw;-;0;NO;NO;NO;NO;Monochromatic;10 to 20 (Horrible);-;10 to 20 (Horrible);NO
ainferno;Air Inferno (US);1990;Taito America Corporation;YES;-;NO;-;-;YES;NO;NO;-;NO;YES;NO;NO;taitoair.cpp;Mame 0.74u2;06/10/03;Mame 0.194;31/01/18;0;6;2;1;1;RASTER;0;HORIZONTAL;512;400;54.112554;only_buttons,joystick (analog);CRT 31kHz;M68000,Z80,TMS32025;maincpu M68000 @12 MHz, audiocpu Z80 @4 MHz, dsp TMS32025 @36 MHz;Speaker,YM2610 OPNB;mono Speaker, ymsnd YM2610 OPNB @8 MHz;PRELIMINARY;PRELIMINARY;GOOD;GOOD;GOOD;UNKNOWN;GOOD;GOOD;-;Shooter / Flying 1st Person;Shooter;-;English;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;1P;-;-;-;0;NO;NO;NO;NO;English;-;-;English;NO
airco22b;Air Combat 22 (Rev. ACS1 Ver.B, Japan);1995;Namco;YES;-;NO;-;-;YES;NO;NO;-;NO;YES;NO;NO;namcos22.cpp;Mame 0.74u2;06/10/03;Mame 0.194;31/01/18;0;2;1;3;1;RASTER;0;HORIZONTAL;640;480;60.000000;joystick (analog);CRT 31kHz;M68EC020,TMS32025,M37710S4;maincpu M68EC020 @24.576 MHz, master TMS32025 @49.152 MHz, slave TMS32025 @49.152 MHz, mcu M37710S4 @16.384 MHz;Speaker,Namco C352;lspeaker Speaker, rspeaker Speaker, c352 Namco C352 @24.576 MHz, bodysonic Speaker;PRELIMINARY;PRELIMINARY;GOOD;GOOD;IMPERFECT;UNKNOWN;GOOD;GOOD;-;Shooter / Flying (chase view);Shooter;Air Combat;Japanese;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;1P;-;https://www.youtube.com/watch?v=OqBCW6scSWg;-;0;NO;NO;NO;NO;Japanese;-;1995;1995;NO
aircombj;Air Combat (Japan);1992;Namco;NO;aircomb;YES;aircomb;-;YES;NO;NO;-;NO;YES;NO;NO;namcos21.cpp;Mame 0.74u2;06/10/03;Mame 0.194;31/01/18;0;6;2;2;1;RASTER;0;HORIZONTAL;496;480;60.606061;joystick (analog);CRT 31kHz;M68000,MC6809E,HD63705,TMS32025;maincpu M68000 @12.288 MHz, slave M68000 @12.288 MHz, audiocpu MC6809E @3.72 MHz, mcu HD63705 @2.48 MHz, dspmaster TMS32025 @24 MHz, dspslave TMS32025 @96 MHz;Speaker,Namco C140,Yamaha YM2151 OPM;lspeaker Speaker, rspeaker Speaker, c140 Namco C140 @0.2139 MHz, ymsnd Yamaha YM2151 OPM @3.57958 MHz;PRELIMINARY;PRELIMINARY;GOOD;GOOD;IMPERFECT;UNKNOWN;GOOD;GOOD;-;Shooter / Flying (chase view);Shooter;Air Combat;Japanese;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;1P;-;-;-;0;NO;NO;NO;NO;Japanese;-;-;Japanese;NO
aircombu;Air Combat (US);1992;Namco;NO;aircombj;YES;aircombj;-;YES;NO;NO;-;NO;YES;NO;NO;namcos21.c;Mame 0.74u2;06/10/03;Mame 0.137;11/03/10;0;6;3;2;1;RASTER;0;HORIZONTAL;496;480;60.000000;joystick (analog);CRT 31kHz;68000,68000,M6809,HD63705,TMS32025,TMS32025;maincpu 68000 @12.288 MHz, slave 68000 @12.288 MHz, audiocpu M6809 @3.72 MHz, mcu HD63705 @2.48 MHz, dspmaster TMS32025 @24 MHz, dspslave TMS32025 @96 MHz;C140,YM2151;c140 C140 @0.2139 MHz, ymsnd YM2151 @3.57958 MHz;PRELIMINARY;PRELIMINARY;GOOD;GOOD;IMPERFECT;UNKNOWN;UNKNOWN;GOOD;-;Shooter / Flying 1st Person;Shooter;-;Shooter;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;-;-;-;-;0;NO;NO;NO;NO;Shooter;-;-;Shooter;NO
airraid;Air Raid (Single PCB);1987;Seibu Kaihatsu;YES;cshooter;NO;cshooter;-;YES;NO;NO;-;NO;YES;NO;NO;airraid.cpp;Mame 0.74u2;06/10/03;Mame 0.194;31/01/18;0;2;2;1;1;RASTER;270;VERTICAL;256;224;60.000000;joystick (8-way);CRT 15kHz;Z80;maincpu Z80 @6 MHz, audiocpu Z80 @3.579545 MHz;Speaker,Yamaha YM2151 OPM;mono Speaker, ymsnd Yamaha YM2151 OPM @3.579545 MHz;PRELIMINARY;PRELIMINARY;GOOD;GOOD;IMPERFECT;UNKNOWN;GOOD;NODUMP;-;Shooter / Flying Vertical;Shooter;-;English;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;???;-;-;-;0;NO;NO;NO;NO;English;-;-;English;NO
alibaba;Ali Baba and 40 Thieves;1982;Sega;YES;-;NO;-;-;YES;NO;NO;-;NO;YES;NO;YES;pacman.cpp;Mame 0.35b12;01/05/99;Mame 0.194;31/01/18;0;1;2;1;1;RASTER;90;VERTICAL;288;224;60.606061;joystick (4-way);CRT 15kHz;Z80;maincpu Z80 @3.72 MHz;Speaker,Namco;mono Speaker, namco Namco @0.96 MHz;PRELIMINARY;GOOD;GOOD;GOOD;GOOD;UNKNOWN;IMPERFECT;GOOD;-;Maze / Collect;Maze;-;English;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;2P alt;https://archive.org/details/arcade_alibaba;https://www.youtube.com/watch?v=X2ImQdpTuqE;-;0;NO;NO;NO;NO;English;30 to 40 (Amendable);-;Cocktail, Upright;NO
alphaho;Alpha Fighter / Head On;19??;Data East Corporation;YES;-;NO;-;invinco;YES;NO;NO;-;NO;YES;NO;YES;vicdual.cpp;Mame 0.62;12/11/02;Mame 0.194;31/01/18;0;2;1;1;1;RASTER;270;VERTICAL;256;224;60.000000;joystick (4-way);CRT 15kHz;Z80;maincpu Z80 @1.93356 MHz;-;-;PRELIMINARY;GOOD;PRELIMINARY;PRELIMINARY;GOOD;UNKNOWN;GOOD;NODUMP;-;MultiGame / Compilation;MultiGame;-;English;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;2P alt;-;https://www.youtube.com/watch?v=CiAik-2-CQE;-;0;NO;NO;NO;NO;English;30 to 40 (Amendable);-;30 to 40 (Amendable);NO
