name;description;year;manufacturer;is_parent;romof;is_clone;cloneof;sasampleof;is_runnable;is_device;is_bios;biosof;is_mechanical;is_arcade;use_chds;savestate;source_file;first_emulator;first_emulator_date;last_emulator;last_emulator_date;players;buttons;coins;sound_channels;screens;display_type;display_rotate;screen_orientation;display_width;display_height;display_refresh;input_controls;monitor_type;chips_cpu;chips_cpu_details;chips_audio;chips_audio_details;driver_status;driver_emulation;driver_color;driver_sound;driver_graphic;driver_cocktail;driver_protection;dump_status;device_types;category;genre;serie;language;colors;has_device_refs;has_roms;has_disks;has_dip_switches;has_bios_sets;has_configs;has_ports;has_devices;has_slots;has_adjusters;has_soft_lists;has_ram_opts;has_cheats;nplayers;url_playonline;url_shortplays;url_shortplay_ms;game_rate;mature;on_top_score;on_bacheca_record;on_arcaworld;lang2;ranking;bestgame;alltime;cabinets;
bmiidx6;beatmania IIDX 6th style (GCB4U JAB);2001;Konami;YES;gq863;NO;-;-;YES;NO;NO;gq863;NO;YES;YES;NO;twinkle.cpp;Mame 0.131u3;2009-05-28;Mame 0.195;2018-02-28;0;9;1;2;1;RASTER;0;HORIZONTAL;640;480;60.000000;joystick (analog),trackball;CRT 31kHz;CXD8530CQ,M68000;maincpu CXD8530CQ @67.7376 MHz, audiocpu M68000 @16 MHz;CD/DA,Speaker,PlayStation SPU,Ricoh RF5C400;scsi:1:cdrom:cdda CD/DA, speakerleft Speaker, speakerright Speaker, spu PlayStation SPU @33.8688 MHz, rfsnd Ricoh RF5C400 @16.9344 MHz;IMPERFECT;GOOD;GOOD;IMPERFECT;IMPERFECT;UNKNOWN;GOOD;BADDUMP;cdrom,harddisk;Rhythm / Dance;Rhythm;beatmania;English;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;2P sim;-;-;-;0;NO;NO;NO;NO;English;60 to 70 (Passable);-;60 to 70 (Passable);NO;
bmiidx7;beatmania IIDX 7th style (GCB44 JAA);2002;Konami;YES;gq863;NO;-;-;YES;NO;NO;gq863;NO;YES;YES;NO;twinkle.cpp;Mame 0.131u3;2009-05-28;Mame 0.195;2018-02-28;0;9;1;2;1;RASTER;0;HORIZONTAL;640;480;60.000000;joystick (analog),trackball;CRT 31kHz;CXD8530CQ,M68000;maincpu CXD8530CQ @67.7376 MHz, audiocpu M68000 @16 MHz;CD/DA,Speaker,PlayStation SPU,Ricoh RF5C400;scsi:1:cdrom:cdda CD/DA, speakerleft Speaker, speakerright Speaker, spu PlayStation SPU @33.8688 MHz, rfsnd Ricoh RF5C400 @16.9344 MHz;IMPERFECT;GOOD;GOOD;IMPERFECT;IMPERFECT;UNKNOWN;GOOD;BADDUMP;cdrom,harddisk;Rhythm / Dance;Rhythm;beatmania;English;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;2P sim;-;-;-;0;NO;NO;NO;NO;English;60 to 70 (Passable);-;60 to 70 (Passable);NO;
bmiidx8;beatmania IIDX 8th style (GCC44 JAA);2002;Konami;YES;gq863;NO;-;-;YES;NO;NO;gq863;NO;YES;YES;NO;twinkle.cpp;Mame 0.131u3;2009-05-28;Mame 0.195;2018-02-28;0;9;1;2;1;RASTER;0;HORIZONTAL;640;480;60.000000;joystick (analog),trackball;CRT 31kHz;CXD8530CQ,M68000;maincpu CXD8530CQ @67.7376 MHz, audiocpu M68000 @16 MHz;CD/DA,Speaker,PlayStation SPU,Ricoh RF5C400;scsi:1:cdrom:cdda CD/DA, speakerleft Speaker, speakerright Speaker, spu PlayStation SPU @33.8688 MHz, rfsnd Ricoh RF5C400 @16.9344 MHz;IMPERFECT;GOOD;GOOD;IMPERFECT;IMPERFECT;UNKNOWN;GOOD;BADDUMP;cdrom,harddisk;Rhythm / Dance;Rhythm;beatmania;English;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;2P sim;-;-;-;0;NO;NO;NO;NO;English;60 to 70 (Passable);-;60 to 70 (Passable);NO;
bmiidxc2;beatmania IIDX Substream with DDR 2nd Club Version 2 (984 A01 BM);1999;Konami;YES;gq863;NO;-;-;YES;NO;NO;gq863;NO;YES;YES;NO;twinkle.cpp;Mame 0.131u3;2009-05-28;Mame 0.195;2018-02-28;0;9;1;2;1;RASTER;0;HORIZONTAL;640;480;60.000000;joystick (analog),trackball;CRT 31kHz;CXD8530CQ,M68000;maincpu CXD8530CQ @67.7376 MHz, audiocpu M68000 @16 MHz;CD/DA,Speaker,PlayStation SPU,Ricoh RF5C400;scsi:1:cdrom:cdda CD/DA, speakerleft Speaker, speakerright Speaker, spu PlayStation SPU @33.8688 MHz, rfsnd Ricoh RF5C400 @16.9344 MHz;IMPERFECT;GOOD;GOOD;IMPERFECT;IMPERFECT;UNKNOWN;GOOD;NODUMP;cdrom,harddisk;Rhythm / Dance;Rhythm;beatmania;English;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;2P sim;-;-;-;0;NO;NO;NO;NO;English;60 to 70 (Passable);-;60 to 70 (Passable);NO;
cndypuzl;Candy Puzzle (v1.0);1995;CD Express;YES;cubo;NO;-;-;YES;NO;NO;cubo;NO;YES;YES;NO;cubo.cpp;Mame 0.112u2;2007-02-18;Mame 0.195;2018-02-28;0;1;1;2;1;RASTER;0;HORIZONTAL;724;567;49.890391;joystick (8-way),lightgun;CRT 31kHz;M68EC020,MOS 8520 CIA;maincpu M68EC020 @14.18758 MHz, cia_0 MOS 8520 CIA @0.709379 MHz, cia_1 MOS 8520 CIA @0.709379 MHz;Speaker,8364 Paula,CD/DA;lspeaker Speaker, rspeaker Speaker, amiga 8364 Paula @3.546895 MHz, cdda CD/DA;IMPERFECT;GOOD;GOOD;IMPERFECT;IMPERFECT;UNKNOWN;GOOD;BADDUMP;cdrom;Puzzle / Toss;Puzzle;-;English;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;2P sim;-;https://www.youtube.com/watch?v=yLEX-oBiw8Q;-;0;NO;NO;NO;NO;English;60 to 70 (Passable);-;60 to 70 (Passable);NO;
cbombers;Chase Bombers (World);1994;Taito Corporation Japan;YES;-;NO;-;-;YES;NO;NO;-;NO;YES;NO;NO;undrfire.cpp;Mame 0.124u1;2008-04-03;Mame 0.195;2018-02-28;0;5;2;2;1;RASTER;0;HORIZONTAL;320;232;60.000000;joystick (analog);CRT 15kHz;M68EC020,M68000,ES5510;maincpu M68EC020 @20 MHz, sub M68000 @16 MHz, taito_en:audiocpu M68000 @15.23805 MHz, taito_en:esp ES5510 @10 MHz;Ensoniq 5505/5506 to 5510 interface,Speaker,Ensoniq ES5505;taito_en:pump Ensoniq 5505/5506 to 5510 interface @0.29761 MHz, taito_en:lspeaker Speaker, taito_en:rspeaker Speaker, taito_en:ensoniq Ensoniq ES5505 @15.23805 MHz;IMPERFECT;GOOD;GOOD;GOOD;IMPERFECT;UNKNOWN;GOOD;GOOD;-;Driving / Race (chase view);Driving;-;English;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;1P;-;https://www.youtube.com/watch?v=dxl3jmWraKM;-;0;NO;NO;NO;NO;English;60 to 70 (Passable);-;60 to 70 (Passable);NO;
cclownz;Crazzy Clownz (Version 1.0);1999;LAI Games;YES;-;NO;-;-;YES;NO;NO;-;NO;YES;NO;NO;lethalj.cpp;Mame 0.122u6;2008-01-17;Mame 0.195;2018-02-28;0;0;1;1;1;RASTER;0;HORIZONTAL;512;236;61.232460;paddle;CRT 15kHz;TMS34010;maincpu TMS34010 @40 MHz;Speaker,OKI MSM6295 ADPCM;mono Speaker, oki1 OKI MSM6295 ADPCM @2 MHz, oki2 OKI MSM6295 ADPCM @2 MHz, oki3 OKI MSM6295 ADPCM @2 MHz;GOOD;GOOD;GOOD;GOOD;GOOD;UNKNOWN;GOOD;GOOD;-;Ball & Paddle / Jump and Touch;Ball & Paddle;-;English;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;1P;-;https://www.youtube.com/watch?v=_ABhf_zPN2o;-;0;NO;NO;NO;NO;English;60 to 70 (Passable);-;60 to 70 (Passable);NO;
cybertnk;Cyber Tank (v1.4);1988;Coreland;YES;-;NO;-;-;YES;NO;NO;-;NO;YES;NO;NO;cybertnk.cpp;Mame 0.96u3;2005-05-24;Mame 0.195;2018-02-28;0;2;2;2;2;RASTER;0;HORIZONTAL;256;224;60.000000;paddle,pedal,joystick (analog);CRT 15kHz;M68000,Z80;maincpu M68000 @10 MHz, slave M68000 @10 MHz, audiocpu Z80 @3.579545 MHz;Speaker,Y8950 MSX-Audio;lspeaker Speaker, rspeaker Speaker, ym1 Y8950 MSX-Audio @3.579545 MHz, ym2 Y8950 MSX-Audio @3.579545 MHz;IMPERFECT;GOOD;GOOD;GOOD;IMPERFECT;UNKNOWN;GOOD;GOOD;-;Shooter / 3rd Person;Shooter;-;English;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;2P sim;-;https://www.youtube.com/watch?v=T2qRoAig4WQ;https://www.youtube.com/watch?v=23m53YwgUZs;0;NO;NO;NO;NO;English;60 to 70 (Passable);1988;1988;NO;
dsftkd;Dancing Stage featuring TRUE KiSS DESTiNATiON (G*884 VER. JAA);1999;Konami;YES;sys573;NO;-;-;YES;NO;NO;sys573;NO;YES;YES;NO;ksys573.cpp;Mame 0.112u3;2007-02-25;Mame 0.195;2018-02-28;0;6;2;2;1;RASTER;0;HORIZONTAL;640;480;60.000000;joystick (16-way);CRT 31kHz;CXD8530CQ;maincpu CXD8530CQ @67.7376 MHz;CD/DA,Speaker,PlayStation SPU;ata:0:cr589:cdda CD/DA, lspeaker Speaker, rspeaker Speaker, spu PlayStation SPU @33.8688 MHz;IMPERFECT;GOOD;GOOD;IMPERFECT;IMPERFECT;UNKNOWN;GOOD;NODUMP;cdrom;Rhythm / Dance;Rhythm;Dancing Stage;English;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;2P sim;-;https://www.youtube.com/watch?v=svrpSOSSlVM;-;0;NO;NO;NO;NO;English;60 to 70 (Passable);-;60 to 70 (Passable);NO;
denjinmk;Denjin Makai;1993;Winkysoft (Banpresto license);YES;-;NO;-;-;YES;NO;NO;-;NO;YES;NO;NO;legionna.cpp;Mame 0.79;2004-01-28;Mame 0.195;2018-02-28;0;3;2;1;1;RASTER;0;HORIZONTAL;320;256;61.000000;joystick (8-way);CRT 15kHz;M68000,Z80;maincpu M68000 @10 MHz, audiocpu Z80 @3.579545 MHz;Speaker,Yamaha YM2151 OPM,OKI MSM6295 ADPCM;mono Speaker, ymsnd Yamaha YM2151 OPM @3.579545 MHz, oki OKI MSM6295 ADPCM @1.32 MHz;GOOD;GOOD;GOOD;GOOD;GOOD;UNKNOWN;GOOD;GOOD;-;Fighter / 2.5D;Fighter;Denjin Makai;English;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;2P sim;-;https://www.youtube.com/watch?v=O5oy3lnjI40;-;0;NO;NO;NO;YES;English;60 to 70 (Passable);-;60 to 70 (Passable);NO;
