name;description;year;manufacturer;is_parent;romof;is_clone;cloneof;sasampleof;is_runnable;is_device;is_bios;biosof;is_mechanical;is_arcade;use_chds;savestate;source_file;first_emulator;first_emulator_date;last_emulator;last_emulator_date;players;buttons;coins;sound_channels;screens;display_type;display_rotate;screen_orientation;display_width;display_height;display_refresh;input_controls;monitor_type;chips_cpu;chips_cpu_details;chips_audio;chips_audio_details;driver_status;driver_emulation;driver_color;driver_sound;driver_graphic;driver_cocktail;driver_protection;dump_status;device_types;category;genre;serie;language;colors;has_device_refs;has_roms;has_disks;has_dip_switches;has_bios_sets;has_configs;has_ports;has_devices;has_slots;has_adjusters;has_soft_lists;has_ram_opts;has_cheats;nplayers;url_playonline;url_shortplays;url_shortplay_ms;game_rate;mature;on_top_score;on_bacheca_record;on_arcaworld;lang2;ranking;bestgame;alltime;cabinets
99lstwark;'99: The Last War (Kyugo);1985;Crux / Kyugo;NO;repulse;YES;repulse;-;YES;NO;NO;-;NO;YES;NO;YES;kyugo.cpp;Mame 0.133u1;02/08/2009;Mame 0.195;28/02/2018;0;2;2;1;1;RASTER;90;VERTICAL;288;224;60.000000;joystick (8-way);CRT 15kHz;Z80;maincpu Z80 @3.72 MHz, sub Z80 @3.72 MHz;Speaker,AY-3-8910A PSG;mono Speaker, ay1 AY-3-8910A PSG @1.536 MHz, ay2 AY-3-8910A PSG @1.536 MHz;GOOD;GOOD;GOOD;GOOD;GOOD;UNKNOWN;GOOD;GOOD;-;Shooter / Gallery;Shooter;-;English;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;2P alt;-;https://www.youtube.com/watch?v=wlM1Hw3slsY;-;0;NO;NO;NO;NO;English;-;-;Cocktail, Upright;NO
99lstwara;'99: The Last War (set 2);1985;Crux / Proma;NO;repulse;YES;repulse;-;YES;NO;NO;-;NO;YES;NO;YES;kyugo.cpp;Mame 0.133u1;02/08/2009;Mame 0.195;28/02/2018;0;2;2;1;1;RASTER;90;VERTICAL;288;224;60.000000;joystick (8-way);CRT 15kHz;Z80;maincpu Z80 @3.72 MHz, sub Z80 @3.72 MHz;Speaker,AY-3-8910A PSG;mono Speaker, ay1 AY-3-8910A PSG @1.536 MHz, ay2 AY-3-8910A PSG @1.536 MHz;GOOD;GOOD;GOOD;GOOD;GOOD;UNKNOWN;GOOD;GOOD;-;Shooter / Gallery;Shooter;-;English;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;2P alt;-;https://www.youtube.com/watch?v=UQcpQDLs7zQ;-;0;NO;NO;NO;NO;English;-;-;Cocktail, Upright;NO
1on1gov;1 on 1 Government (Japan);2000;Tecmo;YES;coh1002m;NO;-;-;YES;NO;NO;coh1002m;NO;YES;NO;NO;zn.cpp;Mame 0.121u3;06/12/2007;Mame 0.195;28/02/2018;0;3;4;2;1;RASTER;0;HORIZONTAL;640;480;60.000000;joystick (8-way);CRT 31kHz;CXD8530CQ;maincpu CXD8530CQ @67.7376 MHz;Speaker,PlayStation SPU;lspeaker Speaker, rspeaker Speaker, spu PlayStation SPU @33.8688 MHz;IMPERFECT;GOOD;GOOD;IMPERFECT;IMPERFECT;UNKNOWN;GOOD;NODUMP;-;Sports / Basketball;Sports;-;Japanese;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;4P sim;-;https://www.youtube.com/watch?v=DP_4Vee19bM;-;0;NO;NO;NO;NO;Japanese;50 to 60 (Not Good Enough);-;50 to 60 (Not Good Enough);NO
10yard85;10-Yard Fight '85 (US, Taito license);1985;Irem (Taito license);NO;10yard;YES;10yard;-;YES;NO;NO;-;NO;YES;NO;YES;m58.cpp;Mame 0.137u3;21/04/2010;Mame 0.195;28/02/2018;0;2;2;1;1;RASTER;0;HORIZONTAL;256;224;56.737589;joystick (8-way);CRT 15kHz;Z80,M6803;maincpu Z80 @3.72 MHz, irem_audio:iremsound M6803 @3.579545 MHz;Speaker,AY-3-8910A PSG,MSM5205;irem_audio:mono Speaker, irem_audio:ay_45m AY-3-8910A PSG @0.894886 MHz, irem_audio:ay_45l AY-3-8910A PSG @0.894886 MHz, irem_audio:msm1 MSM5205 @0.384 MHz, irem_audio:msm2 MSM5205 @0.384 MHz;GOOD;GOOD;GOOD;GOOD;GOOD;UNKNOWN;GOOD;GOOD;-;Sports / Football;Sports;-;English;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;2P alt;-;https://www.youtube.com/watch?v=N8bSLvKQMJI;-;0;NO;NO;NO;NO;English;-;-;Cocktail, Upright;NO
10yardj;10-Yard Fight (Japan);1983;Irem;NO;10yard;YES;10yard;-;YES;NO;NO;-;NO;YES;NO;YES;m58.cpp;Mame 0.109;26/09/2006;Mame 0.195;28/02/2018;0;2;2;1;1;RASTER;0;HORIZONTAL;256;224;56.737589;joystick (8-way);CRT 15kHz;Z80,M6803;maincpu Z80 @3.72 MHz, irem_audio:iremsound M6803 @3.579545 MHz;Speaker,AY-3-8910A PSG,MSM5205;irem_audio:mono Speaker, irem_audio:ay_45m AY-3-8910A PSG @0.894886 MHz, irem_audio:ay_45l AY-3-8910A PSG @0.894886 MHz, irem_audio:msm1 MSM5205 @0.384 MHz, irem_audio:msm2 MSM5205 @0.384 MHz;GOOD;GOOD;GOOD;GOOD;GOOD;UNKNOWN;GOOD;GOOD;-;Sports / Football;Sports;-;Japanese;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;2P alt;-;https://www.youtube.com/watch?v=EZJVgT1ahTE;-;0;NO;NO;NO;NO;Japanese;-;-;Cocktail, Upright;NO
10yard;10-Yard Fight (World, set 1);1983;Irem;YES;-;NO;-;-;YES;NO;NO;-;NO;YES;NO;YES;m58.cpp;Mame 0.109;26/09/2006;Mame 0.195;28/02/2018;0;2;2;1;1;RASTER;0;HORIZONTAL;256;224;56.737589;joystick (8-way);CRT 15kHz;Z80,M6803;maincpu Z80 @3.72 MHz, irem_audio:iremsound M6803 @3.579545 MHz;Speaker,AY-3-8910A PSG,MSM5205;irem_audio:mono Speaker, irem_audio:ay_45m AY-3-8910A PSG @0.894886 MHz, irem_audio:ay_45l AY-3-8910A PSG @0.894886 MHz, irem_audio:msm1 MSM5205 @0.384 MHz, irem_audio:msm2 MSM5205 @0.384 MHz;GOOD;GOOD;GOOD;GOOD;GOOD;UNKNOWN;GOOD;GOOD;-;Sports / Football;Sports;-;English;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;2P alt;-;https://www.youtube.com/watch?v=w1ecdCtQmT0;-;0;NO;NO;NO;NO;English;50 to 60 (Not Good Enough);-;Cocktail, Upright;NO
gtmra;1000 Miglia: Great 1000 Miles Rally (94/06/13);1994;Kaneko;NO;gtmr;YES;gtmr;-;YES;NO;NO;-;NO;YES;NO;YES;kaneko16.cpp;Mame 0.99u8;09/09/2005;Mame 0.195;28/02/2018;0;2;2;1;1;RASTER;0;HORIZONTAL;320;240;60.000000;joystick (8-way),dial,paddle;CRT 15kHz;M68000;maincpu M68000 @16 MHz;Speaker,OKI MSM6295 ADPCM;mono Speaker, oki1 OKI MSM6295 ADPCM @2 MHz, oki2 OKI MSM6295 ADPCM @2 MHz;GOOD;GOOD;GOOD;GOOD;GOOD;UNKNOWN;GOOD;GOOD;-;Driving / Race;Driving;Great 1000 Miles Rally;English;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;2P alt;-;https://www.youtube.com/watch?v=fvxdq6Ldup0;-;0;NO;NO;NO;NO;English;-;-;Cocktail, Upright;NO
progolf;18 Holes Pro Golf (set 1);1981;Data East Corporation;YES;-;NO;-;-;YES;NO;NO;-;NO;YES;NO;YES;progolf.cpp;Mame 0.107;23/07/2006;Mame 0.195;28/02/2018;0;1;2;1;1;RASTER;270;VERTICAL;256;256;57.000000;joystick (8-way);CRT 15kHz;DECO 222,M6502;maincpu DECO 222 @1.5 MHz, audiocpu M6502 @0.5 MHz;Speaker,AY-3-8910A PSG;mono Speaker, ay1 AY-3-8910A PSG @1.5 MHz, ay2 AY-3-8910A PSG @1.5 MHz;IMPERFECT;GOOD;GOOD;GOOD;IMPERFECT;PRELIMINARY;GOOD;GOOD;-;Sports / Golf;Sports;-;English;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;2P alt;-;https://www.youtube.com/watch?v=cn4Xkuv760A;-;0;NO;NO;NO;NO;English;50 to 60 (Not Good Enough);-;Cocktail, Upright;NO
progolfa;18 Holes Pro Golf (set 2);1981;Data East Corporation;NO;progolf;YES;progolf;-;YES;NO;NO;-;NO;YES;NO;YES;progolf.cpp;Mame 0.107;23/07/2006;Mame 0.195;28/02/2018;0;1;2;1;1;RASTER;270;VERTICAL;256;256;57.000000;joystick (8-way);CRT 15kHz;M6502,DECO CPU-6;audiocpu M6502 @0.5 MHz, maincpu DECO CPU-6 @1.5 MHz;Speaker,AY-3-8910A PSG;mono Speaker, ay1 AY-3-8910A PSG @1.5 MHz, ay2 AY-3-8910A PSG @1.5 MHz;PRELIMINARY;PRELIMINARY;GOOD;GOOD;IMPERFECT;PRELIMINARY;GOOD;GOOD;-;Sports / Golf;Sports;-;English;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;2P alt;-;-;-;0;NO;NO;NO;NO;English;-;-;Cocktail, Upright;NO
18wheelr;18 Wheeler (deluxe) (Rev A);2000;Sega;YES;naomi;NO;-;-;YES;NO;NO;naomi;NO;YES;NO;NO;naomi.cpp;Mame 0.134u4;24/10/2009;Mame 0.195;28/02/2018;0;5;2;2;1;RASTER;0;HORIZONTAL;640;480;61.702586;paddle,pedal;CRT 31kHz;SH-4 (little),ARM7 (little),Z80,TMP90PH44,M68000;maincpu SH-4 (little) @200 MHz, soundcpu ARM7 (little) @2.8224 MHz, mie_maple:mie Z80 @16 MHz, 837_13551:iomcu TMP90PH44 @10 MHz, comm_board:m3commcpu M68000 @10 MHz;Speaker,AICA;lspeaker Speaker, rspeaker Speaker, aica AICA;PRELIMINARY;PRELIMINARY;GOOD;IMPERFECT;IMPERFECT;UNKNOWN;GOOD;GOOD;-;Driving / Truck Guide;Driving;18 Wheeler;Japanese;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;1P;-;-;-;0;NO;NO;NO;NO;Japanese;-;-;Japanese;NO
1942abl;1942 (Revision A, bootleg);1984;bootleg;NO;1942;YES;1942;-;YES;NO;NO;-;NO;YES;NO;YES;1942.cpp;Mame 0.134u4;24/10/2009;Mame 0.195;28/02/2018;0;2;2;1;1;RASTER;270;VERTICAL;256;224;60.000000;joystick (8-way);CRT 15kHz;Z80;maincpu Z80 @4 MHz, audiocpu Z80 @3 MHz;Speaker,AY-3-8910A PSG,Netlist Sound Device;mono Speaker, ay1 AY-3-8910A PSG @1.5 MHz, ay2 AY-3-8910A PSG @1.5 MHz, snd_nl Netlist Sound Device @0.9375 MHz;GOOD;GOOD;GOOD;GOOD;GOOD;UNKNOWN;GOOD;GOOD;-;Shooter / Flying Vertical;Shooter;194X;English;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;2P alt;-;https://www.youtube.com/watch?v=hwQI-2bK8GA;-;0;NO;NO;NO;NO;English;-;-;Cocktail, Upright;NO
1942w;1942 (Williams Electronics license);1985;Capcom (Williams Electronics license);NO;1942;YES;1942;-;YES;NO;NO;-;NO;YES;NO;YES;1942.cpp;Mame 0.124u4;24/04/2008;Mame 0.195;28/02/2018;0;2;2;1;1;RASTER;270;VERTICAL;256;224;60.000000;joystick (8-way);CRT 15kHz;Z80;maincpu Z80 @4 MHz, audiocpu Z80 @3 MHz;Speaker,AY-3-8910A PSG,Netlist Sound Device;mono Speaker, ay1 AY-3-8910A PSG @1.5 MHz, ay2 AY-3-8910A PSG @1.5 MHz, snd_nl Netlist Sound Device @0.9375 MHz;GOOD;GOOD;GOOD;GOOD;GOOD;UNKNOWN;GOOD;GOOD;-;Shooter / Flying Vertical;Shooter;194X;English;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;2P alt;-;https://www.youtube.com/watch?v=DSsHUWk_FMA;-;0;NO;NO;NO;NO;English;-;-;Cocktail, Upright;NO
1943u;1943: The Battle of Midway (US, Rev C);1987;Capcom;NO;1943;YES;1943;-;YES;NO;NO;-;NO;YES;NO;YES;1943.cpp;Mame 0.138u1;26/05/2010;Mame 0.195;28/02/2018;0;2;2;1;1;RASTER;270;VERTICAL;256;224;60.000000;joystick (8-way);CRT 15kHz;Z80;maincpu Z80 @6 MHz, audiocpu Z80 @3 MHz;Speaker,YM2203 OPN;mono Speaker, ym1 YM2203 OPN @1.5 MHz, ym2 YM2203 OPN @1.5 MHz;GOOD;GOOD;GOOD;GOOD;GOOD;UNKNOWN;GOOD;NODUMP;-;Shooter / Flying Vertical;Shooter;194X;English;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;2P sim;-;https://www.youtube.com/watch?v=M3rQF9BasPE;-;0;NO;NO;NO;NO;English;-;-;Cocktail, Upright;NO
1944d;1944: The Loop Master (USA 000620 Phoenix Edition) (bootleg);2000;bootleg;NO;1944;YES;1944;-;YES;NO;NO;-;NO;YES;NO;YES;cps2.cpp;Mame 0.128u4;23/11/2008;Mame 0.195;28/02/2018;0;2;2;2;1;RASTER;0;HORIZONTAL;384;224;59.637405;joystick (8-way);CRT 15kHz;M68000,Z80,DSP16;maincpu M68000 @16 MHz, audiocpu Z80 @8 MHz, qsound:qsound DSP16 @4 MHz;Speaker,Q-Sound;lspeaker Speaker, rspeaker Speaker, qsound Q-Sound @4 MHz;GOOD;GOOD;GOOD;GOOD;GOOD;UNKNOWN;GOOD;GOOD;-;Shooter / Flying Vertical;Shooter;194X;English;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;2P sim;-;https://www.youtube.com/watch?v=0G1s8k8aWps;-;0;NO;NO;NO;NO;English;-;-;English;NO
1945kiii;1945k III (newer, OPCX2 PCB);2000;Oriental Soft;YES;-;NO;-;-;YES;NO;NO;-;NO;YES;NO;YES;1945kiii.cpp;Mame 0.82;06/05/2004;Mame 0.195;28/02/2018;0;4;1;1;1;RASTER;270;VERTICAL;320;224;60.000000;joystick (8-way);CRT 15kHz;M68000;maincpu M68000 @16 MHz;Speaker,OKI MSM6295 ADPCM;mono Speaker, oki1 OKI MSM6295 ADPCM @1 MHz, oki2 OKI MSM6295 ADPCM @1 MHz;GOOD;GOOD;GOOD;GOOD;GOOD;UNKNOWN;GOOD;GOOD;-;Shooter / Flying Vertical;Shooter;-;English;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;2P sim;-;https://www.youtube.com/watch?v=j9L2BfBLRXo;-;100;NO;NO;NO;NO;English;70 to 80 (Good);-;70 to 80 (Good);NO
spikes91;1991 Spikes (Italian bootleg, set 1);1991;bootleg;NO;pspikes;YES;pspikes;-;YES;NO;NO;-;NO;YES;NO;YES;aerofgt.cpp;Mame 0.124u2;11/04/2008;Mame 0.195;28/02/2018;0;3;2;0;1;RASTER;0;HORIZONTAL;320;224;60.000000;joystick (8-way);CRT 15kHz;M68000;maincpu M68000 @10 MHz;-;-;PRELIMINARY;GOOD;GOOD;PRELIMINARY;GOOD;PRELIMINARY;GOOD;GOOD;-;Sports / Volleyball;Sports;-;English, Italian;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;2P sim;-;-;-;0;NO;NO;NO;NO;Italian;-;-;Italian;NO
19xxb;19XX: The War Against Destiny (Brazil 951218);1996;Capcom;NO;19xx;YES;19xx;-;YES;NO;NO;-;NO;YES;NO;YES;cps2.cpp;Mame 0.115u3;30/05/2007;Mame 0.195;28/02/2018;0;2;2;2;1;RASTER;270;VERTICAL;384;224;59.637405;joystick (8-way);CRT 15kHz;M68000,Z80,DSP16;maincpu M68000 @16 MHz, audiocpu Z80 @8 MHz, qsound:qsound DSP16 @4 MHz;Speaker,Q-Sound;lspeaker Speaker, rspeaker Speaker, qsound Q-Sound @4 MHz;GOOD;GOOD;GOOD;GOOD;GOOD;UNKNOWN;GOOD;GOOD;-;Shooter / Flying Vertical;Shooter;194X;English;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;2P sim;-;https://www.youtube.com/watch?v=5_-xvzIufGU;-;0;NO;NO;NO;NO;English;-;-;English;NO
19xxd;19XX: The War Against Destiny (USA 951207 Phoenix Edition) (bootleg);1996;bootleg;NO;19xx;YES;19xx;-;YES;NO;NO;-;NO;YES;NO;YES;cps2.cpp;Mame 0.128u4;23/11/2008;Mame 0.195;28/02/2018;0;2;2;2;1;RASTER;270;VERTICAL;384;224;59.637405;joystick (8-way);CRT 15kHz;M68000,Z80,DSP16;maincpu M68000 @16 MHz, audiocpu Z80 @8 MHz, qsound:qsound DSP16 @4 MHz;Speaker,Q-Sound;lspeaker Speaker, rspeaker Speaker, qsound Q-Sound @4 MHz;GOOD;GOOD;GOOD;GOOD;GOOD;UNKNOWN;GOOD;GOOD;-;Shooter / Flying Vertical;Shooter;194X;English;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;2P sim;-;https://www.youtube.com/watch?v=IeTl0S6jtH0;-;0;NO;NO;NO;NO;English;-;-;English;NO
