name;description;year;manufacturer;is_parent;romof;is_clone;cloneof;sasampleof;is_runnable;is_device;is_bios;biosof;is_mechanical;is_arcade;use_chds;savestate;source_file;first_emulator;first_emulator_date;last_emulator;last_emulator_date;players;buttons;coins;sound_channels;screens;display_type;display_rotate;screen_orientation;display_width;display_height;display_refresh;input_controls;monitor_type;chips_cpu;chips_cpu_details;chips_audio;chips_audio_details;driver_status;driver_emulation;driver_color;driver_sound;driver_graphic;driver_cocktail;driver_protection;dump_status;device_types;category;genre;serie;language;colors;has_device_refs;has_roms;has_disks;has_dip_switches;has_bios_sets;has_configs;has_ports;has_devices;has_slots;has_adjusters;has_soft_lists;has_ram_opts;has_cheats;nplayers;url_playonline;url_shortplays;url_shortplay_ms;game_rate;mature;on_top_score;on_bacheca_record;on_arcaworld;lang2;ranking;bestgame;alltime;cabinets
10yard;10-Yard Fight (World, set 1);1983;Irem;YES;-;NO;-;-;YES;NO;NO;-;NO;YES;NO;YES;m58.cpp;Mame 0.109;26/09/2006;Mame 0.195;28/02/2018;0;2;2;1;1;RASTER;0;HORIZONTAL;256;224;56.737589;joystick (8-way);CRT 15kHz;Z80,M6803;maincpu Z80 @3.72 MHz, irem_audio:iremsound M6803 @3.579545 MHz;Speaker,AY-3-8910A PSG,MSM5205;irem_audio:mono Speaker, irem_audio:ay_45m AY-3-8910A PSG @0.894886 MHz, irem_audio:ay_45l AY-3-8910A PSG @0.894886 MHz, irem_audio:msm1 MSM5205 @0.384 MHz, irem_audio:msm2 MSM5205 @0.384 MHz;GOOD;GOOD;GOOD;GOOD;GOOD;UNKNOWN;GOOD;GOOD;-;Sports / Football;Sports;-;English;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;2P alt;-;https://www.youtube.com/watch?v=w1ecdCtQmT0;-;0;NO;NO;NO;NO;English;50 to 60 (Not Good Enough);-;Cocktail, Upright;NO
progolf;18 Holes Pro Golf (set 1);1981;Data East Corporation;YES;-;NO;-;-;YES;NO;NO;-;NO;YES;NO;YES;progolf.cpp;Mame 0.107;23/07/2006;Mame 0.195;28/02/2018;0;1;2;1;1;RASTER;270;VERTICAL;256;256;57.000000;joystick (8-way);CRT 15kHz;DECO 222,M6502;maincpu DECO 222 @1.5 MHz, audiocpu M6502 @0.5 MHz;Speaker,AY-3-8910A PSG;mono Speaker, ay1 AY-3-8910A PSG @1.5 MHz, ay2 AY-3-8910A PSG @1.5 MHz;IMPERFECT;GOOD;GOOD;GOOD;IMPERFECT;PRELIMINARY;GOOD;GOOD;-;Sports / Golf;Sports;-;English;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;2P alt;-;https://www.youtube.com/watch?v=cn4Xkuv760A;-;0;NO;NO;NO;NO;English;50 to 60 (Not Good Enough);-;Cocktail, Upright;NO
1945kiii;1945k III (newer, OPCX2 PCB);2000;Oriental Soft;YES;-;NO;-;-;YES;NO;NO;-;NO;YES;NO;YES;1945kiii.cpp;Mame 0.82;06/05/2004;Mame 0.195;28/02/2018;0;4;1;1;1;RASTER;270;VERTICAL;320;224;60.000000;joystick (8-way);CRT 15kHz;M68000;maincpu M68000 @16 MHz;Speaker,OKI MSM6295 ADPCM;mono Speaker, oki1 OKI MSM6295 ADPCM @1 MHz, oki2 OKI MSM6295 ADPCM @1 MHz;GOOD;GOOD;GOOD;GOOD;GOOD;UNKNOWN;GOOD;GOOD;-;Shooter / Flying Vertical;Shooter;-;English;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;2P sim;-;https://www.youtube.com/watch?v=j9L2BfBLRXo;-;100;NO;NO;NO;NO;English;70 to 80 (Good);-;70 to 80 (Good);NO
39in1;39 in 1 MAME bootleg;2004;bootleg;YES;-;NO;-;-;YES;NO;NO;-;NO;YES;NO;NO;39in1.cpp;Mame 0.117;10/07/2007;Mame 0.195;28/02/2018;0;3;3;2;1;RASTER;270;VERTICAL;296;480;60.000000;joystick (8-way);CRT 31kHz;Intel XScale PXA255;maincpu Intel XScale PXA255 @200 MHz;Speaker,DMA-driven DAC;lspeaker Speaker, rspeaker Speaker, dac1 DMA-driven DAC, dac2 DMA-driven DAC;IMPERFECT;GOOD;GOOD;IMPERFECT;GOOD;UNKNOWN;GOOD;GOOD;-;MultiGame / Compilation;MultiGame;-;English;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;2P alt;-;https://www.youtube.com/watch?v=f9Xj8PdasUw;-;0;NO;NO;NO;NO;English;50 to 60 (Not Good Enough);-;50 to 60 (Not Good Enough);NO
ad2083;A. D. 2083;1983;Midcoin;YES;-;NO;-;-;YES;NO;NO;-;NO;YES;NO;YES;scramble.cpp;Mame 0.96u3;24/05/2005;Mame 0.195;28/02/2018;0;2;2;1;1;RASTER;90;VERTICAL;256;224;60.606061;joystick (8-way);CRT 15kHz;Z80;maincpu Z80 @3.72 MHz, audiocpu Z80 @1.78975 MHz;Speaker,AY-3-8910A PSG,TMS5110A;mono Speaker, ay1 AY-3-8910A PSG @1.78975 MHz, ay2 AY-3-8910A PSG @1.78975 MHz, tms TMS5110A @0.64 MHz;IMPERFECT;GOOD;GOOD;IMPERFECT;GOOD;UNKNOWN;GOOD;BADDUMP;-;Shooter / Field;Shooter;-;English;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;2P alt;-;https://www.youtube.com/watch?v=FtQ2nIz88pk;-;0;NO;NO;NO;NO;English;30 to 40 (Amendable);-;Cocktail, Upright;NO
actionhw;Action Hollywood;1995;TCH;YES;-;NO;-;-;YES;NO;NO;-;NO;YES;NO;YES;kickgoal.cpp;Mame 0.97u3;26/06/2005;Mame 0.195;28/02/2018;0;3;2;1;1;RASTER;0;HORIZONTAL;352;240;60.000000;joystick (8-way);CRT 15kHz;M68000,PIC16C57;maincpu M68000 @12 MHz, audiocpu PIC16C57 @4 MHz;Speaker,OKI MSM6295 ADPCM;mono Speaker, oki OKI MSM6295 ADPCM @1 MHz;IMPERFECT;GOOD;GOOD;IMPERFECT;GOOD;UNKNOWN;GOOD;NODUMP;-;Maze / Change Surface;Maze;-;English;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;2P sim;-;https://www.youtube.com/watch?v=I_pyCGVjzn8;-;0;NO;NO;NO;NO;English;70 to 80 (Good);1995;1995;NO
aoh;Age Of Heroes - Silkroad 2 (v0.63 - 2001/02/07);2001;Unico;YES;-;NO;-;-;YES;NO;NO;-;NO;YES;NO;YES;vamphalf.cpp;Mame 0.129u4;17/02/2009;Mame 0.195;28/02/2018;0;4;2;2;1;RASTER;0;HORIZONTAL;384;224;59.185000;joystick (8-way);CRT 15kHz;E1-32XN;maincpu E1-32XN @80 MHz;Speaker,Yamaha YM2151 OPM,OKI MSM6295 ADPCM;lspeaker Speaker, rspeaker Speaker, ymsnd Yamaha YM2151 OPM @3.579545 MHz, oki_1 OKI MSM6295 ADPCM @4 MHz, oki2 OKI MSM6295 ADPCM @1 MHz;GOOD;GOOD;GOOD;GOOD;GOOD;UNKNOWN;GOOD;GOOD;-;Fighter / 2.5D;Fighter;Silkroad;English;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;2P sim;-;https://www.youtube.com/watch?v=qV7GtzWZMV4;-;0;NO;NO;NO;NO;English;70 to 80 (Good);-;70 to 80 (Good);NO
agress;Agress - Missile Daisenryaku (Japan);1991;Palco;YES;-;NO;-;-;YES;NO;NO;-;NO;YES;NO;YES;blockout.cpp;Mame 0.82;06/05/2004;Mame 0.195;28/02/2018;0;3;3;2;1;RASTER;0;HORIZONTAL;320;240;57.444853;joystick (8-way);CRT 15kHz;M68000,Z80;maincpu M68000 @10 MHz, audiocpu Z80 @3.579545 MHz;Speaker,Yamaha YM2151 OPM,OKI MSM6295 ADPCM;lspeaker Speaker, rspeaker Speaker, ymsnd Yamaha YM2151 OPM @3.579545 MHz, oki OKI MSM6295 ADPCM @1.56 MHz;GOOD;GOOD;GOOD;GOOD;GOOD;UNKNOWN;GOOD;GOOD;-;Puzzle / Sliding;Puzzle;-;English;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;2P sim;-;https://www.youtube.com/watch?v=nazOHNu-rVw;-;0;NO;NO;NO;NO;English;50 to 60 (Not Good Enough);-;50 to 60 (Not Good Enough);NO
airattck;Air Attack (set 1);1996;Comad;YES;-;NO;-;-;YES;NO;NO;-;NO;YES;NO;NO;nmk16.cpp;Mame 0.103u2;11/01/2006;Mame 0.195;28/02/2018;0;2;2;1;1;RASTER;270;VERTICAL;256;224;56.180000;joystick (8-way);CRT 15kHz;M68000,Z80;maincpu M68000 @8 MHz, audiocpu Z80 @4 MHz;Speaker,OKI MSM6295 ADPCM;mono Speaker, oki1 OKI MSM6295 ADPCM @1 MHz;GOOD;GOOD;GOOD;GOOD;GOOD;PRELIMINARY;GOOD;GOOD;-;Shooter / Flying Vertical;Shooter;-;English;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;2P sim;-;https://www.youtube.com/watch?v=Uwvk8tXfMNo;-;0;NO;NO;NO;NO;English;50 to 60 (Not Good Enough);-;50 to 60 (Not Good Enough);NO
aladmdb;Aladdin (bootleg of Japanese Megadrive version);1993;bootleg / Sega;YES;-;NO;-;-;YES;NO;NO;-;NO;YES;NO;NO;megadriv_acbl.cpp;Mame 0.139u3;20/09/2010;Mame 0.195;28/02/2018;0;3;1;2;1;RASTER;0;HORIZONTAL;256;224;60.000000;joystick (8-way);CRT 15kHz;M68000,Z80;maincpu M68000 @7.670453 MHz, genesis_snd_z80 Z80 @3.579545 MHz;Speaker,YM2612 OPN2,Sega VDP PSG;lspeaker Speaker, rspeaker Speaker, ymsnd YM2612 OPN2 @7.670453 MHz, snsnd Sega VDP PSG @3.579545 MHz;GOOD;GOOD;GOOD;GOOD;GOOD;UNKNOWN;GOOD;GOOD;-;Platform / Fighter Scrolling;Platform;-;Japanese;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;1P;-;https://www.youtube.com/watch?v=0fR25Box_Fw;-;0;NO;NO;NO;NO;Japanese;70 to 80 (Good);1993;1993;NO
