name;description;year;manufacturer;is_parent;romof;is_clone;cloneof;sasampleof;is_runnable;is_device;is_bios;biosof;is_mechanical;is_arcade;use_chds;savestate;source_file;first_emulator;first_emulator_date;last_emulator;last_emulator_date;players;buttons;coins;sound_channels;screens;display_type;display_rotate;screen_orientation;display_width;display_height;display_refresh;input_controls;monitor_type;chips_cpu;chips_cpu_details;chips_audio;chips_audio_details;driver_status;driver_emulation;driver_color;driver_sound;driver_graphic;driver_cocktail;driver_protection;dump_status;device_types;category;genre;serie;language;colors;has_device_refs;has_roms;has_disks;has_dip_switches;has_bios_sets;has_configs;has_ports;has_devices;has_slots;has_adjusters;has_soft_lists;has_ram_opts;has_cheats;nplayers;url_playonline;url_shortplays;url_shortplay_ms;game_rate;mature;on_top_score;on_bacheca_record;on_arcaworld;lang2;ranking;bestgame;alltime;cabinets;
"99lstwark";"'99: The Last War (Kyugo)";"1985";"Crux / Kyugo";NO;repulse;YES;repulse;-;YES;NO;NO;-;NO;YES;NO;YES;kyugo.cpp;"Mame 0.133u1";"2009-08-02";"Mame 0.195";"2018-02-28";0;2;2;1;1;RASTER;"90";VERTICAL;288;224;60.000000;"joystick (8-way)";"CRT 15kHz";"Z80";"maincpu Z80 @3.72 MHz, sub Z80 @3.72 MHz";"Speaker,AY-3-8910A PSG";"mono Speaker, ay1 AY-3-8910A PSG @1.536 MHz, ay2 AY-3-8910A PSG @1.536 MHz";GOOD;GOOD;GOOD;GOOD;GOOD;UNKNOWN;GOOD;GOOD;-;"Shooter / Gallery";Shooter;-;English;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;"2P alt";-;"https://www.youtube.com/watch?v=wlM1Hw3slsY";-;0;NO;NO;NO;NO;English;-;-;"Cocktail, Upright";NO;
"99lstwar";"'99: The Last War (set 1)";"1985";"Crux / Proma";NO;repulse;YES;repulse;-;YES;NO;NO;-;NO;YES;NO;YES;kyugo.cpp;"Mame 0.36rc1";"2000-02-26";"Mame 0.195";"2018-02-28";0;2;2;1;1;RASTER;"90";VERTICAL;288;224;60.000000;"joystick (8-way)";"CRT 15kHz";"Z80";"maincpu Z80 @3.72 MHz, sub Z80 @3.72 MHz";"Speaker,AY-3-8910A PSG";"mono Speaker, ay1 AY-3-8910A PSG @1.536 MHz, ay2 AY-3-8910A PSG @1.536 MHz";GOOD;GOOD;GOOD;GOOD;GOOD;UNKNOWN;GOOD;GOOD;-;"Shooter / Gallery";Shooter;-;English;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;"2P alt";-;"https://www.youtube.com/watch?v=UshLqyeMo4g";-;0;NO;NO;NO;NO;English;-;-;"Cocktail, Upright";NO;
"99lstwara";"'99: The Last War (set 2)";"1985";"Crux / Proma";NO;repulse;YES;repulse;-;YES;NO;NO;-;NO;YES;NO;YES;kyugo.cpp;"Mame 0.133u1";"2009-08-02";"Mame 0.195";"2018-02-28";0;2;2;1;1;RASTER;"90";VERTICAL;288;224;60.000000;"joystick (8-way)";"CRT 15kHz";"Z80";"maincpu Z80 @3.72 MHz, sub Z80 @3.72 MHz";"Speaker,AY-3-8910A PSG";"mono Speaker, ay1 AY-3-8910A PSG @1.536 MHz, ay2 AY-3-8910A PSG @1.536 MHz";GOOD;GOOD;GOOD;GOOD;GOOD;UNKNOWN;GOOD;GOOD;-;"Shooter / Gallery";Shooter;-;English;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;"2P alt";-;"https://www.youtube.com/watch?v=UQcpQDLs7zQ";-;0;NO;NO;NO;NO;English;-;-;"Cocktail, Upright";NO;
"10yard85";"10-Yard Fight '85 (US, Taito license)";"1985";"Irem (Taito license)";NO;"10yard";YES;"10yard";-;YES;NO;NO;-;NO;YES;NO;YES;"m58.cpp";"Mame 0.137u3";"2010-04-21";"Mame 0.195";"2018-02-28";0;2;2;1;1;RASTER;"0";HORIZONTAL;256;224;56.737589;"joystick (8-way)";"CRT 15kHz";"Z80,M6803";"maincpu Z80 @3.72 MHz, irem_audio:iremsound M6803 @3.579545 MHz";"Speaker,AY-3-8910A PSG,MSM5205";"irem_audio:mono Speaker, irem_audio:ay_45m AY-3-8910A PSG @0.894886 MHz, irem_audio:ay_45l AY-3-8910A PSG @0.894886 MHz, irem_audio:msm1 MSM5205 @0.384 MHz, irem_audio:msm2 MSM5205 @0.384 MHz";GOOD;GOOD;GOOD;GOOD;GOOD;UNKNOWN;GOOD;GOOD;-;"Sports / Football";Sports;-;English;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;"2P alt";-;"https://www.youtube.com/watch?v=N8bSLvKQMJI";-;0;NO;NO;NO;NO;English;-;-;"Cocktail, Upright";NO;
"10yardj";"10-Yard Fight (Japan)";"1983";Irem;NO;"10yard";YES;"10yard";-;YES;NO;NO;-;NO;YES;NO;YES;"m58.cpp";"Mame 0.109";"2006-09-26";"Mame 0.195";"2018-02-28";0;2;2;1;1;RASTER;"0";HORIZONTAL;256;224;56.737589;"joystick (8-way)";"CRT 15kHz";"Z80,M6803";"maincpu Z80 @3.72 MHz, irem_audio:iremsound M6803 @3.579545 MHz";"Speaker,AY-3-8910A PSG,MSM5205";"irem_audio:mono Speaker, irem_audio:ay_45m AY-3-8910A PSG @0.894886 MHz, irem_audio:ay_45l AY-3-8910A PSG @0.894886 MHz, irem_audio:msm1 MSM5205 @0.384 MHz, irem_audio:msm2 MSM5205 @0.384 MHz";GOOD;GOOD;GOOD;GOOD;GOOD;UNKNOWN;GOOD;GOOD;-;"Sports / Football";Sports;-;Japanese;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;"2P alt";-;"https://www.youtube.com/watch?v=EZJVgT1ahTE";-;0;NO;NO;NO;NO;Japanese;-;-;"Cocktail, Upright";NO;
gtmra;"1000 Miglia: Great 1000 Miles Rally (94/06/13)";"1994";Kaneko;NO;gtmr;YES;gtmr;-;YES;NO;NO;-;NO;YES;NO;YES;"kaneko16.cpp";"Mame 0.99u8";"2005-09-09";"Mame 0.195";"2018-02-28";0;2;2;1;1;RASTER;"0";HORIZONTAL;320;240;60.000000;"joystick (8-way),dial,paddle";"CRT 15kHz";"M68000";"maincpu M68000 @16 MHz";"Speaker,OKI MSM6295 ADPCM";"mono Speaker, oki1 OKI MSM6295 ADPCM @2 MHz, oki2 OKI MSM6295 ADPCM @2 MHz";GOOD;GOOD;GOOD;GOOD;GOOD;UNKNOWN;GOOD;GOOD;-;"Driving / Race";Driving;"Great 1000 Miles Rally";English;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;"2P alt";-;"https://www.youtube.com/watch?v=fvxdq6Ldup0";-;0;NO;NO;NO;NO;English;-;-;"Cocktail, Upright";NO;
progolfa;"18 Holes Pro Golf (set 2)";"1981";"Data East Corporation";NO;progolf;YES;progolf;-;YES;NO;NO;-;NO;YES;NO;YES;progolf.cpp;"Mame 0.107";"2006-07-23";"Mame 0.195";"2018-02-28";0;1;2;1;1;RASTER;"270";VERTICAL;256;256;57.000000;"joystick (8-way)";"CRT 15kHz";"M6502,DECO CPU-6";"audiocpu M6502 @0.5 MHz, maincpu DECO CPU-6 @1.5 MHz";"Speaker,AY-3-8910A PSG";"mono Speaker, ay1 AY-3-8910A PSG @1.5 MHz, ay2 AY-3-8910A PSG @1.5 MHz";PRELIMINARY;PRELIMINARY;GOOD;GOOD;IMPERFECT;PRELIMINARY;GOOD;GOOD;-;"Sports / Golf";Sports;-;English;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;"2P alt";-;-;-;0;NO;NO;NO;NO;English;-;-;"Cocktail, Upright";NO;
"1941j";"1941: Counter Attack (Japan)";"1990";Capcom;NO;"1941";YES;"1941";-;YES;NO;NO;-;NO;YES;NO;YES;"cps1.cpp";"Mame 0.33b6";"1998-06-16";"Mame 0.195";"2018-02-28";0;2;2;1;1;RASTER;"270";VERTICAL;384;224;59.637405;"joystick (8-way)";"CRT 15kHz";"M68000,Z80";"maincpu M68000 @10 MHz, audiocpu Z80 @3.579545 MHz";"Speaker,Yamaha YM2151 OPM,OKI MSM6295 ADPCM";"mono Speaker, 2151 Yamaha YM2151 OPM @3.579545 MHz, oki OKI MSM6295 ADPCM @1 MHz";GOOD;GOOD;GOOD;GOOD;GOOD;UNKNOWN;GOOD;NODUMP;-;"Shooter / Flying Vertical";Shooter;"194X";Japanese;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;"2P sim";-;"https://www.youtube.com/watch?v=pB0hROK6ni8";-;0;NO;NO;NO;YES;Japanese;-;-;Japanese;YES;
"1942b";"1942 (First Version)";"1984";Capcom;NO;"1942";YES;"1942";-;YES;NO;NO;-;NO;YES;NO;YES;"1942.cpp";"Mame 0.34rc1";"1998-12-14";"Mame 0.195";"2018-02-28";0;2;2;1;1;RASTER;"270";VERTICAL;256;224;60.000000;"joystick (8-way)";"CRT 15kHz";"Z80";"maincpu Z80 @4 MHz, audiocpu Z80 @3 MHz";"Speaker,AY-3-8910A PSG,Netlist Sound Device";"mono Speaker, ay1 AY-3-8910A PSG @1.5 MHz, ay2 AY-3-8910A PSG @1.5 MHz, snd_nl Netlist Sound Device @0.9375 MHz";GOOD;GOOD;GOOD;GOOD;GOOD;UNKNOWN;GOOD;GOOD;-;"Shooter / Flying Vertical";Shooter;"194X";English;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;"2P alt";-;"https://www.youtube.com/watch?v=SxCIMfX-ynM";-;0;NO;NO;NO;NO;English;-;-;"Cocktail, Upright";NO;
"1942abl";"1942 (Revision A, bootleg)";"1984";bootleg;NO;"1942";YES;"1942";-;YES;NO;NO;-;NO;YES;NO;YES;"1942.cpp";"Mame 0.134u4";"2009-10-24";"Mame 0.195";"2018-02-28";0;2;2;1;1;RASTER;"270";VERTICAL;256;224;60.000000;"joystick (8-way)";"CRT 15kHz";"Z80";"maincpu Z80 @4 MHz, audiocpu Z80 @3 MHz";"Speaker,AY-3-8910A PSG,Netlist Sound Device";"mono Speaker, ay1 AY-3-8910A PSG @1.5 MHz, ay2 AY-3-8910A PSG @1.5 MHz, snd_nl Netlist Sound Device @0.9375 MHz";GOOD;GOOD;GOOD;GOOD;GOOD;UNKNOWN;GOOD;GOOD;-;"Shooter / Flying Vertical";Shooter;"194X";English;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;"2P alt";-;"https://www.youtube.com/watch?v=hwQI-2bK8GA";-;0;NO;NO;NO;NO;English;-;-;"Cocktail, Upright";NO;
