name;description;year;manufacturer;is_parent;romof;is_clone;cloneof;sasampleof;is_runnable;is_device;is_bios;biosof;is_mechanical;is_arcade;use_chds;savestate;source_file;first_emulator;first_emulator_date;last_emulator;last_emulator_date;players;buttons;coins;sound_channels;screens;display_type;display_rotate;screen_orientation;display_width;display_height;display_refresh;input_controls;monitor_type;chips_cpu;chips_cpu_details;chips_audio;chips_audio_details;driver_status;driver_emulation;driver_color;driver_sound;driver_graphic;driver_cocktail;driver_protection;dump_status;device_types;category;genre;serie;language;colors;has_device_refs;has_roms;has_disks;has_dip_switches;has_bios_sets;has_configs;has_ports;has_devices;has_slots;has_adjusters;has_soft_lists;has_ram_opts;has_cheats;nplayers;url_playonline;url_shortplays;url_shortplay_ms;game_rate;mature;on_top_score;on_bacheca_record;on_arcaworld;lang2;ranking;bestgame;alltime;cabinets;
progolfa;"18 Holes Pro Golf (set 2)";"1981";"Data East Corporation";NO;progolf;YES;progolf;-;YES;NO;NO;-;NO;YES;NO;YES;progolf.cpp;"Mame 0.107";"2006-07-23";"Mame 0.195";"2018-02-28";0;1;2;1;1;RASTER;"270";VERTICAL;256;256;57.000000;"joystick (8-way)";"CRT 15kHz";"M6502,DECO CPU-6";"audiocpu M6502 @0.5 MHz, maincpu DECO CPU-6 @1.5 MHz";"Speaker,AY-3-8910A PSG";"mono Speaker, ay1 AY-3-8910A PSG @1.5 MHz, ay2 AY-3-8910A PSG @1.5 MHz";PRELIMINARY;PRELIMINARY;GOOD;GOOD;IMPERFECT;PRELIMINARY;GOOD;GOOD;-;"Sports / Golf";Sports;-;English;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;"2P alt";-;-;-;0;NO;NO;NO;NO;English;-;-;"Cocktail, Upright";NO;
"18wheelr";"18 Wheeler (deluxe) (Rev A)";"2000";Sega;YES;naomi;NO;-;-;YES;NO;NO;naomi;NO;YES;NO;NO;naomi.cpp;"Mame 0.134u4";"2009-10-24";"Mame 0.195";"2018-02-28";0;5;2;2;1;RASTER;"0";HORIZONTAL;640;480;61.702586;"paddle,pedal";"CRT 31kHz";"SH-4 (little),ARM7 (little),Z80,TMP90PH44,M68000";"maincpu SH-4 (little) @200 MHz, soundcpu ARM7 (little) @2.8224 MHz, mie_maple:mie Z80 @16 MHz, 837_13551:iomcu TMP90PH44 @10 MHz, comm_board:m3commcpu M68000 @10 MHz";"Speaker,AICA";"lspeaker Speaker, rspeaker Speaker, aica AICA";PRELIMINARY;PRELIMINARY;GOOD;IMPERFECT;IMPERFECT;UNKNOWN;GOOD;GOOD;-;"Driving / Truck Guide";Driving;"18 Wheeler";Japanese;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;"1P";-;-;-;0;NO;NO;NO;NO;Japanese;-;-;Japanese;NO;
"spikes91";"1991 Spikes (Italian bootleg, set 1)";"1991";bootleg;NO;pspikes;YES;pspikes;-;YES;NO;NO;-;NO;YES;NO;YES;aerofgt.cpp;"Mame 0.124u2";"2008-04-11";"Mame 0.195";"2018-02-28";0;3;2;0;1;RASTER;"0";HORIZONTAL;320;224;60.000000;"joystick (8-way)";"CRT 15kHz";"M68000";"maincpu M68000 @10 MHz";-;-;PRELIMINARY;GOOD;GOOD;PRELIMINARY;GOOD;PRELIMINARY;GOOD;GOOD;-;"Sports / Volleyball";Sports;-;"English, Italian";-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;"2P sim";-;-;-;0;NO;NO;NO;NO;Italian;-;-;Italian;NO;
"280zzzap";"280-ZZZAP";"1976";"Dave Nutting Associates / Midway";YES;-;NO;-;invaders;YES;NO;NO;-;NO;YES;NO;YES;"mw8080bw.cpp";"Mame 0.33b3";"1998-05-17";"Mame 0.195";"2018-02-28";0;1;1;1;1;RASTER;"0";HORIZONTAL;260;224;59.541985;"paddle,pedal";"CRT 15kHz";"8080";"maincpu 8080 @1.9968 MHz";-;-;PRELIMINARY;GOOD;GOOD;PRELIMINARY;GOOD;UNKNOWN;GOOD;GOOD;-;"Driving / 1st Person";Driving;-;English;"Black & White";NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;"1P";-;"https://www.youtube.com/watch?v=55mo2R6NRZM";-;0;NO;NO;NO;NO;"Black & White";"30 to 40 (Amendable)";-;"30 to 40 (Amendable)";NO;
"bowl3d";"3-D Bowling";"1978";"Meadows Games, Inc.";YES;-;NO;-;"bowl3d";YES;NO;NO;-;NO;YES;NO;NO;meadows.cpp;"Mame 0.109u4";"2006-10-26";"Mame 0.195";"2018-02-28";0;2;1;1;1;RASTER;"90";VERTICAL;256;224;60.000000;"joystick (2-way)";"CRT 15kHz";"S2650";"maincpu S2650 @0.625 MHz, audiocpu S2650 @0.625 MHz";"Speaker,8-Bit R-2R DAC,Samples";"speaker Speaker, dac 8-Bit R-2R DAC, samples Samples, samples2 Samples";PRELIMINARY;GOOD;GOOD;PRELIMINARY;GOOD;UNKNOWN;GOOD;NODUMP;-;"Sports / Bowling";Sports;-;English;"Black & White";NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;"2P alt";-;-;-;0;NO;NO;NO;NO;"Black & White";"10 to 20 (Horrible)";-;"10 to 20 (Horrible)";NO;
"48in1";"48 in 1 MAME bootleg (set 1, ver 3.09)";"2004";bootleg;NO;"39in1";YES;"39in1";-;YES;NO;NO;-;NO;YES;NO;NO;"39in1.cpp";"Mame 0.134u2";"2009-10-03";"Mame 0.195";"2018-02-28";0;3;3;2;1;RASTER;"270";VERTICAL;296;480;60.000000;"joystick (8-way)";"CRT 31kHz";"Intel XScale PXA255";"maincpu Intel XScale PXA255 @200 MHz";"Speaker,DMA-driven DAC";"lspeaker Speaker, rspeaker Speaker, dac1 DMA-driven DAC, dac2 DMA-driven DAC";PRELIMINARY;PRELIMINARY;GOOD;IMPERFECT;GOOD;UNKNOWN;GOOD;NODUMP;-;"MultiGame / Compilation";MultiGame;-;English;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;"2P alt";-;-;-;0;NO;NO;NO;NO;English;-;-;English;NO;
"48in1a";"48 in 1 MAME bootleg (set 3, ver 3.02)";"2004";bootleg;NO;"39in1";YES;"39in1";-;YES;NO;NO;-;NO;YES;NO;NO;"39in1.cpp";"Mame 0.134u2";"2009-10-03";"Mame 0.195";"2018-02-28";0;3;3;2;1;RASTER;"270";VERTICAL;296;480;60.000000;"joystick (8-way)";"CRT 31kHz";"Intel XScale PXA255";"maincpu Intel XScale PXA255 @200 MHz";"Speaker,DMA-driven DAC";"lspeaker Speaker, rspeaker Speaker, dac1 DMA-driven DAC, dac2 DMA-driven DAC";PRELIMINARY;PRELIMINARY;GOOD;IMPERFECT;GOOD;UNKNOWN;GOOD;NODUMP;-;"MultiGame / Compilation";MultiGame;-;English;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;"2P alt";-;-;-;0;NO;NO;NO;NO;English;-;-;English;NO;
"500gp";"500 GP (US, 5GP3 Ver. C)";"1998";Namco;YES;-;NO;-;-;YES;NO;NO;-;NO;YES;NO;NO;"namcos23.cpp";"Mame 0.127u5";"2008-09-26";"Mame 0.195";"2018-02-28";0;3;1;2;1;RASTER;"0";HORIZONTAL;640;480;59.882400;"joystick (2-way)";"CRT 31kHz";"IDT R4650 (big),H8/3002";"maincpu IDT R4650 (big) @169.344 MHz, subcpu H8/3002 @16.9344 MHz";"Speaker,Namco C352";"lspeaker Speaker, rspeaker Speaker, c352 Namco C352 @25.4016 MHz";PRELIMINARY;PRELIMINARY;GOOD;GOOD;IMPERFECT;UNKNOWN;IMPERFECT;NODUMP;-;"Driving / Race (chase view) Bike";Driving;-;English;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;???;-;-;-;0;NO;NO;NO;NO;English;-;-;English;NO;
ace;Ace;"1976";"Allied Leisure";YES;-;NO;-;-;YES;NO;NO;-;NO;YES;NO;YES;ace.cpp;"Mame 0.62";"2002-11-12";"Mame 0.195";"2018-02-28";0;1;1;0;1;RASTER;"0";HORIZONTAL;224;240;60.000000;"joystick (2-way)";"CRT 15kHz";"8080";"maincpu 8080 @2 MHz";-;-;PRELIMINARY;GOOD;GOOD;PRELIMINARY;GOOD;UNKNOWN;GOOD;GOOD;-;"Shooter / Field";Shooter;-;English;Monochromatic;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;"2P sim";-;"https://www.youtube.com/watch?v=sA0RpOJNBpw";-;0;NO;NO;NO;NO;Monochromatic;"10 to 20 (Horrible)";-;"10 to 20 (Horrible)";NO;
nss_actr;"Act Raiser (Nintendo Super System)";"1992";Enix;YES;nss;NO;-;-;YES;NO;NO;nss;NO;YES;NO;NO;nss.cpp;"Mame 0.71u2";"2003-07-12";"Mame 0.195";"2018-02-28";0;13;2;2;2;RASTER;"0";HORIZONTAL;288;216;60.000000;"joystick (8-way)";"CRT 15kHz";"5A22,SPC700,Z80";"maincpu 5A22 @21.477272 MHz, soundcpu SPC700 @2.48 MHz, bios Z80 @4 MHz";"Speaker,SNES Custom DSP (SPC700)";"lspeaker Speaker, rspeaker Speaker, spc700 SNES Custom DSP (SPC700)";PRELIMINARY;PRELIMINARY;GOOD;IMPERFECT;GOOD;UNKNOWN;GOOD;GOOD;-;"Platform / Fighter Scrolling";Platform;-;English;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;"1P";-;"https://www.youtube.com/watch?v=nvEJ7U-oOqA";"https://www.youtube.com/watch?v=T6UJxr0MqTA";0;NO;NO;NO;NO;English;-;-;English;NO;
