name;description;year;manufacturer;is_parent;romof;is_clone;cloneof;sasampleof;is_runnable;is_device;is_bios;biosof;is_mechanical;is_arcade;use_chds;savestate;source_file;first_emulator;first_emulator_date;last_emulator;last_emulator_date;players;buttons;coins;sound_channels;screens;display_type;display_rotate;screen_orientation;display_width;display_height;display_refresh;input_controls;monitor_type;chips_cpu;chips_cpu_details;chips_audio;chips_audio_details;driver_status;driver_emulation;driver_color;driver_sound;driver_graphic;driver_cocktail;driver_protection;dump_status;device_types;category;genre;serie;language;colors;has_device_refs;has_roms;has_disks;has_dip_switches;has_bios_sets;has_configs;has_ports;has_devices;has_slots;has_adjusters;has_soft_lists;has_ram_opts;has_cheats;nplayers;url_playonline;url_shortplays;url_shortplay_ms;game_rate;mature;on_top_score;on_bacheca_record;on_arcaworld;lang2;ranking;bestgame;alltime;cabinets
720;720 Degrees (rev 4);1986;Atari Games;YES;-;NO;-;-;YES;NO;NO;-;NO;YES;NO;YES;atarisy2.cpp;Mame 0.33b4;31/05/1998;Mame 0.194;31/01/2018;0;2;3;2;1;RASTER;0;HORIZONTAL;512;384;60.096154;joystick (analog),dial;CRT 25kHz;T11,M6502,Atari C012294 POKEY;maincpu T11 @10 MHz, audiocpu M6502 @1.789772 MHz, pokey1 Atari C012294 POKEY @1.789772 MHz, pokey2 Atari C012294 POKEY @1.789772 MHz;Speaker,Yamaha YM2151 OPM,Atari C012294 POKEY,TMS5220C;lspeaker Speaker, rspeaker Speaker, ymsnd Yamaha YM2151 OPM @3.579545 MHz, pokey1 Atari C012294 POKEY @1.789772 MHz, pokey2 Atari C012294 POKEY @1.789772 MHz, tms TMS5220C @0.625 MHz;GOOD;GOOD;GOOD;GOOD;GOOD;UNKNOWN;GOOD;GOOD;-;Sports / Skateboarding;Sports;-;English;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;2P alt;https://archive.org/details/arcade_720;https://www.youtube.com/watch?v=bcK3U-oxAE0;-;60;NO;NO;NO;NO;English;70 to 80 (Good);1986;1986;NO
1941;1941: Counter Attack (World 900227);1990;Capcom;YES;-;NO;-;-;YES;NO;NO;-;NO;YES;NO;YES;cps1.cpp;Mame 0.33b5;10/06/1998;Mame 0.194;31/01/2018;0;2;2;1;1;RASTER;270;VERTICAL;384;224;59.637405;joystick (8-way);CRT 15kHz;M68000,Z80;maincpu M68000 @10 MHz, audiocpu Z80 @3.579545 MHz;Speaker,Yamaha YM2151 OPM,OKI MSM6295 ADPCM;mono Speaker, 2151 Yamaha YM2151 OPM @3.579545 MHz, oki OKI MSM6295 ADPCM @1 MHz;GOOD;GOOD;GOOD;GOOD;GOOD;UNKNOWN;GOOD;GOOD;-;Shooter / Flying Vertical;Shooter;194X;English;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;2P sim;-;https://www.youtube.com/watch?v=EgyFNV11SQE;-;100;NO;NO;NO;NO;English;50 to 60 (Not Good Enough);1990;1990;YES
1942;1942 (Revision B);1984;Capcom;YES;-;NO;-;-;YES;NO;NO;-;NO;YES;NO;YES;1942.cpp;Mame 0.19;26/04/1997;Mame 0.194;31/01/2018;0;2;2;1;1;RASTER;270;VERTICAL;256;224;60.000000;joystick (8-way);CRT 15kHz;Z80;maincpu Z80 @4 MHz, audiocpu Z80 @3 MHz;Speaker,AY-3-8910A PSG,Netlist Sound Device;mono Speaker, ay1 AY-3-8910A PSG @1.5 MHz, ay2 AY-3-8910A PSG @1.5 MHz, snd_nl Netlist Sound Device @0.9375 MHz;GOOD;GOOD;GOOD;GOOD;GOOD;UNKNOWN;GOOD;GOOD;-;Shooter / Flying Vertical;Shooter;194X;English;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;2P alt;-;https://www.youtube.com/watch?v=QuoyjqxuyCA;-;100;NO;NO;YES;NO;English;90 to 100 (Best Games);1984;Cocktail, Upright;NO
1943;1943: The Battle of Midway (Euro);1987;Capcom;YES;-;NO;-;-;YES;NO;NO;-;NO;YES;NO;YES;1943.cpp;Mame 0.29;20/10/1997;Mame 0.194;31/01/2018;0;2;2;1;1;RASTER;270;VERTICAL;256;224;60.000000;joystick (8-way);CRT 15kHz;Z80;maincpu Z80 @6 MHz, audiocpu Z80 @3 MHz;Speaker,YM2203 OPN;mono Speaker, ym1 YM2203 OPN @1.5 MHz, ym2 YM2203 OPN @1.5 MHz;GOOD;GOOD;GOOD;GOOD;GOOD;UNKNOWN;GOOD;NODUMP;-;Shooter / Flying Vertical;Shooter;194X;English;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;2P sim;-;https://www.youtube.com/watch?v=DX8wBb75jgM;-;100;NO;NO;NO;NO;English;50 to 60 (Not Good Enough);1987;Cocktail, Upright;NO
1944;1944: The Loop Master (USA 000620);2000;Eighting / Raizing (Capcom license);YES;-;NO;-;-;YES;NO;NO;-;NO;YES;NO;YES;cps2.cpp;Mame 0.66;10/03/2003;Mame 0.194;31/01/2018;0;2;2;2;1;RASTER;0;HORIZONTAL;384;224;59.637405;joystick (8-way);CRT 15kHz;M68000,Z80,DSP16;maincpu M68000 @16 MHz, audiocpu Z80 @8 MHz, qsound:qsound DSP16 @4 MHz;Speaker,Q-Sound;lspeaker Speaker, rspeaker Speaker, qsound Q-Sound @4 MHz;GOOD;GOOD;GOOD;GOOD;GOOD;UNKNOWN;GOOD;GOOD;-;Shooter / Flying Vertical;Shooter;194X;English;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;2P sim;-;https://www.youtube.com/watch?v=G9zP1B4yqHQ;-;100;NO;NO;NO;NO;English;80 to 90 (Very Good);2000;2000;NO
1943kai;1943 Kai: Midway Kaisen (Japan);1987;Capcom;YES;-;NO;-;-;YES;NO;NO;-;NO;YES;NO;YES;1943.cpp;Mame 0.30;08/01/1998;Mame 0.194;31/01/2018;0;2;2;1;1;RASTER;270;VERTICAL;256;224;60.000000;joystick (8-way);CRT 15kHz;Z80;maincpu Z80 @6 MHz, audiocpu Z80 @3 MHz;Speaker,YM2203 OPN;mono Speaker, ym1 YM2203 OPN @1.5 MHz, ym2 YM2203 OPN @1.5 MHz;GOOD;GOOD;GOOD;GOOD;GOOD;UNKNOWN;GOOD;NODUMP;-;Shooter / Flying Vertical;Shooter;194X;Japanese;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;2P sim;-;https://www.youtube.com/watch?v=HgLcs5fVjgI;-;0;NO;NO;NO;YES;Japanese;70 to 80 (Good);-;Cocktail, Upright;NO
19xx;19XX: The War Against Destiny (USA 951207);1996;Capcom;YES;-;NO;-;-;YES;NO;NO;-;NO;YES;NO;YES;cps2.cpp;Mame 0.37b13 (0.49);10/03/2001;Mame 0.194;31/01/2018;0;2;2;2;1;RASTER;270;VERTICAL;384;224;59.637405;joystick (8-way);CRT 15kHz;M68000,Z80,DSP16;maincpu M68000 @16 MHz, audiocpu Z80 @8 MHz, qsound:qsound DSP16 @4 MHz;Speaker,Q-Sound;lspeaker Speaker, rspeaker Speaker, qsound Q-Sound @4 MHz;GOOD;GOOD;GOOD;GOOD;GOOD;UNKNOWN;GOOD;GOOD;-;Shooter / Flying Vertical;Shooter;194X;English;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;2P sim;-;https://www.youtube.com/watch?v=XZ-zoCbLUoA;-;100;NO;NO;YES;NO;English;80 to 90 (Very Good);1996;1996;NO
abcop;A.B. Cop (World) (FD1094 317-0169b);1990;Sega;YES;-;NO;-;-;YES;NO;NO;-;NO;YES;NO;NO;segaxbd.cpp;Mame 0.89u3;07/12/2004;Mame 0.195;28/02/2018;0;1;2;2;1;RASTER;0;HORIZONTAL;320;224;59.637405;paddle,pedal;CRT 15kHz;Hitachi FD1094 Encrypted CPU,M68000,Z80;mainpcb:maincpu Hitachi FD1094 Encrypted CPU @12.5 MHz, mainpcb:subcpu M68000 @12.5 MHz, mainpcb:soundcpu Z80 @4 MHz;Speaker,Yamaha YM2151 OPM,Sega PCM;mainpcb:lspeaker Speaker, mainpcb:rspeaker Speaker, mainpcb:ymsnd Yamaha YM2151 OPM @4 MHz, mainpcb:pcm Sega PCM @4 MHz;GOOD;GOOD;GOOD;GOOD;GOOD;UNKNOWN;GOOD;GOOD;-;Driving / Race (chase view) Bike;Driving;-;English;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;1P;-;https://www.youtube.com/watch?v=Ln0jXfwUDYA;-;70;NO;NO;NO;NO;English;70 to 80 (Good);1990;1990;NO
aburner2;After Burner II;1987;Sega;YES;-;NO;-;-;YES;NO;NO;-;NO;YES;NO;NO;segaxbd.cpp;Mame 0.37b9 (0.45);06/11/2000;Mame 0.194;31/01/2018;0;2;2;2;1;RASTER;0;HORIZONTAL;320;224;59.637405;joystick (analog);CRT 15kHz;M68000,Z80;mainpcb:maincpu M68000 @12.5 MHz, mainpcb:subcpu M68000 @12.5 MHz, mainpcb:soundcpu Z80 @4 MHz;Speaker,Yamaha YM2151 OPM,Sega PCM;mainpcb:lspeaker Speaker, mainpcb:rspeaker Speaker, mainpcb:ymsnd Yamaha YM2151 OPM @4 MHz, mainpcb:pcm Sega PCM @4 MHz;GOOD;GOOD;GOOD;GOOD;GOOD;UNKNOWN;GOOD;GOOD;-;Shooter / Flying (chase view);Shooter;After Burner;English;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;1P;https://archive.org/details/arcade_aburner2;https://www.youtube.com/watch?v=QXWMmmYc4JE;-;0;NO;NO;NO;NO;English;70 to 80 (Good);1987;1987;NO
airwolf;Airwolf;1987;Kyugo;YES;-;NO;-;-;YES;NO;NO;-;NO;YES;NO;YES;kyugo.cpp;Mame 0.36b3;22/08/1999;Mame 0.194;31/01/2018;0;2;2;1;1;RASTER;0;HORIZONTAL;288;224;60.000000;joystick (8-way);CRT 15kHz;Z80;maincpu Z80 @3.72 MHz, sub Z80 @3.72 MHz;Speaker,AY-3-8910A PSG;mono Speaker, ay1 AY-3-8910A PSG @1.536 MHz, ay2 AY-3-8910A PSG @1.536 MHz;GOOD;GOOD;GOOD;GOOD;GOOD;UNKNOWN;GOOD;NODUMP;-;Shooter / Flying Horizontal;Shooter;-;English;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;2P alt;https://archive.org/details/arcade_airwolf;https://www.youtube.com/watch?v=jZ3yoXq60PQ;-;0;NO;NO;NO;NO;English;30 to 40 (Amendable);1987;Cocktail, Upright;NO
