name;description;year;manufacturer;is_parent;romof;is_clone;cloneof;sasampleof;is_runnable;is_device;is_bios;biosof;is_mechanical;is_arcade;use_chds;savestate;source_file;first_emulator;first_emulator_date;last_emulator;last_emulator_date;players;buttons;coins;sound_channels;screens;display_type;display_rotate;screen_orientation;display_width;display_height;display_refresh;input_controls;monitor_type;chips_cpu;chips_cpu_details;chips_audio;chips_audio_details;driver_status;driver_emulation;driver_color;driver_sound;driver_graphic;driver_cocktail;driver_protection;dump_status;device_types;category;genre;serie;language;colors;has_device_refs;has_roms;has_disks;has_dip_switches;has_bios_sets;has_configs;has_ports;has_devices;has_slots;has_adjusters;has_soft_lists;has_ram_opts;has_cheats;nplayers;url_playonline;url_shortplays;url_shortplay_ms;game_rate;mature;on_top_score;on_bacheca_record;on_arcaworld;lang2;ranking;bestgame;alltime;cabinets;
brvblade;"Brave Blade (World)";"2000";"Eighting / Raizing";YES;"coh1002m";NO;-;-;YES;NO;NO;"coh1002m";NO;YES;NO;NO;zn.cpp;"Mame 0.74u2";"2003-10-06";"Mame 0.195";"2018-02-28";0;3;4;2;1;RASTER;"270";VERTICAL;640;480;60.000000;"joystick (8-way)";"CRT 31kHz";"CXD8530CQ,M68000";"maincpu CXD8530CQ @67.7376 MHz, audiocpu M68000 @12 MHz";"Speaker,PlayStation SPU,Yamaha YMF271 OPX";"lspeaker Speaker, rspeaker Speaker, spu PlayStation SPU @33.8688 MHz, ymf Yamaha YMF271 OPX @16.9344 MHz";IMPERFECT;GOOD;GOOD;IMPERFECT;IMPERFECT;UNKNOWN;GOOD;NODUMP;-;"Shooter / Flying Vertical";Shooter;-;English;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;"2P sim";-;"https://www.youtube.com/watch?v=OS4DzVySE4I";-;0;NO;NO;NO;NO;English;"80 to 90 (Very Good)";-;"80 to 90 (Very Good)";NO;
tondemo;"Tondemo Crisis (Japan)";"1999";Tecmo;YES;"coh1002m";NO;-;-;YES;NO;NO;"coh1002m";NO;YES;NO;NO;zn.cpp;"Mame 0.74u2";"2003-10-06";"Mame 0.195";"2018-02-28";0;3;4;2;1;RASTER;"0";HORIZONTAL;640;480;60.000000;"joystick (8-way)";"CRT 31kHz";"CXD8530CQ";"maincpu CXD8530CQ @67.7376 MHz";"Speaker,PlayStation SPU";"lspeaker Speaker, rspeaker Speaker, spu PlayStation SPU @33.8688 MHz";IMPERFECT;GOOD;GOOD;IMPERFECT;IMPERFECT;UNKNOWN;GOOD;NODUMP;-;"Multiplay / Mini-Games";Multiplay;-;Japanese;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;"1P";-;"https://www.youtube.com/watch?v=XaYoelcNCuM";-;0;NO;NO;NO;NO;Japanese;"90 to 100 (Best Games)";-;"90 to 100 (Best Games)";NO;
tekkentt;"Tekken Tag Tournament (TEG3/VER.B)";"1999";Namco;YES;-;NO;-;-;YES;NO;NO;-;NO;YES;NO;NO;"namcos12.c";"Mame 0.77";"2003-11-11";"Mame 0.102u4";"2005-12-15";0;6;2;2;1;-;"0";HORIZONTAL;640;480;0;"joystick (8-way)";"CRT 31kHz";"PSX CPU,H8/3002";"PSX CPU @16.9344 MHz, H8/3002 @14.7456 MHz";"C352";"C352 @14.7456 MHz";PRELIMINARY;PRELIMINARY;GOOD;IMPERFECT;GOOD;UNKNOWN;UNKNOWN;GOOD;-;"Fighter / Versus";Fighter;-;Fighter;-;NO;YES;NO;YES;NO;NO;NO;NO;NO;NO;NO;NO;NO;-;-;-;-;0;NO;NO;NO;NO;Fighter;-;-;Fighter;NO;
"sws99";"Super World Stadium '99 (Japan, SS91/VER.A3)";"1999";Namco;YES;-;NO;-;-;YES;NO;NO;-;NO;YES;NO;NO;"namcos12.cpp";"Mame 0.77";"2003-11-11";"Mame 0.195";"2018-02-28";0;6;2;2;1;RASTER;"0";HORIZONTAL;640;480;60.000000;"joystick (8-way)";"CRT 31kHz";"CXD8661R,H8/3002";"maincpu CXD8661R @100 MHz, sub H8/3002 @16.9344 MHz";"Speaker,Namco C352";"lspeaker Speaker, rspeaker Speaker, c352 Namco C352 @25.4016 MHz";IMPERFECT;GOOD;GOOD;GOOD;IMPERFECT;UNKNOWN;GOOD;GOOD;-;"Sports / Baseball";Sports;"World Stadium";Japanese;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;"2P sim";-;"https://www.youtube.com/watch?v=UpXgDYIZV5Q";-;0;NO;NO;NO;NO;Japanese;"90 to 100 (Best Games)";-;"90 to 100 (Best Games)";NO;
"strider2";"Strider 2 (USA 991213)";"1999";Capcom;YES;"coh3002c";NO;-;-;YES;NO;NO;"coh3002c";NO;YES;NO;NO;zn.cpp;"Mame 0.78";"2003-12-25";"Mame 0.195";"2018-02-28";0;3;4;2;1;RASTER;"0";HORIZONTAL;640;480;60.000000;"joystick (8-way)";"CRT 31kHz";"CXD8661R,Z80,DSP16";"maincpu CXD8661R @100 MHz, audiocpu Z80 @8 MHz, qsound:qsound DSP16 @4 MHz";"Speaker,PlayStation SPU,Q-Sound";"lspeaker Speaker, rspeaker Speaker, spu PlayStation SPU @33.8688 MHz, qsound Q-Sound @4 MHz";PRELIMINARY;PRELIMINARY;GOOD;IMPERFECT;IMPERFECT;UNKNOWN;GOOD;NODUMP;-;"Platform / Fighter Scrolling";Platform;Strider;English;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;"1P";-;"https://www.youtube.com/watch?v=qxnBS4a4UEA";-;0;NO;NO;NO;NO;English;-;-;English;NO;
"sfex2p";"Street Fighter EX2 Plus (USA 990611)";"1999";"Capcom / Arika";YES;"coh3002c";NO;-;-;YES;NO;NO;"coh3002c";NO;YES;NO;NO;zn.cpp;"Mame 0.74u2";"2003-10-06";"Mame 0.195";"2018-02-28";0;6;2;2;1;RASTER;"0";HORIZONTAL;640;480;60.000000;"joystick (8-way)";"CRT 31kHz";"CXD8661R,Z80,DSP16";"maincpu CXD8661R @100 MHz, audiocpu Z80 @8 MHz, qsound:qsound DSP16 @4 MHz";"Speaker,PlayStation SPU,Q-Sound";"lspeaker Speaker, rspeaker Speaker, spu PlayStation SPU @33.8688 MHz, qsound Q-Sound @4 MHz";IMPERFECT;GOOD;GOOD;IMPERFECT;IMPERFECT;UNKNOWN;GOOD;NODUMP;-;"Fighter / Versus";Fighter;"Street Fighter EX";English;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;"2P sim";-;"https://www.youtube.com/watch?v=WqwxzTsGmoY";-;70;NO;NO;NO;NO;English;"70 to 80 (Good)";-;"70 to 80 (Good)";NO;
"blitz2k";"NFL Blitz 2000 Gold Edition (ver 1.2, Sep 22 1999)";"1999";"Midway Games";YES;-;NO;-;-;YES;NO;NO;-;NO;YES;YES;YES;seattle.cpp;"Mame 0.77u2";"2003-12-01";"Mame 0.195";"2018-02-28";0;3;4;2;1;RASTER;"0";HORIZONTAL;640;480;57.000000;"joystick (8-way)";"CRT 31kHz";"R5000 (little),ADSP-2115";"maincpu R5000 (little) @150 MHz, dcs:dcs2 ADSP-2115 @16 MHz";"CD/DA,Speaker,DMA-driven DAC";"pci:09.0:ide:1:cdrom:cdda CD/DA, pci:09.0:ide2:1:cdrom:cdda CD/DA, dcs:lspeaker Speaker, dcs:rspeaker Speaker, dcs:dac1 DMA-driven DAC, dcs:dac2 DMA-driven DAC";GOOD;GOOD;GOOD;GOOD;GOOD;UNKNOWN;GOOD;GOOD;"harddisk,cdrom";"Sports / Football";Sports;"NFL Blitz";English;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;"4P sim";-;"https://www.youtube.com/watch?v=3Hy3pFWf2eM";-;90;NO;NO;NO;NO;English;"70 to 80 (Good)";"1999";"1999";NO;
mrdrillr;"Mr. Driller (US, DRI3/VER.A2)";"1999";Namco;YES;-;NO;-;-;YES;NO;NO;-;NO;YES;NO;NO;"namcos12.cpp";"Mame 0.77";"2003-11-11";"Mame 0.195";"2018-02-28";0;6;2;2;1;RASTER;"0";HORIZONTAL;640;480;60.000000;"joystick (4-way)";"CRT 31kHz";"CXD8661R,H8/3002";"maincpu CXD8661R @100 MHz, sub H8/3002 @16.9344 MHz";"Speaker,Namco C352";"lspeaker Speaker, rspeaker Speaker, c352 Namco C352 @25.4016 MHz";IMPERFECT;GOOD;GOOD;GOOD;IMPERFECT;UNKNOWN;GOOD;GOOD;-;"Puzzle / Misc.";Puzzle;"Mr. Driller";English;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;"1P";-;"https://www.youtube.com/watch?v=m3jCYbPESwY";-;0;NO;NO;NO;NO;English;"80 to 90 (Very Good)";"1999";"1999";NO;
"golgo13";"Golgo 13 (Japan, GLG1/VER.A)";"1999";"Eighting / Raizing / Namco";YES;-;NO;-;-;YES;NO;NO;-;NO;YES;NO;NO;"namcos12.cpp";"Mame 0.77";"2003-11-11";"Mame 0.195";"2018-02-28";0;3;1;2;1;RASTER;"0";HORIZONTAL;640;480;60.000000;"joystick (2-way),lightgun";"CRT 31kHz";"CXD8661R,H8/3002";"maincpu CXD8661R @100 MHz, sub H8/3002 @16.9344 MHz";"Speaker,Namco C352";"lspeaker Speaker, rspeaker Speaker, c352 Namco C352 @25.4016 MHz";IMPERFECT;GOOD;GOOD;GOOD;IMPERFECT;UNKNOWN;GOOD;GOOD;-;"Shooter / Gun";Shooter;"Golgo 13";Japanese;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;"1P";-;"https://www.youtube.com/watch?v=EH9GlmMgtyo";-;0;NO;NO;NO;NO;Japanese;"70 to 80 (Good)";"1999";"1999";NO;
ffreveng;"Final Fight Revenge (JUET 990930 V1.100)";"1999";Capcom;YES;stvbios;NO;-;-;YES;NO;NO;stvbios;NO;YES;NO;NO;stv.cpp;"Mame 0.74u2";"2003-10-06";"Mame 0.195";"2018-02-28";0;6;2;2;1;RASTER;"0";HORIZONTAL;352;224;59.764802;"joystick (8-way)";"CRT 15kHz";"SH-2,M68000,Sega SCUDSP";"maincpu SH-2 @28.636362 MHz, slave SH-2 @28.636362 MHz, audiocpu M68000 @11.2896 MHz, scu:scudsp Sega SCUDSP @14.318181 MHz";"Speaker,YMF292-F SCSP";"lspeaker Speaker, rspeaker Speaker, scsp YMF292-F SCSP";IMPERFECT;GOOD;GOOD;IMPERFECT;IMPERFECT;UNKNOWN;GOOD;GOOD;-;"Fighter / Versus";Fighter;"Final Fight";English;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;"2P sim";-;"https://www.youtube.com/watch?v=HCoS0SEh0Xs";-;20;NO;NO;NO;NO;English;"60 to 70 (Passable)";-;"60 to 70 (Passable)";NO;
