name;description;year;manufacturer;is_parent;romof;is_clone;cloneof;sasampleof;is_runnable;is_device;is_bios;biosof;is_mechanical;is_arcade;use_chds;savestate;source_file;first_emulator;first_emulator_date;last_emulator;last_emulator_date;players;buttons;coins;sound_channels;screens;display_type;display_rotate;screen_orientation;display_width;display_height;display_refresh;input_controls;monitor_type;chips_cpu;chips_cpu_details;chips_audio;chips_audio_details;driver_status;driver_emulation;driver_color;driver_sound;driver_graphic;driver_cocktail;driver_protection;dump_status;device_types;category;genre;serie;language;colors;has_device_refs;has_roms;has_disks;has_dip_switches;has_bios_sets;has_configs;has_ports;has_devices;has_slots;has_adjusters;has_soft_lists;has_ram_opts;has_cheats;nplayers;url_playonline;url_shortplays;url_shortplay_ms;game_rate;mature;on_top_score;on_bacheca_record;on_arcaworld;lang2;ranking;bestgame;alltime;cabinets;
altair;Altair;1981;Cidelsa;YES;-;NO;-;-;YES;NO;NO;-;NO;YES;NO;YES;cidelsa.cpp;Mame 0.109u2;2006-10-13;Mame 0.195;2018-02-28;0;2;2;1;1;RASTER;90;VERTICAL;294;294;50.089031;joystick (8-way);CRT 25kHz;RCA CDP1802;cdp1802 RCA CDP1802 @3.579 MHz;Speaker,RCA CDP1869 VIS;mono Speaker, cdp1869 RCA CDP1869 VIS @5.626 MHz;IMPERFECT;GOOD;GOOD;IMPERFECT;GOOD;UNKNOWN;GOOD;GOOD;-;Shooter / Gallery;Shooter;-;English;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;2P alt;-;https://www.youtube.com/watch?v=8sPFS7PPzts;-;0;NO;NO;NO;NO;English;10 to 20 (Horrible);-;10 to 20 (Horrible);NO;
astropal;Astropal;1980?;Sidam?;YES;-;NO;-;-;YES;NO;NO;-;NO;YES;NO;YES;8080bw.cpp;Mame 0.118u6;2007-09-11;Mame 0.195;2018-02-28;0;3;1;1;1;RASTER;0;HORIZONTAL;260;224;59.541985;joystick (2-way);CRT 15kHz;8080;maincpu 8080 @1.9968 MHz;Speaker,TI SN76477 CSG,Discrete Sound;mono Speaker, snsnd TI SN76477 CSG, discrete Discrete Sound;IMPERFECT;GOOD;GOOD;IMPERFECT;GOOD;UNKNOWN;GOOD;GOOD;-;Shooter / Field;Shooter;-;English;Black & White;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;2P alt;-;https://www.youtube.com/watch?v=fZHcD7HoxfI;-;0;NO;NO;NO;NO;Black & White;10 to 20 (Horrible);-;10 to 20 (Horrible);NO;
attckufo;Attack UFO;1980;Ryoto Electric Co.;YES;-;NO;-;-;YES;NO;NO;-;NO;YES;NO;YES;attckufo.cpp;Mame 0.99u2;2005-08-14;Mame 0.195;2018-02-28;0;1;1;1;1;RASTER;270;VERTICAL;184;176;60.000000;joystick (2-way);CRT 15kHz;M6502;maincpu M6502 @1.22727 MHz;Speaker,MOS 656X VIC (Attack UFO);mono Speaker, mos6560 MOS 656X VIC (Attack UFO) @1.22727 MHz;GOOD;GOOD;GOOD;GOOD;GOOD;UNKNOWN;GOOD;GOOD;-;Shooter / Gallery;Shooter;-;English;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;2P alt;-;https://www.youtube.com/watch?v=YpfbCHU3FME;-;0;NO;NO;NO;NO;English;10 to 20 (Horrible);-;10 to 20 (Horrible);NO;
bilyard;Billiard;1988;Terminal;YES;-;NO;-;-;YES;NO;NO;-;NO;YES;NO;YES;tiamc1.cpp;Mame 0.133u4;2009-08-29;Mame 0.195;2018-02-28;0;2;1;1;1;RASTER;0;HORIZONTAL;256;256;50.080128;joystick (8-way);CRT 15kHz;8080;maincpu 8080 @1.75 MHz;Speaker,TIA-MC1 Custom Sound;mono Speaker, 2x8253 TIA-MC1 Custom Sound @1.75 MHz;GOOD;GOOD;GOOD;GOOD;GOOD;UNKNOWN;GOOD;NODUMP;-;Sports / Pool;Sports;-;Russian;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;1P;-;https://www.youtube.com/watch?v=0EKww9Asko8;-;0;NO;NO;NO;NO;Russian;10 to 20 (Horrible);-;10 to 20 (Horrible);NO;
botanic;Botanic (English / Spanish);1983;Itisa;YES;-;NO;-;-;YES;NO;NO;-;NO;YES;NO;YES;bagman.cpp;Mame 0.79u2;2004-02-21;Mame 0.195;2018-02-28;0;1;2;1;1;RASTER;90;VERTICAL;256;224;60.606061;joystick (4-way);CRT 15kHz;Z80;maincpu Z80 @3.72 MHz;Speaker,AY-3-8910A PSG;mono Speaker, aysnd AY-3-8910A PSG @1.5 MHz, ay2 AY-3-8910A PSG @1.5 MHz;GOOD;GOOD;GOOD;GOOD;GOOD;UNKNOWN;GOOD;GOOD;-;Maze / Collect;Maze;-;English, Spanish;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;2P alt;https://archive.org/details/arcade_botanic;https://www.youtube.com/watch?v=Iutf6v3mQQk;-;0;NO;NO;NO;NO;Spanish;10 to 20 (Horrible);-;Cocktail, Upright;NO;
catnmous;Cat and Mouse (set 1);1982;Zaccaria;YES;-;NO;-;-;YES;NO;NO;-;NO;YES;NO;YES;laserbat.cpp;Mame 0.100u3;2005-09-29;Mame 0.195;2018-02-28;0;1;3;1;1;RASTER;90;VERTICAL;736;247;50.541416;joystick (8-way);CRT 15kHz;S2650,M6802;maincpu S2650 @3.579545 MHz, audiopcb:melodycpu M6802 @3.579545 MHz;Signetics 2636 PVI,Speaker,Zaccaria 1B11107 Sound Board,AY-3-8910A PSG;pvi1 Signetics 2636 PVI @4.772727 MHz, pvi2 Signetics 2636 PVI @4.772727 MHz, pvi3 Signetics 2636 PVI @4.772727 MHz, speaker Speaker, audiopcb Zaccaria 1B11107 Sound Board, audiopcb:melodypsg1 AY-3-8910A PSG @1.789772 MHz, audiopcb:melodypsg2 AY-3-8910A PSG @1.789772 MHz;IMPERFECT;GOOD;GOOD;IMPERFECT;GOOD;PRELIMINARY;GOOD;GOOD;-;Shooter / 3rd Person;Shooter;-;English;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;2P alt;-;https://www.youtube.com/watch?v=hrXugB5N2_o;-;0;NO;NO;NO;NO;English;10 to 20 (Horrible);-;10 to 20 (Horrible);YES;
chkun;Chance Kun (Japan);1988;Peni;YES;-;NO;-;-;YES;NO;NO;-;NO;YES;NO;YES;timeplt.cpp;Mame 0.138;2010-03-15;Mame 0.195;2018-02-28;0;6;2;1;1;RASTER;90;VERTICAL;256;224;60.000000;gambling;CRT 15kHz;Z80;maincpu Z80 @3.72 MHz, timeplt_audio:tpsound Z80 @1.789772 MHz;Time Pilot Audio,Speaker,AY-3-8910A PSG,RC Filter,Toshiba TC8830F;timeplt_audio Time Pilot Audio, timeplt_audio:mono Speaker, timeplt_audio:ay1 AY-3-8910A PSG @1.789772 MHz, timeplt_audio:ay2 AY-3-8910A PSG @1.789772 MHz, timeplt_audio:filter.0.0 RC Filter, timeplt_audio:filter.0.1 RC Filter, timeplt_audio:filter.0.2 RC Filter, timeplt_audio:filter.1.0 RC Filter, timeplt_audio:filter.1.1 RC Filter, timeplt_audio:filter.1.2 RC Filter, tc8830f Toshiba TC8830F @0.512 MHz;IMPERFECT;GOOD;GOOD;IMPERFECT;GOOD;UNKNOWN;GOOD;GOOD;-;Sports / Baseball;Sports;-;English;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;1P;-;https://www.youtube.com/watch?v=LYFGaAudn88;-;0;NO;NO;NO;NO;English;10 to 20 (Horrible);-;10 to 20 (Horrible);NO;
crgolfhi;Crowns Golf in Hawaii;1985;Nasco Japan;YES;-;NO;-;-;YES;NO;NO;-;NO;YES;NO;YES;crgolf.cpp;Mame 0.103u4;2006-01-26;Mame 0.195;2018-02-28;0;6;1;1;1;RASTER;0;HORIZONTAL;256;240;60.000000;joystick (2-way),joystick (analog);CRT 15kHz;Z80;maincpu Z80 @3.72 MHz, audiocpu Z80 @3.72 MHz;Speaker,AY-3-8910A PSG,MSM5205;mono Speaker, aysnd AY-3-8910A PSG @1.536 MHz, msm MSM5205 @0.384 MHz;GOOD;GOOD;GOOD;GOOD;GOOD;UNKNOWN;GOOD;GOOD;-;Sports / Golf;Sports;Crown Golf;English;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;2P alt;-;https://www.youtube.com/watch?v=D0J7NNt-jG8;-;0;NO;NO;NO;NO;English;10 to 20 (Horrible);-;Cocktail, Upright;NO;
fghtbskt;Fighting Basketball;1984;Paradise Co. Ltd.;YES;-;NO;-;-;YES;NO;NO;-;NO;YES;NO;YES;m63.cpp;Mame 0.86u4;2004-09-09;Mame 0.195;2018-02-28;0;1;2;1;1;RASTER;0;HORIZONTAL;256;224;60.000000;joystick (8-way);CRT 15kHz;Z80,I8039;maincpu Z80 @3 MHz, soundcpu I8039 @3 MHz;Speaker,AY-3-8910A PSG,Samples;mono Speaker, ay1 AY-3-8910A PSG @1.5 MHz, samples Samples;GOOD;GOOD;GOOD;GOOD;GOOD;UNKNOWN;GOOD;GOOD;-;Sports / Basketball;Sports;-;English;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;2P alt;-;https://www.youtube.com/watch?v=CMbvSJ1y5h0;-;0;NO;NO;NO;NO;English;10 to 20 (Horrible);-;Cocktail, Upright;NO;
filetto;Filetto (v1.05 901009);1990;Novarmatic;YES;-;NO;-;-;YES;NO;NO;-;NO;YES;NO;NO;pcxt.cpp;Mame 0.114u2;2007-04-19;Mame 0.195;2018-02-28;0;1;1;1;1;RASTER;0;HORIZONTAL;640;200;59.922748;joystick (3-way);CRT 15kHz;I8088,AM9517A;maincpu I8088 @4.772727 MHz, mb:dma8237 AM9517A @4.772727 MHz;Speaker,Filtered 1-bit DAC,HC-55516;mb:mono Speaker, mb:speaker Filtered 1-bit DAC, voice HC-55516 @2 MHz;IMPERFECT;GOOD;GOOD;IMPERFECT;GOOD;UNKNOWN;GOOD;GOOD;-;Puzzle / Match;Puzzle;-;Italian;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;2P alt;-;-;-;0;NO;NO;NO;NO;Italian;10 to 20 (Horrible);-;10 to 20 (Horrible);NO;
