name;description;year;manufacturer;is_parent;romof;is_clone;cloneof;sasampleof;is_runnable;is_device;is_bios;biosof;is_mechanical;is_arcade;use_chds;savestate;source_file;first_emulator;first_emulator_date;last_emulator;last_emulator_date;players;buttons;coins;sound_channels;screens;display_type;display_rotate;screen_orientation;display_width;display_height;display_refresh;input_controls;monitor_type;chips_cpu;chips_cpu_details;chips_audio;chips_audio_details;driver_status;driver_emulation;driver_color;driver_sound;driver_graphic;driver_cocktail;driver_protection;dump_status;device_types;category;genre;serie;language;colors;has_device_refs;has_roms;has_disks;has_dip_switches;has_bios_sets;has_configs;has_ports;has_devices;has_slots;has_adjusters;has_soft_lists;has_ram_opts;has_cheats;nplayers;url_playonline;url_shortplays;url_shortplay_ms;game_rate;mature;on_top_score;on_bacheca_record;on_arcaworld;lang2;ranking;bestgame;alltime;cabinets;
88games;'88 Games;1988;Konami;YES;-;NO;-;-;YES;NO;NO;-;NO;YES;NO;YES;88games.cpp;Mame 0.36b3;1999-08-22;Mame 0.195;2018-02-28;0;3;2;1;1;RASTER;0;HORIZONTAL;320;224;60.000000;only_buttons;CRT 15kHz;KONAMI CPU,Z80;maincpu KONAMI CPU @3 MHz, audiocpu Z80 @3.579545 MHz;Speaker,Yamaha YM2151 OPM,NEC uPD7759;mono Speaker, ymsnd Yamaha YM2151 OPM @3.579545 MHz, upd1 NEC uPD7759 @0.64 MHz, upd2 NEC uPD7759 @0.64 MHz;GOOD;GOOD;GOOD;GOOD;GOOD;UNKNOWN;GOOD;GOOD;-;Sports / Track & Field;Sports;Track & Field;English;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;4P alt / 2P sim;-;https://www.youtube.com/watch?v=-HIge6uMcvE;-;100;NO;NO;NO;NO;English;70 to 80 (Good);-;Cocktail, Cocktail (A), Upright, Upright (D);NO;
99lstwark;'99: The Last War (Kyugo);1985;Crux / Kyugo;NO;repulse;YES;repulse;-;YES;NO;NO;-;NO;YES;NO;YES;kyugo.cpp;Mame 0.133u1;2009-08-02;Mame 0.195;2018-02-28;0;2;2;1;1;RASTER;90;VERTICAL;288;224;60.000000;joystick (8-way);CRT 15kHz;Z80;maincpu Z80 @3.72 MHz, sub Z80 @3.72 MHz;Speaker,AY-3-8910A PSG;mono Speaker, ay1 AY-3-8910A PSG @1.536 MHz, ay2 AY-3-8910A PSG @1.536 MHz;GOOD;GOOD;GOOD;GOOD;GOOD;UNKNOWN;GOOD;GOOD;-;Shooter / Gallery;Shooter;-;English;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;2P alt;-;https://www.youtube.com/watch?v=wlM1Hw3slsY;-;0;NO;NO;NO;NO;English;-;-;Cocktail, Upright;NO;
99lstwar;'99: The Last War (set 1);1985;Crux / Proma;NO;repulse;YES;repulse;-;YES;NO;NO;-;NO;YES;NO;YES;kyugo.cpp;Mame 0.36rc1;2000-02-26;Mame 0.195;2018-02-28;0;2;2;1;1;RASTER;90;VERTICAL;288;224;60.000000;joystick (8-way);CRT 15kHz;Z80;maincpu Z80 @3.72 MHz, sub Z80 @3.72 MHz;Speaker,AY-3-8910A PSG;mono Speaker, ay1 AY-3-8910A PSG @1.536 MHz, ay2 AY-3-8910A PSG @1.536 MHz;GOOD;GOOD;GOOD;GOOD;GOOD;UNKNOWN;GOOD;GOOD;-;Shooter / Gallery;Shooter;-;English;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;2P alt;-;https://www.youtube.com/watch?v=UshLqyeMo4g;-;0;NO;NO;NO;NO;English;-;-;Cocktail, Upright;NO;
99lstwara;'99: The Last War (set 2);1985;Crux / Proma;NO;repulse;YES;repulse;-;YES;NO;NO;-;NO;YES;NO;YES;kyugo.cpp;Mame 0.133u1;2009-08-02;Mame 0.195;2018-02-28;0;2;2;1;1;RASTER;90;VERTICAL;288;224;60.000000;joystick (8-way);CRT 15kHz;Z80;maincpu Z80 @3.72 MHz, sub Z80 @3.72 MHz;Speaker,AY-3-8910A PSG;mono Speaker, ay1 AY-3-8910A PSG @1.536 MHz, ay2 AY-3-8910A PSG @1.536 MHz;GOOD;GOOD;GOOD;GOOD;GOOD;UNKNOWN;GOOD;GOOD;-;Shooter / Gallery;Shooter;-;English;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;2P alt;-;https://www.youtube.com/watch?v=UQcpQDLs7zQ;-;0;NO;NO;NO;NO;English;-;-;Cocktail, Upright;NO;
005;005;1981;Sega;YES;-;NO;-;005;YES;NO;NO;-;NO;YES;NO;NO;segag80r.cpp;Mame 0.30;1998-01-08;Mame 0.195;2018-02-28;0;1;2;1;1;RASTER;270;VERTICAL;256;224;59.998138;joystick (4-way);CRT 15kHz;Z80;maincpu Z80 @3.867 MHz;Speaker,Samples,Sega 005 Custom Sound;speaker Speaker, samples Samples, 005 Sega 005 Custom Sound;IMPERFECT;GOOD;GOOD;IMPERFECT;GOOD;UNKNOWN;GOOD;BADDUMP;-;Maze / Shooter Small;Maze;-;English;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;2P alt;https://archive.org/details/arcade_005;https://www.youtube.com/watch?v=4s2XpBIcTtQ;-;0;NO;NO;NO;NO;English;10 to 20 (Horrible);-;Cocktail, Upright;NO;
1on1gov;1 on 1 Government (Japan);2000;Tecmo;YES;coh1002m;NO;-;-;YES;NO;NO;coh1002m;NO;YES;NO;NO;zn.cpp;Mame 0.121u3;2007-12-06;Mame 0.195;2018-02-28;0;3;4;2;1;RASTER;0;HORIZONTAL;640;480;60.000000;joystick (8-way);CRT 31kHz;CXD8530CQ;maincpu CXD8530CQ @67.7376 MHz;Speaker,PlayStation SPU;lspeaker Speaker, rspeaker Speaker, spu PlayStation SPU @33.8688 MHz;IMPERFECT;GOOD;GOOD;IMPERFECT;IMPERFECT;UNKNOWN;GOOD;NODUMP;-;Sports / Basketball;Sports;-;Japanese;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;4P sim;-;https://www.youtube.com/watch?v=DP_4Vee19bM;-;0;NO;NO;NO;NO;Japanese;50 to 60 (Not Good Enough);-;50 to 60 (Not Good Enough);NO;
10yard85;10-Yard Fight '85 (US, Taito license);1985;Irem (Taito license);NO;10yard;YES;10yard;-;YES;NO;NO;-;NO;YES;NO;YES;m58.cpp;Mame 0.137u3;2010-04-21;Mame 0.195;2018-02-28;0;2;2;1;1;RASTER;0;HORIZONTAL;256;224;56.737589;joystick (8-way);CRT 15kHz;Z80,M6803;maincpu Z80 @3.72 MHz, irem_audio:iremsound M6803 @3.579545 MHz;Speaker,AY-3-8910A PSG,MSM5205;irem_audio:mono Speaker, irem_audio:ay_45m AY-3-8910A PSG @0.894886 MHz, irem_audio:ay_45l AY-3-8910A PSG @0.894886 MHz, irem_audio:msm1 MSM5205 @0.384 MHz, irem_audio:msm2 MSM5205 @0.384 MHz;GOOD;GOOD;GOOD;GOOD;GOOD;UNKNOWN;GOOD;GOOD;-;Sports / Football;Sports;-;English;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;2P alt;-;https://www.youtube.com/watch?v=N8bSLvKQMJI;-;0;NO;NO;NO;NO;English;-;-;Cocktail, Upright;NO;
10yardj;10-Yard Fight (Japan);1983;Irem;NO;10yard;YES;10yard;-;YES;NO;NO;-;NO;YES;NO;YES;m58.cpp;Mame 0.109;2006-09-26;Mame 0.195;2018-02-28;0;2;2;1;1;RASTER;0;HORIZONTAL;256;224;56.737589;joystick (8-way);CRT 15kHz;Z80,M6803;maincpu Z80 @3.72 MHz, irem_audio:iremsound M6803 @3.579545 MHz;Speaker,AY-3-8910A PSG,MSM5205;irem_audio:mono Speaker, irem_audio:ay_45m AY-3-8910A PSG @0.894886 MHz, irem_audio:ay_45l AY-3-8910A PSG @0.894886 MHz, irem_audio:msm1 MSM5205 @0.384 MHz, irem_audio:msm2 MSM5205 @0.384 MHz;GOOD;GOOD;GOOD;GOOD;GOOD;UNKNOWN;GOOD;GOOD;-;Sports / Football;Sports;-;Japanese;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;2P alt;-;https://www.youtube.com/watch?v=EZJVgT1ahTE;-;0;NO;NO;NO;NO;Japanese;-;-;Cocktail, Upright;NO;
10yard;10-Yard Fight (World, set 1);1983;Irem;YES;-;NO;-;-;YES;NO;NO;-;NO;YES;NO;YES;m58.cpp;Mame 0.109;2006-09-26;Mame 0.195;2018-02-28;0;2;2;1;1;RASTER;0;HORIZONTAL;256;224;56.737589;joystick (8-way);CRT 15kHz;Z80,M6803;maincpu Z80 @3.72 MHz, irem_audio:iremsound M6803 @3.579545 MHz;Speaker,AY-3-8910A PSG,MSM5205;irem_audio:mono Speaker, irem_audio:ay_45m AY-3-8910A PSG @0.894886 MHz, irem_audio:ay_45l AY-3-8910A PSG @0.894886 MHz, irem_audio:msm1 MSM5205 @0.384 MHz, irem_audio:msm2 MSM5205 @0.384 MHz;GOOD;GOOD;GOOD;GOOD;GOOD;UNKNOWN;GOOD;GOOD;-;Sports / Football;Sports;-;English;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;2P alt;-;https://www.youtube.com/watch?v=w1ecdCtQmT0;-;0;NO;NO;NO;NO;English;50 to 60 (Not Good Enough);-;Cocktail, Upright;NO;
progolf;18 Holes Pro Golf (set 1);1981;Data East Corporation;YES;-;NO;-;-;YES;NO;NO;-;NO;YES;NO;YES;progolf.cpp;Mame 0.107;2006-07-23;Mame 0.195;2018-02-28;0;1;2;1;1;RASTER;270;VERTICAL;256;256;57.000000;joystick (8-way);CRT 15kHz;DECO 222,M6502;maincpu DECO 222 @1.5 MHz, audiocpu M6502 @0.5 MHz;Speaker,AY-3-8910A PSG;mono Speaker, ay1 AY-3-8910A PSG @1.5 MHz, ay2 AY-3-8910A PSG @1.5 MHz;IMPERFECT;GOOD;GOOD;GOOD;IMPERFECT;PRELIMINARY;GOOD;GOOD;-;Sports / Golf;Sports;-;English;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;2P alt;-;https://www.youtube.com/watch?v=cn4Xkuv760A;-;0;NO;NO;NO;NO;English;50 to 60 (Not Good Enough);-;Cocktail, Upright;NO;
