name;description;year;manufacturer;is_parent;romof;is_clone;cloneof;sasampleof;is_runnable;is_device;is_bios;biosof;is_mechanical;is_arcade;use_chds;savestate;source_file;first_emulator;first_emulator_date;last_emulator;last_emulator_date;players;buttons;coins;sound_channels;screens;display_type;display_rotate;screen_orientation;display_width;display_height;display_refresh;input_controls;monitor_type;chips_cpu;chips_cpu_details;chips_audio;chips_audio_details;driver_status;driver_emulation;driver_color;driver_sound;driver_graphic;driver_cocktail;driver_protection;dump_status;device_types;category;genre;serie;language;colors;has_device_refs;has_roms;has_disks;has_dip_switches;has_bios_sets;has_configs;has_ports;has_devices;has_slots;has_adjusters;has_soft_lists;has_ram_opts;has_cheats;nplayers;url_playonline;url_shortplays;url_shortplay_ms;game_rate;mature;on_top_score;on_bacheca_record;on_arcaworld;lang2;ranking;bestgame;alltime;cabinets;
"005";"005";"1981";Sega;YES;-;NO;-;"005";YES;NO;NO;-;NO;YES;NO;NO;"segag80r.cpp";"Mame 0.30";"1998-01-08";"Mame 0.195";"2018-02-28";0;1;2;1;1;RASTER;"270";VERTICAL;256;224;59.998138;"joystick (4-way)";"CRT 15kHz";"Z80";"maincpu Z80 @3.867 MHz";"Speaker,Samples,Sega 005 Custom Sound";"speaker Speaker, samples Samples, 005 Sega 005 Custom Sound";IMPERFECT;GOOD;GOOD;IMPERFECT;GOOD;UNKNOWN;GOOD;BADDUMP;-;"Maze / Shooter Small";Maze;-;English;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;"2P alt";"https://archive.org/details/arcade_005";"https://www.youtube.com/watch?v=4s2XpBIcTtQ";-;0;NO;NO;NO;NO;English;"10 to 20 (Horrible)";-;"Cocktail, Upright";NO;
"4in1";"4 Fun in 1";"1981";"Armenia / Food and Fun";YES;-;NO;-;galaxian;YES;NO;NO;-;NO;YES;NO;YES;galaxold.cpp;"Mame 0.61";"2002-07-04";"Mame 0.195";"2018-02-28";0;1;1;1;1;RASTER;"90";VERTICAL;256;224;60.606061;"joystick (8-way)";"CRT 15kHz";"Z80";"maincpu Z80 @3.72 MHz";"Speaker,Galaxian Custom Sound,Discrete Sound";"speaker Speaker, cust Galaxian Custom Sound, discrete Discrete Sound";IMPERFECT;GOOD;GOOD;IMPERFECT;GOOD;UNKNOWN;GOOD;GOOD;-;"MultiGame / Compilation";MultiGame;-;English;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;"2P alt";-;"https://www.youtube.com/watch?v=rf30Pf43gDY";-;0;NO;NO;NO;NO;English;"10 to 20 (Horrible)";"1981";"Cocktail, Upright";NO;
altair;Altair;"1981";Cidelsa;YES;-;NO;-;-;YES;NO;NO;-;NO;YES;NO;YES;cidelsa.cpp;"Mame 0.109u2";"2006-10-13";"Mame 0.195";"2018-02-28";0;2;2;1;1;RASTER;"90";VERTICAL;294;294;50.089031;"joystick (8-way)";"CRT 25kHz";"RCA CDP1802";"cdp1802 RCA CDP1802 @3.579 MHz";"Speaker,RCA CDP1869 VIS";"mono Speaker, cdp1869 RCA CDP1869 VIS @5.626 MHz";IMPERFECT;GOOD;GOOD;IMPERFECT;GOOD;UNKNOWN;GOOD;GOOD;-;"Shooter / Gallery";Shooter;-;English;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;"2P alt";-;"https://www.youtube.com/watch?v=8sPFS7PPzts";-;0;NO;NO;NO;NO;English;"10 to 20 (Horrible)";-;"10 to 20 (Horrible)";NO;
castfant;"Astro Fantasia (DECO Cassette) (US)";"1981";"Data East Corporation";YES;decocass;NO;-;-;YES;NO;NO;decocass;NO;YES;NO;NO;decocass.cpp;"Mame 0.37b13 (0.49)";"2001-03-10";"Mame 0.195";"2018-02-28";0;2;2;1;1;RASTER;"270";VERTICAL;256;240;57.444853;"joystick (8-way),joystick (analog)";"CRT 15kHz";"DECO 222,M6502,I8041";"maincpu DECO 222 @0.75 MHz, audiocpu M6502 @0.5 MHz, mcu I8041 @6 MHz";"Speaker,AY-3-8910A PSG";"mono Speaker, ay1 AY-3-8910A PSG @1.5 MHz, ay2 AY-3-8910A PSG @1.5 MHz";GOOD;GOOD;GOOD;GOOD;GOOD;UNKNOWN;GOOD;GOOD;-;"Shooter / Gallery";Shooter;-;English;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;"2P alt";-;"https://www.youtube.com/watch?v=V_9FFG_aOmU";-;0;NO;NO;NO;NO;English;"10 to 20 (Horrible)";-;"Cocktail, Upright";NO;
astropal;Astropal;"1980?";Sidam?;YES;-;NO;-;-;YES;NO;NO;-;NO;YES;NO;YES;"8080bw.cpp";"Mame 0.118u6";"2007-09-11";"Mame 0.195";"2018-02-28";0;3;1;1;1;RASTER;"0";HORIZONTAL;260;224;59.541985;"joystick (2-way)";"CRT 15kHz";"8080";"maincpu 8080 @1.9968 MHz";"Speaker,TI SN76477 CSG,Discrete Sound";"mono Speaker, snsnd TI SN76477 CSG, discrete Discrete Sound";IMPERFECT;GOOD;GOOD;IMPERFECT;GOOD;UNKNOWN;GOOD;GOOD;-;"Shooter / Field";Shooter;-;English;"Black & White";NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;"2P alt";-;"https://www.youtube.com/watch?v=fZHcD7HoxfI";-;0;NO;NO;NO;NO;"Black & White";"10 to 20 (Horrible)";-;"10 to 20 (Horrible)";NO;
attckufo;"Attack UFO";"1980";"Ryoto Electric Co.";YES;-;NO;-;-;YES;NO;NO;-;NO;YES;NO;YES;attckufo.cpp;"Mame 0.99u2";"2005-08-14";"Mame 0.195";"2018-02-28";0;1;1;1;1;RASTER;"270";VERTICAL;184;176;60.000000;"joystick (2-way)";"CRT 15kHz";"M6502";"maincpu M6502 @1.22727 MHz";"Speaker,MOS 656X VIC (Attack UFO)";"mono Speaker, mos6560 MOS 656X VIC (Attack UFO) @1.22727 MHz";GOOD;GOOD;GOOD;GOOD;GOOD;UNKNOWN;GOOD;GOOD;-;"Shooter / Gallery";Shooter;-;English;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;"2P alt";-;"https://www.youtube.com/watch?v=YpfbCHU3FME";-;0;NO;NO;NO;NO;English;"10 to 20 (Horrible)";-;"10 to 20 (Horrible)";NO;
barricad;Barricade;"1976";Ramtek;YES;-;NO;-;-;YES;NO;NO;-;NO;YES;NO;YES;hitme.cpp;"Mame 0.60";"2002-05-01";"Mame 0.195";"2018-02-28";0;0;1;1;1;RASTER;"0";HORIZONTAL;256;192;60.000000;"joystick (8-way)";"CRT 15kHz";"8080";"maincpu 8080 @0.559062 MHz";"Speaker,Discrete Sound";"mono Speaker, discrete Discrete Sound";IMPERFECT;GOOD;GOOD;IMPERFECT;GOOD;UNKNOWN;GOOD;GOOD;-;"Maze / Surround";Maze;-;English;"Black & White";NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;"4P sim";-;"https://www.youtube.com/watch?v=FFyZDZOfnm8";-;0;NO;NO;NO;NO;"Black & White";"10 to 20 (Horrible)";-;"10 to 20 (Horrible)";NO;
bbonk;"Bigfoot Bonkers";"1976";"Meadows Games, Inc.";YES;-;NO;-;-;YES;NO;NO;-;NO;YES;NO;YES;lazercmd.cpp;"Mame 0.37b14 (0.50)";"2001-04-07";"Mame 0.195";"2018-02-28";0;0;1;1;1;RASTER;"0";HORIZONTAL;256;230;60.000000;"joystick (8-way)";"CRT 15kHz";"S2650";"maincpu S2650 @0.666666 MHz";"Speaker,1-Bit DAC";"speaker Speaker, dac2 1-Bit DAC, dac3 1-Bit DAC";GOOD;GOOD;GOOD;GOOD;GOOD;UNKNOWN;GOOD;GOOD;-;"Maze / Surround";Maze;-;English;Monochromatic;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;"2P sim";-;"https://www.youtube.com/watch?v=HSFmuj193mA";-;0;NO;NO;NO;NO;Monochromatic;"10 to 20 (Horrible)";-;"10 to 20 (Horrible)";NO;
bilyard;Billiard;"1988";Terminal;YES;-;NO;-;-;YES;NO;NO;-;NO;YES;NO;YES;"tiamc1.cpp";"Mame 0.133u4";"2009-08-29";"Mame 0.195";"2018-02-28";0;2;1;1;1;RASTER;"0";HORIZONTAL;256;256;50.080128;"joystick (8-way)";"CRT 15kHz";"8080";"maincpu 8080 @1.75 MHz";"Speaker,TIA-MC1 Custom Sound";"mono Speaker, 2x8253 TIA-MC1 Custom Sound @1.75 MHz";GOOD;GOOD;GOOD;GOOD;GOOD;UNKNOWN;GOOD;NODUMP;-;"Sports / Pool";Sports;-;Russian;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;"1P";-;"https://www.youtube.com/watch?v=0EKww9Asko8";-;0;NO;NO;NO;NO;Russian;"10 to 20 (Horrible)";-;"10 to 20 (Horrible)";NO;
blkhole;"Black Hole";"1981";"TDS & MINTS";YES;-;NO;-;galaxian;YES;NO;NO;-;NO;YES;NO;YES;galaxian.cpp;"Mame 0.36rc1";"2000-02-26";"Mame 0.195";"2018-02-28";0;1;1;1;1;RASTER;"90";VERTICAL;768;224;60.606061;"joystick (2-way)";"CRT 15kHz";"Z80";"maincpu Z80 @3.72 MHz";"Speaker,Galaxian Custom Sound,Discrete Sound";"speaker Speaker, cust Galaxian Custom Sound, discrete Discrete Sound";GOOD;GOOD;GOOD;GOOD;GOOD;UNKNOWN;GOOD;GOOD;-;"Shooter / Gallery";Shooter;-;English;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;"2P alt";-;"https://www.youtube.com/watch?v=__40qDHwZqs";-;0;NO;NO;NO;NO;English;"10 to 20 (Horrible)";-;"Cocktail, Upright";NO;
