name;description;year;manufacturer;is_parent;romof;is_clone;cloneof;sasampleof;is_runnable;is_device;is_bios;biosof;is_mechanical
720;720 Degrees (rev 4);1986;Atari Games;YES;-;NO;-;-;YES;NO;NO;-;NO
1941;1941: Counter Attack (World 900227);1990;Capcom;YES;-;NO;-;-;YES;NO;NO;-;NO
1942;1942 (Revision B);1984;Capcom;YES;-;NO;-;-;YES;NO;NO;-;NO
1943;1943: The Battle of Midway (Euro);1987;Capcom;YES;-;NO;-;-;YES;NO;NO;-;NO
1944;1944: The Loop Master (USA 000620);2000;Eighting / Raizing (Capcom license);YES;-;NO;-;-;YES;NO;NO;-;NO
1941j;1941: Counter Attack (Japan);1990;Capcom;NO;1941;YES;1941;-;YES;NO;NO;-;NO
1942a;1942 (Revision A);1984;Capcom;NO;1942;YES;1942;-;YES;NO;NO;-;NO
1942b;1942 (First Version);1984;Capcom;NO;1942;YES;1942;-;YES;NO;NO;-;NO
1943j;1943: Midway Kaisen (Japan, Rev B);1987;Capcom;NO;1943;YES;1943;-;YES;NO;NO;-;NO
1943kai;1943 Kai: Midway Kaisen (Japan);1987;Capcom;YES;-;NO;-;-;YES;NO;NO;-;NO
1944j;1944: The Loop Master (Japan 000620);2000;Eighting / Raizing (Capcom license);NO;1944;YES;1944;-;YES;NO;NO;-;NO
19xx;19XX: The War Against Destiny (USA 951207);1996;Capcom;YES;-;NO;-;-;YES;NO;NO;-;NO
19xxa;19XX: The War Against Destiny (Asia 960104);1996;Capcom;NO;19xx;YES;19xx;-;YES;NO;NO;-;NO
19xxh;19XX: The War Against Destiny (Hispanic 951218);1996;Capcom;NO;19xx;YES;19xx;-;YES;NO;NO;-;NO
19xxj;19XX: The War Against Destiny (Japan 960104, yellow case);1996;Capcom;NO;19xx;YES;19xx;-;YES;NO;NO;-;NO
19xxjr1;19XX: The War Against Destiny (Japan 951225);1996;Capcom;NO;19xx;YES;19xx;-;YES;NO;NO;-;NO
2020bb;2020 Super Baseball (set 1);1991;SNK / Pallas;YES;neogeo;NO;-;-;YES;NO;NO;neogeo;NO
2020bbh;2020 Super Baseball (set 3);1991;SNK / Pallas;NO;2020bb;YES;2020bb;-;YES;NO;NO;neogeo;NO
280zzzap;280-ZZZAP;1976;Dave Nutting Associates / Midway;YES;-;NO;-;-;YES;NO;NO;-;NO
3countb;3 Count Bout / Fire Suplex (NGM-043 ~ NGH-043);1993;SNK;YES;neogeo;NO;-;-;YES;NO;NO;neogeo;NO
3in1semi;New HyperMan (3-in-1 with Cookie & Bibi & HyperMan);1998;SemiCom / XESS;YES;-;NO;-;-;YES;NO;NO;-;NO
