11beat;aleck64;
18wheelr;naomi;
18wheelro;naomi;18wheelr
18wheelrt;naomi;18wheelr
18wheels;naomi;18wheelr
18wheelu;naomi;18wheelr
19yy;neogeo;
19yyo;neogeo;19yy
1on1gov;coh1002m;
2020bb;neogeo;
2020bba;neogeo;2020bb
2020bbh;neogeo;2020bb
3countb;neogeo;
3countba;neogeo;3countb
4play;neogeo;
8ball1;cvs;8ball
8ball;cvs;
acrobatm;nmk004;
aerofgts;coh1002v;
aerofgtst;coh1002v;aerofgts
airtrix;hikaru;
airtrixo;hikaru;airtrix
alienfnt;naomi;
alienfnta;naomi;alienfnt
alpham2;neogeo;
alpham2p;neogeo;alpham2
alpilot;airlbios;
alpilota;naomi;alpiltdx
alpilotj;naomi;
alpiltdx;airlbios;
androdun;neogeo;
animalc;sammymdl;
animechmp;sys573;
anmlbskt;awbios;
anmlbskta;awbios;anmlbskt
aodk;neogeo;
aof2;neogeo;
aof2a;neogeo;aof2
aof2bh;neogeo;aof2
aof3;neogeo;
aof3bh;neogeo;aof3
aof3k;neogeo;aof3
aof;neogeo;
aplatoon;alg_bios;
ar_airh2;ar_bios;ar_airh
ar_airh;ar_bios;
ar_argh;ar_bios;
ar_blast;ar_bios;
ar_bowl;ar_bios;
ar_dart2;ar_bios;ar_dart
ar_dart;ar_bios;
ar_dlta;ar_bios;
ar_fast;ar_bios;
ar_fasta;ar_bios;ar_fast
ar_ldrb;ar_bios;
ar_ldrba;ar_bios;ar_ldrb
ar_ldrbb;ar_bios;ar_ldrb
ar_ninj2;ar_bios;ar_ninj
ar_ninj;ar_bios;
ar_pm;ar_bios;
ar_rdwr;ar_bios;
ar_sdwr2;ar_bios;ar_sdwr
ar_sdwr;ar_bios;
ar_socc;ar_bios;
ar_sprg;ar_bios;
ar_xeon;ar_bios;
asndynmt;naomi;
asndynmto;naomi;asndynmt
astrass;stvbios;
ausfache;naomi;
avalnc12;triforce;avalnc13
avalnc13;triforce;
avalnc25;triforce;
avalnc25a;triforce;avalnc25
avalns12;triforce;avalns13
avalns13;triforce;
avalns25;triforce;
avalns25a;triforce;avalns25
avalon13;triforce;
avalon20;triforce;
avalonc;triforce;
avalonca;triforce;avalonc
avaloncc;triforce;avalonc
avalonce;triforce;avalonc
avaloncf;triforce;avalonc
avalons;triforce;
avalonsa;triforce;avalons
avalonsc;triforce;avalons
avalonse;triforce;avalons
avalonsf;triforce;avalons
azumanga;naomigd;
b2b;neogeo;
badapple;neogeo;
bakatono;neogeo;
bakubaku;stvbios;
bam2;coh1002e;
bangbead;neogeo;
bangbedp;neogeo;bangbead
bassang2;sys573;fbait2bc
bassangl;sys573;fbaitbc
basschal;awbios;
basschalo;awbios;basschal
