name;device1;device2;device3;device4
18wheelr;mie;jvs13551
18wheelrt;mie;jvs13551
18wheelro;mie;jvs13551
18wheels;mie;jvs13551
18wheelu;mie;jvs13551
1944;qsound_hle
1944j;qsound_hle
1944d;qsound_hle
1944u;qsound_hle
19xxar1;qsound_hle
19xxa;qsound_hle
19xxb;qsound_hle
19xx;qsound_hle
19xxh;qsound_hle
19xxjr2;qsound_hle
19xxjr1;qsound_hle
19xxj;qsound_hle
19xxd;qsound_hle
19xxu;qsound_hle
99bottles;oti64111_pci
acedrive;namcoc74
victlapj;namcoc74
victlap;namcoc74
victlapa;namcoc74
acrobatm;nmk004
nss_actr;s_smp;m50458
aircombj;namcoc68;namcoc67
aircomb;namcoc68;namcoc67
airwlkrs;segabill
alpilotj;mie;jvs13551
alpilot;mie;jvs13551
ausfache;mie;jvs13551
alcon;m68705p5
alienfnta;mie;jvs13551
alienfnt;mie;jvs13551
avspa;qsound_hle
avspd;qsound_hle
avsp;qsound_hle
avsph;qsound_hle
avspj;qsound_hle
avspu;qsound_hle
znpwfvt;segabill
animaljrs;ym2413
ark1ball;m68705p3
arkanoidjbl;m68705p3
arkanoidjbl2;m68705p3
arkanoidja;m68705p5
arkanoidj;m68705p5
arkanoidjb;m68705p5
arkanoidpe;m68705p5
arkanoidu;m68705p5
arkanoiduo;m68705p5
arkanoid;m68705p5
armwarar1;qsound_hle
armwara;qsound_hle
armwarb;qsound_hle
armwar1d;qsound_hle
armwarr1;qsound_hle
armwar;qsound_hle
armwaru1;qsound_hle
armwaru;qsound_hle
asndynmt;mie;jvs13551
asndynmto;mie;jvs13551
assaultj;namcoc65
assault;namcoc65
assaultp;namcoc65
astrass;segabill
mf_achas;m68705p3
astron;ldv1000
astronp;ldv1000
atomicp;ym2413
azumanga;mie;jvs13551;segadimm
kbadlands;ldv1000
kbadlandsh;ldv1000
bakubaku;segabill
baoqingt;ym2413
batmanfr;segabill
ts2;qsound_hle
ts2ja;qsound_hle
ts2j;qsound_hle
ts2ua;qsound_hle
ts2u;qsound_hle
batcira;qsound_hle
batcird;qsound_hle
batcir;qsound_hle
batcirj;qsound_hle
btlfieldb;ym2413
btlfield;ym2413
battles;namco51
battles2;namco50;namco51;namco54
btoads;bsmt2000
beachspi;mie;jvs13551;segadimm
bigevglfj;m68705p5
bigevglf;m68705p5
realbrko;ym2413
realbrk;ym2413
realbrkj;ym2413
realbrkk;ym2413
bioship;nmk004
bking3;m68705p5
blkheart;nmk004
blkheartj;nmk004
blockbl;ym2413
blockj;ym2413
blockr2;ym2413
blockr1;ym2413
block;ym2413
bonzeadvu;cchip
bonzeadvp;cchip
bonzeadvp2;cchip
